inputName,key
11,14
19,26
12,7
38,7
81,14
5,7
40,14
70,14
23,31
72,7
79,26
78,7
87,22
6,16
68,7
69,26
1,14
45,7
33,31
15,7
93,31
24,11
25,7
26,16
48,7
71,14
76,16
7,22
50,14
22,7
4,11
32,7
77,22
91,14
42,7
13,31
41,14
55,7
31,14
66,16
65,7
62,7
21,14
95,7
84,11
58,7
64,11
83,31
94,11
0,14
99,26
96,16
67,22
61,14
43,31
2,7
54,11
30,14
59,26
85,7
74,11
90,14
18,7
52,7
44,11
17,22
36,16
49,26
86,16
37,22
56,16
63,31
35,7
97,22
75,7
57,22
88,7
10,14
53,31
8,7
39,26
47,22
60,14
89,26
51,14
14,11
28,7
16,16
34,11
82,7
46,16
27,22
20,14
9,26
92,7
3,31
98,7
29,26
80,14
73,31
