inputName,n
11,20
19,20
12,20
38,11
81,31
5,31
40,9
70,27
23,29
72,27
79,27
78,27
87,31
6,31
68,21
69,21
1,31
45,9
33,11
15,20
93,14
24,29
25,29
26,29
48,9
71,27
76,27
7,31
50,9
22,29
4,31
32,11
77,27
91,14
42,9
13,20
41,9
55,9
31,11
66,21
65,21
62,21
21,29
95,14
84,31
58,9
64,21
83,31
94,14
0,31
99,14
96,14
67,21
61,21
43,9
2,31
54,9
30,11
59,9
85,31
74,27
90,14
18,20
52,9
44,9
17,20
36,11
49,9
86,31
37,11
56,9
63,21
35,11
97,14
75,27
57,9
88,31
10,20
53,9
8,31
39,11
47,9
60,21
89,31
51,9
14,20
28,29
16,20
34,11
82,31
46,9
27,29
20,29
9,31
92,14
3,31
98,14
29,29
80,31
73,27
