inputName,size,arr[size]
values_11,16,"{86, -40, 54, 52, 92, 2, -123, 115, 14, -63, -102, -57, -119, -125, 34, -127"
values_19,10,"{44, 66, -93, 1, -33, 32, -66, -42, 66, -78"
values_12,18,"{-35, 2, 119, -44, -98, 38, -109, 65, -99, -50, 98, -34, -32, -128, 38, -52, -5, 68"
values_38,11,"{61, 84, 58, -34, 54, 46, 18, 73, 33, 27, -27"
values_81,3,"{-55, -12, -58"
values_5,12,"{-26, -47, -46, 115, 13, 71, -86, -97, 77, -104, -75, 1"
values_40,14,"{-85, 18, -77, 44, -98, 15, 33, -110, -79, 97, -77, -95, -20, -1"
values_70,22,"{-25, 121, -44, -53, 18, -84, -63, -109, -14, -79, -38, 18, -62, 79, 100, -27, -4, -119, 84, 65, -8, -39"
values_23,20,"{-32, -30, 101, -69, -60, 72, 70, 127, 30, 122, 121, -90, 2, -95, -95, 51, 35, -51, -60, 50"
values_72,32,"{43, 87, 101, 30, -49, 1, -97, -114, 86, 117, 114, -119, -52, 59, 38, 47, 51, 60, -79, -102, -87, -103, -55, 103, 59, 112, 0, -6, -56, -53, 24, 122"
values_79,8,"{-25, 119, 94, -95, 87, 46, 30, 37"
values_78,27,"{-7, -114, -85, 101, 116, 73, -41, -41, 14, -122, -106, -26, -37, 4, 17, 79, 58, -45, 59, 48, 64, 127, 32, 45, -64, 4, 69"
values_87,6,"{84, 68, 73, -112, 46, -109"
values_6,16,"{-49, 33, 89, 94, 89, -84, -52, -113, 43, -68, -15, 123, -29, 83, 15, -89"
values_68,27,"{-127, -102, -8, -35, -67, 83, 59, -55, 98, 85, -128, -85, 55, 97, 116, 33, -22, -26, 68, -86, 7, 8, 29, -104, -39, 107, 18"
values_69,25,"{82, 93, 24, 72, -4, -23, -44, -30, -77, -60, 73, 113, -85, 97, 14, -8, 28, 82, -51, 90, 10, 110, -109, -12, -126"
values_1,31,"{-112, 123, -71, -6, -83, -28, -79, -121, -8, 55, 86, 9, -83, -32, 20, 91, 66, -39, 53, -11, -56, 31, 13, -19, -101, 49, -71, 40, 111, 31, 111"
values_45,13,"{101, 61, -112, -66, -126, 50, 5, -72, 114, 89, -80, -56, 1"
