inputName,n
values_11,101
values_19,51
values_12,59
values_38,120
values_81,94
values_5,61
values_40,126
values_70,48
values_23,41
values_72,84
values_79,102
values_78,22
values_87,71
values_6,40
values_68,111
values_69,88
values_1,99
values_45,52
values_33,88
values_15,49
values_93,75
values_24,42
values_25,15
values_26,106
values_48,82
values_71,17
values_76,108
values_7,57
values_50,32
values_22,25
values_4,66
values_32,111
values_77,15
values_91,84
values_42,53
values_13,47
values_41,103
values_55,65
values_31,40
values_66,29
values_65,71
values_62,55
values_21,25
values_95,122
values_84,40
values_58,76
values_64,68
values_83,109
values_94,50
values_0,9
values_99,58
values_96,29
values_67,52
values_61,105
values_43,54
values_2,37
values_54,10
values_30,67
values_59,87
values_85,99
values_74,97
values_90,24
values_18,52
values_52,3
values_44,104
values_17,30
values_36,53
values_49,8
values_86,25
values_37,114
values_56,58
values_63,30
values_35,103
values_97,8
values_75,73
values_57,75
values_88,97
values_10,2
values_53,49
values_8,22
values_39,12
values_47,65
values_60,44
values_89,4
values_51,99
values_14,76
values_28,53
values_16,21
values_34,89
values_82,72
values_46,41
values_27,103
values_20,18
values_9,42
values_92,11
values_3,97
values_98,7
values_29,28
values_80,54
values_73,102
