inputName,k
11,233
19,233
12,233
38,234
81,135
5,5
40,77
70,130
23,197
72,130
79,130
78,130
87,135
6,5
68,20
69,20
1,5
45,77
33,234
15,233
93,94
24,197
25,197
26,197
48,77
71,130
76,130
7,5
50,199
22,197
4,5
32,234
77,130
91,94
42,77
13,233
41,77
55,199
31,234
66,20
65,20
62,20
21,197
95,94
84,135
58,199
64,20
83,135
94,94
0,5
99,94
96,94
67,20
61,20
43,77
2,5
54,199
30,234
59,199
85,135
74,130
90,94
18,233
52,199
44,77
17,233
36,234
49,77
86,135
37,234
56,199
63,20
35,234
97,94
75,130
57,199
88,135
10,233
53,199
8,5
39,234
47,77
60,20
89,135
51,199
14,233
28,197
16,233
34,234
82,135
46,77
27,197
20,197
9,5
92,94
3,5
98,94
29,197
80,135
73,130
