inputName,size
11,7
19,20
12,8
38,4
81,31
5,27
40,32
70,9
23,4
72,20
79,15
78,29
87,14
6,18
68,15
69,26
1,15
45,9
33,20
15,19
93,27
24,4
25,19
26,6
48,12
71,17
76,32
7,16
50,25
22,21
4,23
32,11
77,13
91,11
42,9
13,8
41,24
55,8
31,5
66,25
65,22
62,19
21,4
95,32
84,20
58,15
64,28
83,3
94,10
0,10
99,10
96,26
67,11
61,25
43,29
2,11
54,26
30,2
59,23
85,6
74,23
90,28
18,7
52,22
44,11
17,31
36,9
49,5
86,3
37,4
56,25
63,11
35,13
97,24
75,9
57,13
88,17
10,14
53,16
8,30
39,4
47,22
60,19
89,27
51,22
14,21
28,31
16,17
34,12
82,10
46,26
27,22
20,2
9,31
92,2
3,7
98,2
29,15
80,14
73,28
