inputName,nn,isign
11,8,-1
19,8,-1
12,8,-1
38,7,-1
81,7,-1
5,4,-1
40,4,-1
70,4,-1
23,8,-1
72,4,-1
79,4,-1
78,4,-1
87,7,-1
6,4,-1
68,3,-1
69,3,-1
1,4,-1
45,4,-1
33,7,-1
15,8,-1
93,1,-1
24,8,-1
25,8,-1
26,8,-1
48,4,-1
71,4,-1
76,4,-1
7,4,-1
50,2,-1
22,8,-1
4,4,-1
32,7,-1
77,4,-1
91,1,-1
42,4,-1
13,8,-1
41,4,-1
55,2,-1
31,7,-1
66,3,-1
65,3,-1
62,3,-1
21,8,-1
95,1,-1
84,7,-1
58,2,-1
64,3,-1
83,7,-1
94,1,-1
0,4,-1
99,1,-1
96,1,-1
67,3,-1
61,3,-1
43,4,-1
2,4,-1
54,2,-1
30,7,-1
59,2,-1
85,7,-1
74,4,-1
90,1,-1
18,8,-1
52,2,-1
44,4,-1
17,8,-1
36,7,-1
49,4,-1
86,7,-1
37,7,-1
56,2,-1
63,3,-1
35,7,-1
97,1,-1
75,4,-1
57,2,-1
88,7,-1
10,8,-1
53,2,-1
8,4,-1
39,7,-1
47,4,-1
60,3,-1
89,7,-1
51,2,-1
14,8,-1
28,8,-1
16,8,-1
34,7,-1
82,7,-1
46,4,-1
27,8,-1
20,8,-1
9,4,-1
92,1,-1
3,4,-1
98,1,-1
29,8,-1
80,7,-1
73,4,-1
