inputName,n
values_11,4
values_19,13
values_12,11
values_38,30
values_81,31
values_5,5
values_40,8
values_70,10
values_23,21
values_72,30
values_79,22
values_78,27
values_87,21
values_6,30
values_68,5
values_69,6
values_1,2
values_45,15
values_33,4
values_15,32
values_93,12
values_24,7
values_25,4
values_26,27
values_48,22
values_71,22
values_76,19
values_7,25
values_50,9
values_22,22
values_4,20
values_32,14
values_77,26
values_91,23
values_42,23
values_13,19
values_41,7
values_55,15
values_31,4
values_66,12
values_65,22
values_62,10
values_21,18
values_95,32
values_84,28
values_58,16
values_64,23
values_83,8
values_94,25
values_0,13
values_99,28
values_96,15
values_67,28
values_61,10
values_43,15
values_2,8
values_54,8
values_30,4
values_59,32
values_85,18
values_74,18
values_90,4
values_18,22
values_52,17
values_44,8
values_17,31
values_36,26
values_49,15
values_86,21
values_37,29
values_56,29
values_63,26
values_35,6
values_97,16
values_75,28
values_57,25
values_88,24
values_10,27
values_53,11
values_8,12
values_39,32
values_47,31
values_60,24
values_89,7
values_51,16
values_14,18
values_28,6
values_16,31
values_34,7
values_82,32
values_46,12
values_27,21
values_20,19
values_9,7
values_92,14
values_3,19
values_98,28
values_29,5
values_80,18
values_73,23
