inputName,size,arr[size]
values_11,20,"{93306087766039684, -7185167593039700548, 1573313505364845463, -6820632228070239036, -4791806593893870772, -5569531613609910306, -927384188223530725, -8891849154949533408, 4671471500692169179, -8549290961587998468, -4205616288628177544, -2979440970833532527, -8423764796785851101, 7290495525294464995, -2882333782681924441, -9040949621454712953, -9181000790171022344, 4840865081064279394, -4724478429338787172, -2238415037587981606"
values_19,21,"{-401819086337756609, -6066046735827587695, -3375228965923659291, 602153178305761675, 4149848987068624821, 8228323774578331819, 2814845631848525258, 2315269236334696780, 7143826781240034376, -1514823070705827541, 7914886347109154950, -89862435175205204, 2888682525032361163, 1227931540648873836, 2773388607360352292, -2384731337897015171, 3183488609440285523, -3381867207121383220, 8009611121699694730, 7253592379899299224, 2027305285588727323"
values_12,17,"{-2789898124822004468, 6804060712499072764, 7470887117705549741, 1571393777196948406, -7448364022235262365, -3858081957971800763, 3762695069014171309, 4257658950027958130, 3659110598330763961, -7726573435139853762, 8882277267125283769, 6160658366417928636, 2149349363543544335, -8097199121379073350, -6284693288995087293, -7861914559908360959, -3763600675324466360"
values_38,13,"{1435271474543951174, -7408244487467086519, -7441189254609338570, -3640661561655539822, -5626179934318833317, 3325565290659650573, -8114377399041103762, -5683889093630334736, -8726290109742805311, 5309887958143337761, 4927346272227575111, -5050885990148194619, -6094614074657688673"
values_81,8,"{8139178120246248937, 3978360419863665733, 6881762443926343411, -3037768760764534268, -6942026796795456105, -2739686771241622162, 5271518584492110821, 3966660568103116955"
values_5,26,"{-312860090958818134, -8948218495412594062, 4161056949634795810, 4864572918734548857, -3752748079430760535, -5952752610658764180, 4478436930260271591, -6299391469618625954, 7870964016848409374, -7489184236302823967, -8820164311676332186, 7104283448056229451, 1800024114699989843, -4971594256754308212, -9191284866779437096, -8562608212264562151, 2940853469020379604, -944731397144395718, -7021220159942613707, 2876298425775480259, 40267218807559852, 6546360514875535367, 293001307501035974, -6308139389898463759, -6448738380278426870, -8510909743807273709"
values_40,5,"{-8077008362202235260, -8798091237482584704, -7109723218883802249, -2263071153388092296, 4574251079017057556"
values_70,12,"{2513039170260926332, -1973918261677606387, -4217002859871739959, -4893993954436663107, -731316651676920743, 7799060001554255600, 3063536977848696149, 3907895067176577515, 8895275627070652721, 6443724139761486420, -1310619298752893987, -6077962724898059491"
values_23,24,"{-6024536245305578353, -1413702993305201920, 6517627275060931349, 6279494541912052668, -2984962831211806500, -5488195072628135703, -7742252312404380784, 7519982011363341591, -9100004138960234471, 4566863009348766551, -5684379593743012350, -8068635337938254538, -2081160588258930890, -2415708308540745205, 1922901150628363825, 9147279995396119702, -3346424294877037840, 2296532542705861799, -1775456091404038732, 7984524140018913376, -7783158265804061384, -6264112866295572118, 531535371468911107, 136521093114384521"
values_72,22,"{-5102853687377398659, 6247775510388241044, -35197138776289106, -807085217630977006, -2417734805339015751, -6123796478147348869, -9020755005617936861, -2967321186959906648, -4110752257210897628, 5060107640682584775, 3413232928738696156, -7888122989466824254, -8786721193718052823, 1975344483550154320, 6605026540371011330, 1924649184573300169, -6852242172276799479, -4140124016226312139, 3012466712388500811, 5347430277672627816, -7238774410149279017, 4591830603461502626"
values_79,22,"{1876020389720666309, -4175427202716441674, -1592750685453483490, 5049139496195778019, 8075119532665334857, 1786210970039744189, 3687875760500977481, -1258446258942025969, 5586985890775942065, -3736069526079521792, 8985388435327993323, 5781688395946252230, -9163290334927386066, 4318092844634786860, -337349105428462495, 4897123591220383260, 4769894879385421205, 6990714559220899380, -7838640716560961297, -3729378150710972044, -7026608324303057893, -201464270416446863"
