inputName,size,a[size]
values_11,4,"{5922243218712864694, 2186688504493688228, 6625318736478243064, -4821567195818189400"
values_19,2,"{2636549073569494326, -820445258816350311"
values_12,9,"{7361134885691494765, -2040916296165015735, -6341782230545912187, 2564015803674271880, 4038304528261264513, 7086386762052336974, 3717651744686894972, -916071327700870372, 7742918628968513495"
values_38,9,"{-135313476771942168, -2018250812776623436, 2707719709985730087, -5305947362296790274, 4177374738258147119, 6249551747005805459, -5355465658354712073, -5430349616249307601, 5938206976870165711"
values_81,14,"{-5928558944406741378, -3695481504898349072, -1704333545502401146, -5627925990450928622, 1187977305973522782, -1353591123189653016, 1278508107365571657, 5024511372837306959, -2212041146908466989, 3084343599830823687, -5348318820021932036, 4494814572873099324, 2397353530741487455, -7255458352210024998"
values_5,16,"{-3288402514824098796, -7854015124000286561, -7803722731689568044, -3985655757436823506, 772953565573269960, 2602859467372410545, -178083642962705217, 8199320460300530805, 8457469098380004238, -8252655002136577586, -1623706097575338769, -5525272992324505483, -8747123028855739078, -2425782483005716743, 6174627658843777975, -1499859640703124003"
values_40,16,"{-1148336897032281582, 2681505359905417249, -2948326386784690047, -5448224204897646270, 5611724847697659861, 2649451039709426741, -5460694966741216234, -3417005131193245708, 6796611308941059067, -2077086448070241284, 4713408319044944202, -29725050119952627, -3021044600780627107, -1038591174281966666, 4127459210104698806, 3946099913752270995"
values_70,27,"{6992807976811367773, 773516263723985331, -6953693352427315126, 2554518796869329062, -7347188869506002791, -6542598189694423043, 7909739127452118751, -4072308634587178581, 8474438667251634265, -2991492143908536338, 433623857171494104, 8066644890238178188, 7810665937056977246, 8334548383935085850, 7893836601445533107, 4260341566690391243, 8503384464064639886, 1454983055235661705, -6139298146025010775, -6031148604002992722, 3939112684583714494, -1920170175534628081, -6481958125055694134, -5250063286067236556, 7544324760285071454, -1364447777638619026, 1671048819026142803"
values_23,8,"{-8867865798972521707, 5769215358096669673, 6703025893916957832, 5978494022283709152, -2742618855439234236, -6615701400340448332, -1377254977108269673, -3340264115468140981"
values_72,14,"{-5754745144170086416, -2900510284243664513, -1623203967810079938, 8449136348734285050, -4363183835696687483, -4358812081160552456, -9133718691244991634, -5661902191429885818, 2329071763594337484, 5397766615350229495, -8860953566209935603, 7591657206908510504, 359579738428572952, 7318526080645847916"
values_79,16,"{-4837929731510626479, -4590291662309187003, 2244193882955323375, 6649712327445920719, 1465661027976915039, 698474289789466427, -5555218174844939297, -6678855654429446512, 8215238515316051677, -7329727132197383979, -6753182048904019180, -4838585781629797485, 867631801430339015, 317033209169186823, -5541458414629915996, 6311766101349570860"
values_78,30,"{5445217088660451469, -4233950965631110080, 7555412329396425793, -1504305860652798024, -352093660550433707, 8067080329997705428, 5663107936944853097, 662641343271969603, -5960528161721198378, 8375619218402487385, -992990673200409905, -8693962931711477165, -6588858038225885848, -5566229850948767153, 1959393878948701748, 6101937762507579076, -2565449277614905466, -5472973991671647494, 5695715690363107186, 2076283121290504378, 8516755730258798057, 7413273727753506569, 146300542234652929, 4137354015092284117, -842047018436667404, -8597737795813510392, -4552329660902675575, -6975937982352655353, 8091216375281942659, 7408283968682345837"
values_87,18,"{5325577120610615455, 3179742833289335818, 4886007009768165078, 5043286409512847732, 7387846309203708510, -234494337287800569, 2894898602970223678, -1140194460925822142, 4285427011302235518, 5796330145958985658, 7508203961551112016, -8000184036966088304, -3103053714656634605, 157773315227818317, -2998114773451264823, -2184881098889252967, -3532307374953334520, 4859051530825447888"
values_6,12,"{3338439216394196916, 5213165410833907590, -3568387954058985899, 6630045778373367722, 6692399831197099306, 2107122072240079658, -5699725996597763575, -754485596784339250, -7392455917416862847, 8760904043515529490, -5708672936356354621, 2877715530349868848"
values_68,31,"{-5284665720498243775, 7860466895625266250, 7555994645483713142, 5647612011543333545, -895206259559172677, -8654040261487452116, -3122828975476398622, -5068433921642292672, 7811829268308994748, 5395127723312183679, -498019635128733995, 7583350453137153808, -3957879757117385814, -752695943296336122, -6271715553275926096, 7823973820771534725, -3224506223845021946, -6840782542008898031, 7300023897250879343, 8606025335360929435, -5681722690774588745, 6584175417470819704, -8436099329578632063, -2930284929154722004, 4097951268506641299, 8868082984461800860, -8828934251692707377, -7352104451265716941, -3692448468328727165, -8660687357256709640, 460172797853357123"
values_69,2,"{-7990072958404101808, 1945366520209398253"
values_1,12,"{-996485147443302653, 8329999001513751135, 3922632957304157414, -1126316950601381284, 1869957682760618977, 3115251972135119299, 2547274794216242281, -5791293865608862939, 8731539818661909100, -8717496861098666811, -4641131200606690470, -3551255863411213276"
values_45,27,"{1413793694082561451, -5164925152284467798, 8162643973240123335, -1463642483670237297, 4304782617012105064, 8840335569602582454, 3585010249104903760, 7808849376981353126, -8838846927979327279, 8049163918083406492, -8614269512798356984, -5712278244341296814, -7631969799825200867, 4690456268087467916, 7543846712157242647, 1479553388031676527, -427122151078059883, 5716501069589053746, -2927678749465778522, -3963885574551656927, -4915196522625073862, -769557298023401595, 2447141838849435736, 3733247020515420502, -4114397945635167389, -3150825797579596318, -6546561320650366321"
values_33,28,"{-348993998586899159, -8940817454160270884, -8185381708680924637, -6396995036104448037, -4837776723859684466, 4721399879226457447, 3230455870169647584, -6896974227513070258, -3300205437669787544, 5710753346827135698, 8200803061718073655, -6533995365258907185, -6680639020264186509, 3416554174352074815, -6595996373973349738, 8923104094026840021, -8453140475139474675, 5283077270188733044, 5112444073015055746, -2930604909442069852, 4809056979136490195, 6143681904101594800, 4863319902483618508, -5258975058544897213, 340440943550925671, 4074710169269015587, -399508190721391287, 3893249034902937490"
values_15,24,"{-7542281068369495979, -6878406128890070291, 6162091505368474420, 2424858955177580604, 1175361649364726219, -1247293149974167243, 7743400184227859621, -5279927091380400666, -343581916413821127, -624821827669163649, -8093833481961961133, -1500358365088884825, -7615747982043234653, -7200114034467593934, -3965023560496983554, 3257417497975475624, -7096760263504194014, 1732210904065160009, 5960039390251372638, 150174839289354289, -32031832077199209, -8936719857347633728, -5838546881271120512, -6582178555426254474"
values_93,5,"{-3677417331098710951, 6191009412338555345, 5964452909359885204, -966977311949760941, 4859350209485303660"
values_24,5,"{-6251341643907661443, 3698567378582178304, 1784053177999760532, 6029246456966659323, 981029550434063964"
values_25,8,"{351588885087134592, 3436524589777529418, -1524387181670681119, 6325193348449420061, -3657096130654089480, -4622307014668117744, -6869993582675805494, -7215097190856298904"
