inputName,k,size,arr[size]
values_11,125,26,"{-178820328152362020, -7506249902442916055, -4942477911627714706, -7754383787597601899, 6608516106714028573, -8333781300548400818, -6081743004648395208, -6300796268537653548, 5710354395981823576, -6138938060815937485, 7536956382668838154, -994545778229384269, 7007041183496056792, -4916381527342482716, -3447596895712153810, 8922118552348573401, 4775850123158189485, 4779857321301901832, -1197408323544107592, 4828350101126953139, -2277506533501729142, 8235922316173735521, -7822710288685042715, -637362480102105584, -2074181548755304301, -8313235451091053426"
values_19,125,28,"{4469088840558717997, -1767483291036626821, 8985306949388929756, 8127972840628613861, -1190885510026189974, -5773317950270078345, 1096640325652546778, -3747154265784719504, 1974020044562210623, 4764140141644267419, 7135154192937457945, 2154024604363966434, -588153519731121592, 3257792384622236314, 5721058208640541429, 186552930015151418, 3626597601770756839, 6920740396332748097, -8905258435824730350, -276068026014659308, 7750899842233820968, 25290120589470218, -5273106115595955347, 6155060425110348822, -3298822566004266074, -876719978244880439, 6152200207234547395, -6962813044280454943"
values_12,125,25,"{4097676676411524776, 986876323677487550, -125860613174708257, 888592555306031194, 1745475623340072416, -5784567141829395964, -2734844486908540297, 6463452642675291650, -2089889980832860860, 6648018690615044429, -1412300969369249977, -2232069165673050819, 5739453642986272740, 6986702849667982019, -3945169703606720229, 4292722812969675788, -7211467557879183755, -3536148061216293799, 2032557789255795816, -3590369518162402476, 921721274766837873, -1994131233427057767, 7564731694041625731, 7058114666062892404, -5778256526952853862"
values_38,52,12,"{727539718194188367, 3475595857097766940, -239783016889365525, 8766265630745703769, 7303477334891780523, -5573416045276566578, 493687152411588768, -154457400687986929, 1942592453185579591, -4914450796093296813, -1567521240957247853, -7284890404172036198"
values_81,159,26,"{-1769718144147040876, -8736538022643308268, 8842215963121697523, -7264142303518774899, -8553499005063264234, -7991303568919365210, -188845582049797942, -4375707881120981820, 3041462982309108153, -1944768646518592504, -2775333574334876661, -6236025140398433173, 2697954092935038307, 807963939759153825, 6316630982418118180, -518258085247999748, -7441337433332866621, 2502492907494742190, 1779568238034474399, -8933048836734087091, -5149597642095002016, -8657120971990163497, -6991589715508229366, 5268738714118859110, -3182804425702914684, 520712808334294586"
values_5,188,2,"{-4401678781060311077, 9196036800086832260"
values_40,20,2,"{-7362187242002633755, 4174065610220094398"
values_70,239,2,"{-7978550809343982065, -1271165117371430815"
values_23,35,25,"{8635432606058742936, -7710646054153626474, 5751608753160413273, -63306795604356486, -6160745092444989512, -4778131470464648423, -7100052833075777479, 1895905587480552703, -5210047847002723820, -481730803704617599, 943117093042694480, -3233522063437367871, 2472568176502890132, -8286787254883984869, -8062038375725232918, 4764201338447039141, 6419063949595738205, 4214562692937845074, -2156550348559085074, 2938310589091316590, 3077169381813070867, 9180133577330193061, 6172149111216317416, -2239843546531329767, 3646464653662765833"
values_72,239,25,"{-2593382983977375724, -8889832347632069611, 3183130013638826767, 74232015738766, -8039677942266409712, -6333817957402011112, -4559216494637712617, -8759492591101829291, 8675052184624636173, 8917284551618729259, -2594480698873453436, -3719622635790707272, 4785167714239127921, 3978584096480628669, -3923085853613512924, -6078148762976881536, -7178247590746856514, 844918300101496848, 1881330439154627206, -412787411178935329, -3072858169151012629, -6582396728746535563, -2647559733369950729, 7648550134837805668, 6212189793052960856"
values_79,239,28,"{-6814577691935712328, 8784851222026950278, -5020519098527934554, 3063753985254914620, 7127871958725428145, 8664720627947431744, 6768327377725464309, 4000952390788863841, 6339426210861432875, -6257803270125622021, -3569959346343118131, 120931384188273242, 4715058705797508119, 6704693428674341716, -4467163167796889516, -4077283915365391470, -1943606352368548279, -5844177213552517010, -4671474764368656545, -2496100704415517121, 6730620562559067968, 2834138123139287068, -3833818144340681735, -2850075446415312341, -2454047730685425279, 3505322143290731410, -2761691389981076123, 4940656259252167508"
