inputName,size,a[size]
values_11,32,"{6476475530944591037, 7475496467351847229, 5252540634397735387, -3515967635225343903, -5083249748644315911, 2073973084487697038, 172642783603811984, 8873502612083700422, -1648297677331536658, 5810256108683789426, -7175845838791764527, -315712661727695216, 1017486684902725818, -241223338872966216, 3222503738176646385, -963842062033088019, 8621722448857346059, 3405350883962020200, 5379640456502198719, 3107566845988747097, 7365446681232851297, 7822453992564089343, -1787113876102973406, -2568734642884867051, 158045755881099486, -5855588887151024907, 5327434181716932100, -3003765252897975941, 8132010009966132846, -8957448161272795115, -4579765568685587047, -3818182531289070813"
values_19,9,"{-6308721635588192343, -5860934498199762697, 5660373837925244909, -6483059206086366429, -3456909344459098273, 5901205608897517523, -1010474837508390615, 786002622364933584, 6440945080851144126"
values_12,29,"{8369186466191865239, -4943421919688600102, -1443154192039699389, -4343428683261431941, 4846659208383624124, -8413608102736538601, -5058953707324660223, -2286942453178300822, 6093108694024364041, -7526126183441241326, -3595448333866261686, -471305709398516833, 1829597050500977905, 9049751365697954996, 2045553378636533060, 6368388414386477673, 1813505111138726571, 787147000101823177, -3622840510658817332, -3330434105455381501, 3389248374068060565, 8946391527807553024, -8881500658429085541, -6931799751217942, -2276108314869594083, 5822983217970325551, 8505585018801641999, 238278494709608054, 8008058836825979604"
values_38,17,"{-1158673148128963423, 257893144388988232, -1609255780854556564, 4953822066370437289, 4328781856636460655, -5996869373137973244, -3367539601245169679, 621466173437059263, 6880407650133489165, 9002718436502940160, 7200550083515100428, -44484395990164977, 3237905958618830690, -1798732253242115040, -7628278784604992618, -424399767440998229, 183071047226794901"
values_81,10,"{-6055053109392462168, -9093984697981754185, -835103310094676873, -3448972664549484602, -6619201919934038106, -1602847141718106267, 2499130441298959946, 6915006052237516074, 6047870486011288870, 7313163805837461768"
values_5,11,"{-5781163850087907008, -6147859195930131715, -1822970398150678236, 356578400701380074, -2389478139042510123, 309288342505986188, -6079346188192848405, 5760247089565024111, -703306048084352853, -4826846588557387509, -7264166651999024795"
values_40,29,"{538065297160202791, 3189359297148027248, 1176341097148866841, -2636333477743028149, -1407736715405125773, -5447415606850798006, -1737525573572552657, -3236331659674041322, 2602931406432861806, -8784389672607739601, 4039810078251445072, 7554865217448575319, 4159140965958955064, -4192132544415724972, 4219105276666496647, 1441696525546609165, -6713979554185778616, 1556031499102541870, 8699429585363216717, -2087274562319656092, 383340607297240874, -677898151099235365, 3195405494583506718, 4428360864342149726, 8823119016341561693, 8903203069634221786, -8305590756118409734, 6093314334281635448, 5336711201155674778"
values_70,12,"{-7104035211721540264, 2805451745930178000, -5205837188947766132, 3756358710569998147, 3826697890871627042, -6616954305819231126, 2534643027668706844, -267903621120860787, 7678806771360469036, -2864863395800913436, 7100733477718988741, -6381341923411908070"
values_23,30,"{3789184479245965332, 1506844743421132774, 7775525855502625782, -6025430636444956654, 6256602909710560348, 6894728769457706467, 3150126802442735177, -7390703923660564165, -8746727282947950905, -4152650201141220693, -77441814180461599, 7808275681098652494, -4043018816178721647, -7933609821082760027, 7043962639628792758, 3926119684993098850, 3861498715923443231, -1795611067962692687, -699851096865455290, 2802535121173518874, 8375065971554235260, 6361190231706829360, -620124498767406626, -5021869403789980461, 7757066746380707861, -8933656136229819009, -6359912913621321597, -3683746550047733542, -3176089442298365044, 3578877479585067186"
values_72,14,"{-5364567881963426302, -8818665115483100165, 1398065830183166500, 5912060724152130816, 2587307077465881621, -8584969292660706418, 8497824682902605931, -7858350348675776939, 8713698103167334808, 7047144429716976408, -9021775526956999023, 502394718071215796, 6078777494139991745, -1941635674420975189"
values_79,12,"{-6632345399160652990, 267604309209306591, -4829826119886744894, 8037161764243145368, -6641795784458721064, -970989965732909106, 1245236608157521095, 6313344958197425797, 5609686219439062681, 4708414811402508222, 1976803871652332825, 6744930144035641251"
values_78,30,"{-2738987603024650370, -1759894584838468060, -2455926477465121118, -6035854925102583273, -1288672112290957960, 3015378143453857323, 8278816894830106616, 183478822325458128, -4866746931560166712, -6965882610477286929, -5875716553755746724, -8214324455558906630, 9168397106316035407, 2625976956323434754, 4190511025828670374, -4707174721593421641, 1461152582274471627, 1549514182696993903, -5386426321718761830, 6403310474521819506, 3747047573728556433, 1879523114329750095, 8369258432957789109, -7256059788640420140, 1752990147442570690, -3846972977559180033, 943358587625596410, 1882974401160256870, -2520944658078874916, 1010065470010725380"
values_87,16,"{-5538650630635226674, 7192119716935856561, -7826273990748188633, -5888969352201434089, -622565805297833167, 7178826685163693109, 978328520846631919, -4955722023659409496, 4524561698174658672, -2838118015205584151, -4208817857687729352, -8701886943196612607, 4335441513905161469, -6712548127856915288, 4569690079201780936, -894365114078435489"
values_6,21,"{3856436973742872388, -7763352578359275919, -2560884462484719313, 5381972823716189849, 7929166343383768395, 8329878829438917308, -8040214447884088954, -7717822613312703572, 4388447640428124047, 3526848681565080202, 1961088343439216013, -5558786897386849601, -3535671040050946837, -5631693532354272751, -5880741802121093958, 8025191869216005702, 168159555748326615, 9204000500884148251, -6452954994194153990, 3577842072024415213, -4113167375088333244"
values_68,10,"{1109444300414296472, -928939724244474664, -1015177345147706007, 6553501609619827646, 5766164674505118797, 8501014742597136064, 8323216233942267650, -1974882115540753078, 1596775164141968547, -3197107176378603466"
values_69,19,"{2214727936345815737, 6831635771289685249, -7817074378228330030, 4538692184574323272, -2202688338852277392, -4171380888438504344, -7768195368438910313, -5362336500367893933, -2585393828582028825, 2995256371605588107, -8121636689089385464, 7951656063962113449, -9167054582266135426, 1505017147744404775, 2171226814946516498, 453585378142763639, 767295503574258622, -8635757063096437379, -3026008878226881399"
values_1,14,"{3182109804793383994, -8165491731429694935, 5391541096288340058, 69758625484917014, 1289818331755334482, -6859466977965197153, -6107495158751969802, -6233438867257919999, -5079939511634205424, -1431099559695909875, 6473673437004771461, -4281469276788594429, -1817453272392980744, 1444441920552533218"
values_45,13,"{-8816553768493643875, 3610107294175747063, 2064070372242307240, 8879693324240941390, -5566785983187662940, 3096332035743151997, 4162461491463483103, -8195474890540120893, -7111967693758652179, 7947567564892500652, -2497903777452531777, 1011311147764899933, -7997994207428542080"
values_33,11,"{-2422005521733639682, -1424967786809819723, 1297853096529975886, -6275516130743901107, 7280040335127579684, 1896449943554067312, -7274246152467488844, -4746949500340484869, 2457308646770331558, 8894695268544723741, -6645136392580456979"
values_15,24,"{-7713892516550794559, 306640634670513371, -1113900525637788127, -7812823929071788337, -7192604601968762096, -8591871231051594225, -2479022553362216879, 8269121378976352126, -7382361685793103063, -2414846768473725554, 2253909516407824316, -8035504488675573952, 4119580504755685790, -9197797396348750189, 2091448526015237669, -5874973650332062614, -671417008719290015, 6461471188356476473, -463709056616739273, -2809161506377779113, 1034750371821939328, 879149119565935438, 790939207666006443, -3022087384249825683"
values_93,19,"{3834336141848528803, -1599352088930493021, -7871282694145397511, -8797550337814047521, 3997491290879314810, -5245429242115334069, 2872243045292249323, -3133668931212202701, -7152889511013369544, -8659579123063179402, -1267550798086592487, -79267334882146602, 5854724167622351328, -270952058649478854, -4406778878155370732, 3546748010384067318, -3061900024444952836, 4232213834965953260, -4370910365993723592"
