inputName,size,arr[size]
values_11,18,"{246341725, 1786338599, -1581381002, -1257599309, -94083893, 2040383369, -1324889256, -86644572, 1340029680, 1092671545, 802681237, -2120096335, 1268679758, 1141257946, -824041829, -487168880, -628052164, 1342744882"
values_19,11,"{-1617874388, -65059952, 1915090931, 683343526, -895553620, -2064364042, -1424326811, 1386901749, -266568713, -728964282, -1209357260"
values_12,29,"{-870487376, 242721122, 1715949636, -183585380, -1507339795, -1713186095, -1627769204, -2122701043, -139413568, 11214530, -2022564729, 365097285, -350855489, 1163570931, -1524725056, -1259966407, 129184341, 1580422729, -1226875687, 803023381, -1426015444, 773691026, -1233214985, -1715265926, 835938929, 1303963447, 1733144738, 963438180, 225432530"
values_38,13,"{-1243149482, -1222492869, -1510458777, -2091400623, 18808517, 368614234, 1086000572, -1350407252, 1132438969, -4872092, -1852209221, 1982016183, -631214741"
values_81,25,"{-1572503769, 1190096191, -470004188, 1307099942, -647108636, 1243341837, -396931601, 389472824, 163385661, -887452175, -1073979354, 1298462970, 241593868, 693284942, -53913917, 54785717, 1868317198, 1239971243, -771920497, -661175301, -4480562, 1607009543, 1269019536, -1769353085, 293621566"
values_5,5,"{474057006, -242550437, -1423281237, -1178483786, 2430471"
values_40,32,"{1530567430, 2025018240, -1471209467, -239450317, -145116688, -180263755, -6608532, 184531739, 999910100, 174469807, 1793292556, -170478816, 1303000758, 2072572436, -383270074, 628476899, -18902362, 922828434, -1386094865, -1809272036, 1027195979, 1208890510, -122843842, 1334671978, 647039116, 1258374140, 373902944, 890099068, 845076255, -511981078, -1785648589, 1671835534"
values_70,6,"{-2039177906, -401550690, -966583206, -671343981, 1449881044, -998388425"
values_23,31,"{1909872486, 1805517659, 1281060285, -1440402051, 1698596300, -1951235114, 835838124, -1276641641, 1160016382, 1404740557, 1851596331, 1986477363, 1202409550, -2048598192, 383845189, -234866821, 407140032, -567327484, 873583891, 1312061193, 37521177, -237340006, -286027708, 1084093300, -1772580808, 1229712148, 987705838, 429384302, -2105886843, 2080540688, -717432886"
values_72,25,"{-1101702838, 1364549929, -735409894, 828734732, -572768531, -806116538, 1460187325, -394113683, 328747162, -1384763302, 1539150479, 587454610, -112000816, 107667784, -1417084079, -1446323381, -102466255, -1719214203, -510679611, -913867015, -545860953, -1963410703, -1072052254, -622466186, 1028155860"
values_79,3,"{-1981182773, 2123211899, -1689321009"
values_78,19,"{-403879494, 2106155820, -1642137914, 1209036882, -727113382, 2113383091, 1585148670, 2142002045, -382252703, 30877109, 282965543, 1764474021, 760549280, -1690166539, 301937170, -576506242, -871258504, 1600639783, 503096500"
values_87,4,"{-995338723, -1897673603, -263998994, -832802036"
values_6,6,"{-1685615615, -300886390, 1791252434, -1663124694, -374679351, 1743354517"
values_68,15,"{1285014029, -1415165494, 308995097, 1330758833, -1373812703, -868158807, 1929097846, -1976090711, -370503046, 823040340, -1441461075, -1185347084, -1454718552, -912117345, 535883198"
values_69,7,"{-1684106235, 1256768999, -1879836486, -897058205, 1017108152, -1802882303, -514213802"
values_1,6,"{1525351196, -264903872, -844582362, 1658338949, -1332603069, 1340297943"
values_45,8,"{-674857893, 408053124, -564796713, 1144403137, -1727413989, -1247880513, 1908440169, -617968446"
values_33,11,"{318256689, 1497549293, -1780634002, 660641502, 1692505010, -1642318887, -498199270, -1203530866, -1552831816, 1103687871, 1926578542"
values_15,13,"{1301570997, -1163250579, 608875131, -1629761578, 1441856334, -668829284, 543521775, -1195105288, 110440862, -1162511393, 1535490383, 1514530926, -852906608"
values_93,24,"{-346506914, -397286211, -310236347, 396737208, 1442926930, 1586508592, -637560437, 1890938963, -2043565058, -510903922, -981098530, 1909802897, -2067654781, 1209563502, 1922435239, -389271274, -621279087, -524062664, 92528256, 599863389, -821443680, 156133381, 1991603214, -1551290948"
values_24,32,"{468991938, -486522952, 1177084564, -126389777, 238513638, 627493740, 614986941, -777654548, -1045535760, 1754339237, 1328217971, -410830583, -1101803193, 312150897, -167442214, -1007916484, -1346485215, -99838960, 1672331820, -1218817804, 261600515, -1082536302, 767309052, 434351289, 1977838866, 1300838299, -1971729090, -30498199, -2058743962, 1953625354, 860422514, 227265780"
values_25,20,"{1184685273, 492677284, 2109217887, -1199943850, -1953436903, 194460667, -1536463763, -2047055195, 1860335419, 1332218364, 1031377057, 1349622734, -1654382605, 635470279, 1788179626, -994104192, -153884956, 678244998, -2130549253, -980676611"
values_26,19,"{651464841, 431321429, 2137588610, 955483215, -462852938, -611764584, 623147171, -339422445, 1485892620, -580275285, 638863792, -1783643339, -80638772, 1035910324, -2072380701, 1853092591, -901226420, -369177911, -1684709793"
values_48,27,"{-1235660285, -750522229, 673848330, 1385859654, 1976429951, -1883018416, -1950172637, 748527833, -693975606, -633225286, 1918012221, -921725507, -459493781, 1342499700, 699727023, -1456684724, 1252510658, 1160570460, 1874747132, -1828679455, -1544516822, -418208723, 342718424, 298537785, 1746193265, -127629476, -1214949241"
values_71,8,"{1176925781, 1689064753, -1554416725, -1489103498, -1941199573, 1629393385, -1660299991, -1898877806"
values_76,3,"{-1749264602, 1899241174, -57694571"
values_7,30,"{-1797054207, 1240818306, 1334337058, -270782057, -1988236455, 379741541, -895147146, -104789486, 1309277431, 621987378, -621739078, 272035800, -1246473955, 746540738, 1216197184, 1131797772, 396152486, -154221452, -508253320, 1695787984, 1852486368, 1612232946, 1570155015, 1045781052, 2034492249, -799555132, 843912668, 185297748, 265723830, 1246671193"
values_50,21,"{-441606222, 922554190, -1625861017, 926241100, -277866953, 1425972561, -1876663338, -315445699, -819361049, 498606056, 889200429, -843432840, -1229540931, 912732923, -1622124442, 1318726222, 370719175, -663128109, 92809501, 1544093431, -385842706"
values_22,10,"{1267735973, 1613103800, 1991824195, -1809035620, -96720884, -1319654808, -2070877829, -1651674627, 1103791479, 1858759988"
values_4,20,"{-317984669, -797524969, 765838826, 1501494538, 1206356254, -1471554483, 612337588, 1898873392, -1876756634, -1215064977, 720495070, -575887878, 1588953863, 1615660982, -966182142, 248335974, 1381868223, 576388577, 99022463, 595022243"
values_32,16,"{574037643, 699483434, -90210292, -468355081, 836999375, 1074242138, 1417537952, 1229409960, -973654806, -662295912, 1146569469, -388294559, -2066258548, 2143392043, -434476041, 183229897"
values_77,25,"{-1489133249, 418965567, 350891622, 993601976, -1411349165, -1121452448, -798687198, 660580459, 1633521211, -128540295, -1061682859, 844103710, -1535005480, -1388894251, 476210154, -1370635239, -1619576389, 1784208598, -177510115, -1872912441, 2121941282, 87672167, 1724217622, -539154163, -553145987"
values_91,17,"{-1694052061, 496465985, 659052622, -598888848, 730256747, -115480159, -7610338, 1977971734, 1444539964, -2084667521, -1276693799, 523617789, 1437867627, -2107951775, 68527647, -248118847, -843474745"
values_42,14,"{872414441, -2048060167, 1106996839, -1259093576, 455149636, 1679641256, -1491136544, 379152608, 915556772, -1361502400, -405649327, 1561790966, -535798028, -1065155612"
values_13,15,"{-199530262, -1370416718, 1863622476, 597691251, 1562984387, -1908884651, -123055680, 458179902, -1917695398, 1290726463, 806653068, -404678092, -616485736, 578710445, 1227668414"
values_41,17,"{-1718166603, -1970036587, 1198021053, -756094276, 1817871876, -1664745209, 1790376668, 391796554, 303997003, 1501498957, -159800453, 542111608, 105064113, -920562678, -720611423, -423578983, -423486090"
values_55,32,"{779655376, -389168872, -630221249, 419732423, -297285825, -1079080606, -675074769, -274400735, -1804915781, -817877422, -1743603671, 1191079021, -727224263, 19324707, 2102258182, -1935659276, 670146587, -1181921586, -112951604, 1689363680, 2089009836, 1788965112, 961147696, -787149397, 714344384, 1067303907, 218252569, 2085875683, 1450349171, -19969057, 1469675553, -634731788"
values_31,5,"{1031806647, -342621471, 846541055, -1364704082, 317323076"
values_66,6,"{-1002631770, -729118879, 75291752, -1984032288, 1992447969, -1792771930"
values_65,29,"{480534005, -1155111541, -601722077, -1523921486, -626850693, 29107144, -629315291, 1994149673, 249695891, -651606005, -1492850554, -1054557528, -862476991, -1106776510, -1951153347, 1657490065, -932044550, -1306264999, -1964386352, -588502652, -1702441940, 1133544688, 1597021977, 1105369729, -704684915, 1287216987, -1952989421, 140774129, 661528673"
values_62,9,"{1161040507, -1534103988, -128667194, -564163217, -947609818, 754871260, 703867229, 715700839, -1030647420"
values_21,7,"{-131103552, -688930180, -499121558, -1459136296, 156669797, -1653986812, 1057223695"
values_95,19,"{-2008577558, -293715361, 360225569, 1110053796, 1084405425, 397816598, -1663651297, -1553112859, -2014366272, 2061710891, 174037076, 493961154, -672080214, -638846935, 1098998350, -1944628496, 1853761152, 1011367355, -1129676076"
values_84,27,"{-264384807, -815294223, -959781594, -1248065962, 1424739275, -1800179084, 1207442523, 97906704, 1058697008, 527920295, 310236673, -1383608187, -759944115, -224111602, -1646041448, -1527354477, 479102628, -91252642, -1647795563, -797065913, -1749996716, -2012810629, -1133182702, -885167326, 1625588083, -72506792, 1358703091"
values_58,3,"{558081500, 1223226879, -1262643594"
values_64,29,"{-817117318, 1967338100, 1514809031, 1888211108, 434421352, 1296186127, 69575581, -1764198000, 1012727037, -1125942772, -1479613783, -467034422, -1412662139, -1719420928, 2020638659, -2002810179, -404719011, 1179451369, -2037166606, -1563286440, -756748007, -648785913, 1417015821, -1227751068, 1734593907, 970270896, 1853061008, -1535583339, -1655635075"
