inputName,k
11,125
19,125
12,125
38,52
81,159
5,188
40,20
70,239
23,35
72,239
79,239
78,239
87,159
6,188
68,205
69,205
1,188
45,20
33,52
15,125
93,151
24,35
25,35
26,35
48,20
71,239
76,239
7,188
50,184
22,35
4,188
32,52
77,239
91,151
42,20
13,125
41,20
55,184
31,52
66,205
65,205
62,205
21,35
95,151
84,159
58,184
64,205
83,159
94,151
0,188
99,151
96,151
67,205
61,205
43,20
2,188
54,184
30,52
59,184
85,159
74,239
90,151
18,125
52,184
44,20
17,125
36,52
49,20
86,159
37,52
56,184
63,205
35,52
97,151
75,239
57,184
88,159
10,125
53,184
8,188
39,52
47,20
60,205
89,159
51,184
14,125
28,35
16,125
34,52
82,159
46,20
27,35
20,35
9,188
92,151
3,188
98,151
29,35
80,159
73,239
