inputName,val
11,2915775085268073150
19,72664175738661950
12,8943637131698523032
38,3858896798651968001
81,3894441688229436059
5,4563393485739226716
40,2578841753725902982
70,6496189100243787966
23,4966143484785170664
72,2053816249507090068
79,6991188285013076292
78,1522637987196169093
87,7551766560921497174
6,6629681332584863589
68,5252523793744935556
69,8221666203304770687
1,6006286283083582239
45,1734488448550523514
33,2199105031366181821
15,2562046712333260122
93,7652257378867484172
24,6999513617812975268
25,3841740850738281837
26,2502728611582676692
48,1260777068308163941
71,984609362629236554
76,2414013438409599008
7,99276563977849080
50,5315048197197026053
22,1139484216449683678
4,8804764651019586590
32,7055218529910374633
77,6617053533714993271
91,6176276022988632432
42,6445101385748382056
13,7766297594908525709
41,2694347880504828203
55,4989048266088113758
31,4253001616260463610
66,6328492291733002497
65,7631590026559739844
62,6406997038928605144
21,4076238069228640522
95,4181494973633369672
84,1179540627867198809
58,9048338937702197091
64,8097227176605756644
83,3601312376929675825
94,7382975004056158630
0,7247793545830341440
99,9026284603351157565
96,2537356500962416596
67,1493214916711474125
61,3764979845225816826
43,4292303174672377785
2,6714877325749483592
54,8151190483913908509
30,8098493278083217152
59,6467593792943440873
85,2782873939482040145
74,8454932404941251038
90,3180194851467681241
18,6504342667815238666
52,7571625776217957691
44,4613584778228528872
17,4661652292786560315
36,2081441994162539057
49,559777689696961587
86,3098939690990975494
37,193974751715946843
56,2476324049092297736
63,6859770533670140930
35,6253345121872156383
97,278450736221731260
75,8975003946891855002
57,3966644804967435782
88,8774157558647640869
10,8451693410837669800
53,3108618905269496040
8,6408603171117954009
39,5545200439249122871
47,1828730103446534961
60,1980935216099063817
89,7416980736465201383
51,2130117156837167770
14,8449113217165726314
28,1395323452441159149
16,5239045029039808098
34,2413394969569752694
82,7833925203817855654
46,8948896018227325819
27,824947500425725598
20,4460904987798872508
9,1435626124296598167
92,7294982278484268355
3,6825002934556232221
98,2524163948447648422
29,5515336056229908477
80,5957515540686266590
73,1180286971157885029
