inputName,size,arr[size]
values_11,27,"{22743, 6239, 10418, 6253, 14626, 25577, -17995, 29922, -20352, 5624, 29437, -17585, -17539, -25554, 11861, -5082, 16230, -15586, 1069, -19816, 4605, 7386, 6390, -20278, -15846, 18263, 4345"
values_19,22,"{-27062, 5856, -8427, -12144, 4509, 13230, -29002, -29428, 5995, 10064, 17966, 26500, 22890, -17890, 8177, 32218, -10046, 10568, 27268, -24896, -8825, -2113"
values_12,4,"{18898, 24077, 32604, -15904"
values_38,9,"{4261, -19992, -14250, 16667, -17132, -29762, 22130, 2384, 32468"
values_81,29,"{12018, 2545, 11309, 32532, -11240, 16201, -24177, 19786, -28488, -13642, 11561, 20914, -10694, 30664, 21476, -85, -7113, -32584, -10518, -11941, -17521, -13412, 27887, -396, 18367, 18843, -10688, 12050, -7015"
values_5,12,"{-6602, -14717, 21025, -24872, 13318, -26993, -24255, -24816, -29509, 23840, -12682, 18304"
values_40,16,"{7514, -29548, -20923, 10582, 30654, 10179, -3039, 10480, 1871, -2288, -15859, -18087, -25905, -20958, -20538, -28851"
values_70,7,"{-27076, -12093, 2060, -1281, 5296, -20442, -4065"
values_23,10,"{-28629, -18507, -7619, 3928, -19637, 31387, 22293, 18161, -22181, -19172"
values_72,28,"{4623, -18018, 27006, -29317, -24458, -10733, 11460, 699, 14623, -6730, 22117, 4181, 7362, -31806, 27581, -7965, 4118, 4764, 6230, -4894, -13603, -10626, -15391, 10907, 9656, 28988, -32072, -9638"
values_79,9,"{-30693, -19720, 17388, 25079, 17804, 5834, 13343, -9201, 7933"
values_78,27,"{452, -4377, 7788, -30466, 18988, -7086, 25741, -13110, -3294, -29915, 6020, -12044, 29063, -12465, 9949, -6434, -32526, 5527, 30655, 14660, 15037, -25912, 12594, -17882, -32539, 8123, 12906"
values_87,16,"{-2589, -384, 28929, -7495, -30198, -21403, -13288, -11569, -265, -21328, -9740, -17041, 14408, 1588, 17150, -430"
values_6,20,"{-31080, -15985, 30800, 31491, -31509, -12680, -11029, -26164, -31545, 70, 27073, -30976, 14810, 6611, 16130, 23562, 5582, 7593, -6253, 23057"
values_68,10,"{-23614, -9045, -750, -16910, -292, -22361, 7817, 18825, -9855, -1507"
values_69,30,"{14991, 3137, -20534, -7645, 32488, 22283, -17690, 1832, -1372, -27950, -12804, 15625, -9579, 10557, 27616, -22710, 24186, 23982, -5011, -29056, -31457, 22922, -25478, -24703, -28239, -15205, 2206, 9830, 17804, 22205"
values_1,24,"{-18039, 26272, 15925, -24898, 20748, 30151, 26493, -12739, 28660, 30383, -16287, -12057, 9479, 22368, -2068, 15087, 27624, 14416, 851, 2163, 32461, -12698, -23107, -3185"
values_45,3,"{21833, -6956, 4130"
values_33,6,"{-32025, -13492, 18862, 9822, -4949, 620"
values_15,10,"{631, 28469, -10628, 13107, 32551, -14704, -19364, 26526, -5503, 32452"
values_93,12,"{-27970, -10079, -23366, 23858, 18680, 5178, -2366, 19241, 643, -26758, 26338, -6947"
values_24,15,"{17136, -7137, -2530, 18906, -23006, 3016, 14923, 2031, -26613, 17103, -30982, -18054, 7539, -26701, -7810"
values_25,5,"{1662, -18728, -10590, -5234, 9857"
values_26,13,"{-9418, -19988, -677, 30644, 8979, -20221, 1126, -31518, -28752, -16208, -32057, 17761, 26051"
values_48,32,"{-31087, 19273, -8459, -29922, 6791, 3755, 2776, 9150, 28452, -14014, 28915, -5754, -25724, -4588, -6704, -14761, -23551, -4484, 1182, 29248, -5356, 24571, -10895, 23455, 20650, 20357, -20232, 7440, 5825, 26224, -2959, 593"
values_71,12,"{6030, -9025, -20590, -11512, -27725, 29056, -22750, -30864, 7469, 5327, 4313, -29159"
values_76,19,"{-14510, -2318, -2239, 21486, 12827, 22717, 8392, -8652, -13402, -21944, 4164, -24331, -29356, 20492, 16380, 29901, -6186, 1800, 25318"
values_7,7,"{133, -22539, -1840, -19026, 7402, -12456, -620"
values_50,12,"{-19121, 9122, 26101, 28726, 2556, 9495, -10220, 28245, 29054, 16971, 1847, 29177"
values_22,2,"{-1479, 28291"
values_4,23,"{11961, -24260, -23500, -9183, 11661, -16360, -14779, -1593, -19921, -29424, 6242, -14077, -26218, -9285, -25467, 19244, -21978, -20746, -7587, -3133, -4977, 2170, 28250"
