inputName,key
11,7
19,3
12,27
38,3
81,7
5,17
40,13
70,13
23,24
72,27
79,3
78,3
87,32
6,28
68,3
69,3
1,7
45,17
33,24
15,17
93,24
24,9
25,17
26,28
48,3
71,7
76,28
7,32
50,13
22,27
4,9
32,27
77,32
91,7
42,27
13,24
41,7
55,17
31,7
66,28
65,17
62,27
21,7
95,17
84,9
58,3
64,9
83,24
94,9
0,13
99,3
96,28
67,32
61,7
43,24
2,27
54,9
30,13
59,3
85,17
74,9
90,13
18,3
52,27
44,9
17,32
36,28
49,3
86,28
37,32
56,28
63,24
35,17
97,32
75,17
57,32
88,3
10,13
53,24
8,3
39,3
47,32
60,13
89,3
51,7
14,9
28,3
16,28
34,9
82,27
46,28
27,32
20,13
9,3
92,27
3,24
98,3
29,3
80,13
73,24
