inputName,nn,size,isign,data[size]
values_11,8,21,-1,"{3, 69, -60, -87, -97, 54, -24, -90, 43, 48, -47, 116, 91, 9, 114, -126, 91, -73, 89, -109, -85"
values_19,8,7,-1,"{-102, 77, -11, 50, -37, -36, 1"
values_12,8,11,-1,"{109, -4, -113, -57, -9, 99, -88, 64, -59, -81, 92"
values_38,2,5,-1,"{-124, 52, 35, -32, 64"
values_81,10,21,-1,"{-53, 125, 33, 40, 42, 110, -84, 75, 115, 109, 61, -114, -28, -22, -44, -38, -12, 19, 47, -52, -51"
values_5,3,4,-1,"{-49, -123, -57, 79"
values_40,10,6,-1,"{-56, 16, -93, -62, 25, -20"
values_70,5,6,-1,"{10, -41, -128, -88, 37, 102"
values_23,9,3,-1,"{-4, 60, 73"
values_72,5,11,-1,"{-113, -40, 118, -34, 68, -116, 98, 76, 84, 13, -91"
values_79,5,7,-1,"{52, 115, 76, -14, -39, 48, 25"
values_78,5,5,-1,"{74, 86, 69, -31, -72"
values_87,10,3,-1,"{-110, -68, 113"
values_6,3,3,-1,"{-35, 31, -45"
values_68,7,5,-1,"{-79, -49, 3, -38, 41"
values_69,7,7,-1,"{10, 115, -39, 7, 46, -71, -126"
values_1,3,21,-1,"{84, -124, 40, -30, -24, -29, -19, 118, 5, 62, 80, 55, -121, -124, 9, 90, -51, 50, 120, -5, -35"
values_45,10,4,-1,"{103, 49, -45, -113"
values_33,2,3,-1,"{-92, 112, -42"
values_15,8,4,-1,"{-51, -123, 120, -28"
values_93,6,3,-1,"{-8, 116, -29"
values_24,9,19,-1,"{40, -53, -67, -25, 29, -123, 42, 127, 17, 95, -6, -40, 79, -88, 23, 6, 71, -108, 104"
values_25,9,4,-1,"{-39, 125, 20, 120"
values_26,9,3,-1,"{-113, -121, -65"
values_48,10,5,-1,"{59, 61, -42, 26, 80"
values_71,5,21,-1,"{-92, -68, 77, 10, -13, -46, -68, 1, -111, -68, 90, 74, -79, 41, -81, 71, 114, 127, -115, 83, -105"
values_76,5,3,-1,"{-34, 84, -113"
values_7,3,3,-1,"{-118, -24, 76"
values_50,7,6,-1,"{116, -98, -71, 50, 34, 107"
values_22,9,11,-1,"{-103, 28, 120, -122, 63, 112, -54, 48, 93, 15, -76"
values_4,3,19,-1,"{79, -26, -35, 83, -119, 123, 127, 44, -101, -45, 73, 121, -40, 25, 126, 57, 68, -112, 79"
values_32,2,11,-1,"{-33, -72, 18, -2, -25, -84, 55, -2, 94, -7, 113"
values_77,5,3,-1,"{15, -79, -17"
values_91,6,21,-1,"{-104, 116, -99, 60, 74, -123, -87, 102, -89, -37, 32, -30, -38, -87, 107, -121, -29, -125, -2, 52, -69"
values_42,10,11,-1,"{14, -118, 7, -49, -100, 122, -85, 100, 36, 58, 64"
values_13,8,3,-1,"{126, 29, 46"
values_41,10,21,-1,"{-106, -116, 51, -24, 23, -80, -46, -87, -37, 70, -17, 22, -8, 101, -124, 24, 46, -95, 70, -15, -119"
values_55,7,4,-1,"{-102, -99, -98, -127"
values_31,2,21,-1,"{11, -107, 25, 72, 64, -82, 14, -108, 16, -14, -118, -4, -80, -18, 71, 80, -47, 108, -21, -47, 74"
values_66,7,3,-1,"{-9, -78, -69"
values_65,7,4,-1,"{119, -29, -123, -68"
values_62,7,11,-1,"{93, -11, -46, -73, 35, 32, -17, -59, 126, 106, 49"
values_21,9,21,-1,"{-61, -117, -84, -54, -96, 97, 116, -21, 110, 25, -27, -29, 117, -44, 76, 88, -97, 30, 1, 126, -47"
values_95,6,4,-1,"{109, -58, -43, -98"
values_84,10,19,-1,"{-15, 81, -24, 33, 4, -27, 13, 18, 110, 75, -70, -49, 46, -5, -121, -127, 122, 78, -65"
values_58,7,5,-1,"{59, 102, -74, -25, 91"
values_64,7,19,-1,"{7, -127, 89, 12, 61, 123, -20, -96, -18, 91, -66, 115, 75, 104, -52, 124, 26, 122, 120"
