inputName,k
11,6
19,6
12,6
38,137
81,138
5,186
40,98
70,187
23,214
72,187
79,187
78,187
87,138
6,186
68,127
69,127
1,186
45,98
33,137
15,6
93,250
24,214
25,214
26,214
48,98
71,187
76,187
7,186
50,193
22,214
4,186
32,137
77,187
91,250
42,98
13,6
41,98
55,193
31,137
66,127
65,127
62,127
21,214
95,250
84,138
58,193
64,127
83,138
94,250
0,186
99,250
96,250
67,127
61,127
43,98
2,186
54,193
30,137
59,193
85,138
74,187
90,250
18,6
52,193
44,98
17,6
36,137
49,98
86,138
37,137
56,193
63,127
35,137
97,250
75,187
57,193
88,138
10,6
53,193
8,186
39,137
47,98
60,127
89,138
51,193
14,6
28,214
16,6
34,137
82,138
46,98
27,214
20,214
9,186
92,250
3,186
98,250
29,214
80,138
73,187
