inputName,k
11,17
19,17
12,17
38,62
81,87
5,49
40,206
70,180
23,79
72,180
79,180
78,180
87,87
6,49
68,182
69,182
1,49
45,206
33,62
15,17
93,225
24,79
25,79
26,79
48,206
71,180
76,180
7,49
50,51
22,79
4,49
32,62
77,180
91,225
42,206
13,17
41,206
55,51
31,62
66,182
65,182
62,182
21,79
95,225
84,87
58,51
64,182
83,87
94,225
0,49
99,225
96,225
67,182
61,182
43,206
2,49
54,51
30,62
59,51
85,87
74,180
90,225
18,17
52,51
44,206
17,17
36,62
49,206
86,87
37,62
56,51
63,182
35,62
97,225
75,180
57,51
88,87
10,17
53,51
8,49
39,62
47,206
60,182
89,87
51,51
14,17
28,79
16,17
34,62
82,87
46,206
27,79
20,79
9,49
92,225
3,49
98,225
29,79
80,87
73,180
