inputName,key
11,32
19,9
12,28
38,26
81,32
5,13
40,30
70,30
23,9
72,28
79,9
78,26
87,22
6,20
68,26
69,9
1,32
45,13
33,9
15,13
93,9
24,29
25,13
26,20
48,26
71,32
76,20
7,22
50,30
22,28
4,29
32,28
77,22
91,32
42,28
13,9
41,32
55,13
31,32
66,20
65,13
62,28
21,32
95,13
84,29
58,26
64,29
83,9
94,29
0,30
99,9
96,20
67,22
61,32
43,9
2,28
54,29
30,30
59,9
85,13
74,29
90,30
18,26
52,28
44,29
17,22
36,20
49,9
86,20
37,22
56,20
63,9
35,13
97,22
75,13
57,22
88,26
10,30
53,9
8,26
39,9
47,22
60,30
89,9
51,32
14,29
28,26
16,20
34,29
82,28
46,20
27,22
20,30
9,9
92,28
3,9
98,26
29,9
80,30
73,9
