inputName,n
11,1596426624
19,1209575090
12,1335523848
38,557804476
81,387588364
5,434725898
40,1444734427
70,1332463650
23,461599659
72,831400278
79,1950114605
78,1818448102
87,1030301818
6,296391073
68,756513116
69,2141566087
1,1330510737
45,1091311906
33,850305169
15,642755113
93,1591831348
24,2026488679
25,1003081434
26,349161778
48,411886072
71,1484994630
76,1140586774
7,2091377481
50,1921988791
22,433038582
4,54567211
32,703993169
77,1183865201
91,1471299797
42,1825373786
13,1925796808
41,1386781924
55,876595608
31,460424507
66,111777827
65,360838166
62,379106023
21,1499000044
95,1278714778
84,873464699
58,232285832
64,1378756116
83,2108704473
94,686007730
0,88615882
99,1747633911
96,2084291453
67,1485776569
61,1368888783
43,1001905567
2,1713465493
54,1081902086
30,254447220
59,36950343
85,2125584429
74,869979654
90,853416895
18,1465166266
52,1249315640
44,872172788
17,632119234
36,219481260
49,262857127
86,2026483014
37,271819329
56,1949495096
63,547375546
35,1256277125
97,1957543589
75,1929567152
57,219261745
88,547304870
10,406337414
53,1867120891
8,477467398
39,696673789
47,735389582
60,1178256067
89,449674798
51,1283189682
14,493906320
28,1350202194
16,1320721362
34,914708640
82,850343852
46,419076900
27,1949864011
20,484915380
9,688776443
92,1611786824
3,959951703
98,663236793
29,837686500
80,86795399
73,907909005
