inputName,nn,size,isign,data[size]
values_11,6,31,0,"{124, 52, 98, 109, 52, -27, 98, 97, 34, -67, 94, 124, 30, -107, 38, -14, -122, 107, 4, 125, -63, -51, 16, 88, 103, -125, -100, -124, 112, -90, -56"
values_19,6,19,0,"{103, -87, 127, 70, 100, 51, 33, -10, -80, -92, -62, -51, -57, -11, 68, 49, -93, 14, 111"
values_12,6,15,0,"{-65, -65, 55, 84, -126, -125, 10, 98, 127, 88, 106, 115, 28, 51, -49"
values_38,7,5,0,"{10, -5, 90, 3, 110"
values_81,5,31,0,"{32, 60, 69, 99, 77, 89, 119, -67, 120, -72, 47, -94, -82, -115, 23, 1, -103, -11, -72, 18, -32, -102, 61, 109, 8, 16, -9, 30, -5, -122, -38"
values_5,4,29,0,"{116, 116, -112, -23, 1, 34, -71, -91, 59, -54, 60, 61, -115, -92, 84, 52, -31, -64, 123, 31, -24, -107, -74, -26, -1, -109, -112, -112, -38"
values_40,7,6,0,"{92, 109, -99, -19, -5, -82"
values_70,3,6,0,"{56, 62, -116, 75, 58, 103"
values_23,3,21,0,"{85, -9, 93, -42, -80, -14, -54, 38, 109, 114, 89, 38, 105, -82, -33, 22, 21, -47, -70, 125, -83"
values_72,3,15,0,"{-116, 84, -45, -22, 76, -18, 59, 70, -81, -58, -18, -9, -21, 57, 114"
values_79,3,19,0,"{85, -118, 89, 124, -96, -128, 8, 5, 93, -81, 51, -14, -63, 95, -72, -8, -95, 21, -107"
values_78,3,5,0,"{-126, -67, -30, -23, -125"
values_87,5,13,0,"{83, -91, 112, -45, 79, -68, -92, -111, -51, -34, 125, -104, 4"
values_6,4,11,0,"{-58, -30, 88, 109, -64, -4, 49, 96, 40, 25, 51"
values_68,6,5,0,"{36, -96, 95, -58, -24"
values_69,6,19,0,"{-92, 51, -65, -18, -25, -43, -28, 117, 76, 103, 12, 83, -67, 64, 102, 119, 49, -19, 6"
values_1,4,31,0,"{-64, 102, -99, -88, 35, -43, 108, -97, 121, -72, 38, -81, 35, 81, -116, 42, 10, -126, -110, -38, 92, -88, 42, 41, -118, -120, 114, -74, -80, 115, -86"
values_45,7,29,0,"{-15, -98, -56, 94, 15, -50, -111, -38, -48, 99, 125, -8, -84, 106, -78, -123, 59, -5, 50, -81, 92, -94, 33, -127, -24, 40, 1, 97, -88"
values_33,7,21,0,"{23, -125, 46, 108, -94, -65, 49, 81, -56, 0, 45, 99, 122, -4, 82, -69, -99, -108, 28, 63, 17"
values_15,6,29,0,"{1, -65, -26, -26, 3, 19, 1, 85, 19, 67, 15, 123, -100, 103, -124, 122, -67, -39, 85, -3, 72, 58, -28, 39, 43, -128, -44, 77, 6"
values_93,5,21,0,"{-48, 91, -38, 124, 55, 96, 63, 19, -81, -12, 36, 9, -121, 5, -38, 68, 36, 4, 10, 22, 83"
values_24,3,7,0,"{-55, 34, -17, 22, 3, -9, -15"
values_25,3,29,0,"{-25, 31, 41, -105, 60, 50, 47, 111, -118, 34, 19, 28, 8, -26, 1, -40, -87, 113, -2, -32, -22, -123, 22, 74, -95, 74, 64, -85, -23"
values_26,3,11,0,"{-58, -109, -86, -58, -113, -41, 51, 59, 86, -26, 120"
values_48,7,5,0,"{22, -1, -73, -68, -110"
values_71,3,31,0,"{-17, -40, 68, 15, 33, 115, 56, 83, 120, -34, 74, 118, 35, -118, 24, 120, 101, -25, 113, 31, 63, -60, 61, -118, -29, 71, -31, 59, 39, 106, 113"
values_76,3,11,0,"{-115, -20, 81, 62, -30, 22, -33, 100, 112, 26, -54"
values_7,4,13,0,"{56, 33, 92, 121, 108, 115, 34, 22, -74, 12, -99, 116, 50"
values_50,9,6,0,"{52, 12, -70, -36, 60, -41"
values_22,3,15,0,"{-107, 76, -50, 48, -5, -59, -125, -114, -78, 7, -72, 8, -45, -68, -19"
values_4,4,7,0,"{10, 90, -21, -91, -86, 31, 12"
values_32,7,15,0,"{-117, -37, -69, -80, 79, -109, 8, 51, 76, 111, 16, 94, 51, -9, 71"
values_77,3,13,0,"{-42, 63, 62, -70, 70, -85, 32, -40, -30, 66, 80, 84, 25"
values_91,5,31,0,"{-120, -16, 71, 12, 118, -113, 91, -5, -107, 101, 42, 76, -31, -122, -43, 14, 60, 127, -46, 79, -69, 14, -98, -63, 23, 115, -41, -28, -31, 27, 27"
values_42,7,15,0,"{38, -84, -66, 66, -64, 49, 75, -55, -21, 30, -84, 28, 44, 96, 92"
values_13,6,21,0,"{-54, 25, -50, 29, 123, 75, 108, 127, 113, 99, 71, -16, -43, -128, 35, -26, -20, -65, 65, 15, 37"
values_41,7,31,0,"{92, -118, 64, -56, -101, -12, -62, 47, 115, 107, -31, 102, -9, -107, 47, 68, -7, -106, 33, 1, -107, -55, -50, 23, -53, -44, -42, -111, -77, 28, -90"
values_55,9,29,0,"{-92, 125, -110, -109, 92, 12, -126, -100, 85, 88, 96, -36, -51, 80, -78, -120, -48, -103, -46, -31, -47, 113, -82, 32, 52, -104, 117, 12, -31"
values_31,7,31,0,"{120, 30, 65, -3, -118, -44, 43, 111, 119, -24, 53, -9, -89, -60, 67, -103, -9, -51, 72, 126, 0, 54, -7, -29, 37, 121, -121, 115, 75, 108, 3"
values_66,6,11,0,"{48, -126, -91, 47, 59, -45, -30, -111, 48, -119, 85"
values_65,6,29,0,"{67, -94, -122, 92, -89, -29, -73, 38, -88, -114, 46, -78, -13, 27, -113, 97, -8, -113, 93, 4, 113, -5, 63, -126, -39, -107, -1, -47, -1"
values_62,6,15,0,"{95, 77, -116, -117, 76, -42, -10, 15, 84, -110, 120, 27, -49, 25, 21"
values_21,3,31,0,"{-6, -13, 82, 53, -70, 98, 15, 125, -2, -6, 57, 17, -63, 110, 103, -24, 50, -83, 44, -127, -122, -18, 19, -47, 0, 78, 60, -41, -84, 86, 53"
values_95,5,29,0,"{84, -91, -42, 41, 78, 37, 102, -40, -110, 69, -42, -50, 39, -68, 103, -82, -28, -40, -69, 91, 96, 120, -35, 96, -37, -22, 84, 63, 8"
values_84,5,7,0,"{58, -6, 62, -29, -34, 125, 116"
values_58,9,5,0,"{-67, -111, -123, 95, 43"
values_64,6,7,0,"{-47, -20, 2, -100, -16, -53, -81"
values_83,5,21,0,"{13, -29, -89, -54, 32, 47, -47, -7, 27, -33, -90, -5, -21, 8, -6, -85, -78, 67, 93, 78, 119"
values_94,5,7,0,"{42, 106, -93, 80, -41, 77, -24"
values_0,4,6,0,"{60, -86, -116, -28, -97, 104"
values_99,5,19,0,"{70, -5, -99, 55, 120, -53, 95, -39, -38, -6, -21, -107, 106, 56, -112, 126, 1, -41, -62"
values_96,5,11,0,"{12, 32, 54, 20, 65, -78, 76, -103, 60, 6, 116"
values_67,6,13,0,"{87, -112, 20, 77, 36, 84, 104, 105, 111, -54, -40, -68, 106"
values_61,6,31,0,"{48, 122, -7, 93, 91, -103, -87, -55, -95, 77, -112, -102, -3, 92, -4, -128, 31, -84, -123, 82, 53, -2, 23, 68, -45, 26, 105, -20, 25, 41, -67"
values_43,7,21,0,"{74, 78, 28, -7, -11, -114, 65, 0, -20, 6, 76, -37, -100, 120, -13, 27, -78, 92, -11, 41, -58"
values_2,4,15,0,"{90, 74, 98, -11, -105, 109, 65, -54, 47, 60, 27, -83, 12, -72, 53"
values_54,9,7,0,"{-98, -40, -58, -13, 62, 97, -97"
values_30,7,6,0,"{-22, -106, -36, 81, -80, 40"
