inputName,nn,isign
11,2,0
19,2,0
12,2,0
38,3,0
81,2,0
5,3,0
40,2,0
70,1,0
23,1,0
72,1,0
79,1,0
78,1,0
87,2,0
6,3,0
68,2,0
69,2,0
1,3,0
45,2,0
33,3,0
15,2,0
93,2,0
24,1,0
25,1,0
26,1,0
48,2,0
71,1,0
76,1,0
7,3,0
50,2,0
22,1,0
4,3,0
32,3,0
77,1,0
91,2,0
42,2,0
13,2,0
41,2,0
55,2,0
31,3,0
66,2,0
65,2,0
62,2,0
21,1,0
95,2,0
84,2,0
58,2,0
64,2,0
83,2,0
94,2,0
0,3,0
99,2,0
96,2,0
67,2,0
61,2,0
43,2,0
2,3,0
54,2,0
30,3,0
59,2,0
85,2,0
74,1,0
90,2,0
18,2,0
52,2,0
44,2,0
17,2,0
36,3,0
49,2,0
86,2,0
37,3,0
56,2,0
63,2,0
35,3,0
97,2,0
75,1,0
57,2,0
88,2,0
10,2,0
53,2,0
8,3,0
39,3,0
47,2,0
60,2,0
89,2,0
51,2,0
14,2,0
28,1,0
16,2,0
34,3,0
82,2,0
46,2,0
27,1,0
20,1,0
9,3,0
92,2,0
3,3,0
98,2,0
29,1,0
80,2,0
73,1,0
