inputName,nn,isign
11,3,-1
19,3,-1
12,3,-1
38,2,-1
81,4,-1
5,2,-1
40,3,-1
70,4,-1
23,4,-1
72,4,-1
79,4,-1
78,4,-1
87,4,-1
6,2,-1
68,2,-1
69,2,-1
1,2,-1
45,3,-1
33,2,-1
15,3,-1
93,3,-1
24,4,-1
25,4,-1
26,4,-1
48,3,-1
71,4,-1
76,4,-1
7,2,-1
50,1,-1
22,4,-1
4,2,-1
32,2,-1
77,4,-1
91,3,-1
42,3,-1
13,3,-1
41,3,-1
55,1,-1
31,2,-1
66,2,-1
65,2,-1
62,2,-1
21,4,-1
95,3,-1
84,4,-1
58,1,-1
64,2,-1
83,4,-1
94,3,-1
0,2,-1
99,3,-1
96,3,-1
67,2,-1
61,2,-1
43,3,-1
2,2,-1
54,1,-1
30,2,-1
59,1,-1
85,4,-1
74,4,-1
90,3,-1
18,3,-1
52,1,-1
44,3,-1
17,3,-1
36,2,-1
49,3,-1
86,4,-1
37,2,-1
56,1,-1
63,2,-1
35,2,-1
97,3,-1
75,4,-1
57,1,-1
88,4,-1
10,3,-1
53,1,-1
8,2,-1
39,2,-1
47,3,-1
60,2,-1
89,4,-1
51,1,-1
14,3,-1
28,4,-1
16,3,-1
34,2,-1
82,4,-1
46,3,-1
27,4,-1
20,4,-1
9,2,-1
92,3,-1
3,2,-1
98,3,-1
29,4,-1
80,4,-1
73,4,-1
