inputName,idum
11,-287974701
19,-1707961915
12,366760453
38,1701068270
81,-1796098214
5,-1030827149
40,-2104497046
70,2064291472
23,616886768
72,1224299675
79,2120477361
78,-1340977242
87,409345817
6,1312971938
68,-1455055824
69,2009899356
1,480533180
45,-2037699656
33,1930503891
15,1928976162
93,81305669
24,-1153794472
25,1468890581
26,1792374272
48,-525568075
71,626891686
76,445742818
7,-1918472649
50,-1342985419
22,-452741870
4,-651892592
32,2021111557
77,-1033016466
91,-1433490363
42,1500874613
13,-1287218516
41,51578336
55,-1758401721
31,825419851
66,1265982508
65,-1268506586
62,-1492665171
21,-1751089469
95,-2063914863
84,2103285872
58,-2051939984
64,-703470606
83,1158851330
94,-504143179
0,1244865286
99,-1125264887
96,975750078
67,470419957
61,-1112333144
43,595446101
2,-2071639849
54,1005963220
30,-1301387599
59,-1336716338
85,-182045033
74,-1550995273
90,-2023784127
18,1479128392
52,759695847
44,-2076489481
17,-1639525190
36,1326647069
49,-632867458
86,1538853015
37,-768455601
56,337075341
63,1374794638
35,68724568
97,2076652941
75,769003040
57,1148016500
88,52669796
10,-1581026143
53,-752060162
8,647012255
39,-1781785240
47,549772475
60,398765951
89,674252156
51,613620757
14,-82559792
28,12799274
16,-835223832
34,1116321850
82,4361892
46,-1630111443
27,579605721
20,-302696132
9,-165345648
92,75793725
3,-925409310
98,2134504812
29,-1571522154
80,-364509479
73,-992953464
