inputName,key
11,4
19,9
12,6
38,15
81,4
5,32
40,8
70,8
23,30
72,6
79,9
78,15
87,15
6,29
68,15
69,9
1,4
45,32
33,30
15,32
93,30
24,14
25,32
26,29
48,15
71,4
76,29
7,15
50,8
22,6
4,14
32,6
77,15
91,4
42,6
13,30
41,4
55,32
31,4
66,29
65,32
62,6
21,4
95,32
84,14
58,15
64,14
83,30
94,14
0,8
99,9
96,29
67,15
61,4
43,30
2,6
54,14
30,8
59,9
85,32
74,14
90,8
18,15
52,6
44,14
17,15
36,29
49,9
86,29
37,15
56,29
63,30
35,32
97,15
75,32
57,15
88,15
10,8
53,30
8,15
39,9
47,15
60,8
89,9
51,4
14,14
28,15
16,29
34,14
82,6
46,29
27,15
20,8
9,9
92,6
3,30
98,15
29,9
80,8
73,30
