inputName,nn,size,isign,data[size]
values_11,1,11,0,"{-1138787427, -864300939, -616142988, -129636396, 1990714578, -217790814, -206353859, 1372232103, 1702839276, 146727270, -1100651566"
values_19,1,14,0,"{469890684, -2137869496, 1128231595, 1534870113, 1771835, 1560029898, -1437484585, -1128836701, 303495030, 272510135, 1409781840, -2087853255, -373498475, 1607876428"
values_12,1,9,0,"{-1969845879, 387494933, 1845960096, -1646204991, 132777135, -485375178, -773768610, -1312596526, 246812142"
values_38,3,31,0,"{-629567633, -347158378, 2081601100, 1148668688, -1966235013, -1368973667, 1350716401, 1102496811, -1839617296, -921477258, 310501904, 1110091192, -1026796012, 286204512, 675644069, 2106858218, 997484442, 1405756950, 28496713, -1248114013, -1127742721, -227692762, 1071538897, 1072179672, 1360812156, -128262572, -302092784, -91985276, -1530872476, 892616737, 1096661723"
values_81,1,11,0,"{-765924091, -1712867790, 935114656, -1126001833, -600586397, 1375097143, -1596372495, -1847924022, -1386455431, -917328708, -489370686"
values_5,3,21,0,"{-231252558, -843501733, -301706163, 1746332424, -1791773766, 1147815570, -1310761219, -1714752015, -434957454, -1552197296, 1581664599, 866368875, -1210326511, 345870937, 348266302, 2046478586, -174417408, -1284269764, 1570468531, -2014497995, 1144795773"
values_40,3,15,0,"{2114007614, 1857806658, 1769226574, -1327948056, 2136676545, -1042262875, -2094082420, -90420717, -1964409959, -1016623545, -1294871991, 1339950647, -2006037290, 492914711, -109249532"
values_70,1,15,0,"{-1708542723, -2039922383, 638748959, 163837896, 1433583534, 1622030594, 1246437203, -1905259930, -664512053, -2062025155, -1931394003, -954637261, 838814517, 463498858, 1441996235"
values_23,3,23,0,"{-731032138, 1136700792, -498955814, -2115108808, 462090333, 2123333389, -73587121, -687806997, -413413598, -1592536709, 1057383524, 609710310, -1250685305, 2064560088, 1782838445, -46869213, -1487455292, -1048306075, 2021339911, -1067099577, -1621588346, 1426135720, -2037495837"
values_72,1,9,0,"{-1636862736, -1908596059, 1118027375, -1327803003, 790168104, 1009488734, -1107923450, -2086436765, -2069412914"
values_79,1,14,0,"{1752665775, -1459523848, 627517177, 711002732, 817725221, 1576816677, -811895753, 180228484, 1473337601, 50508892, -955159948, 35597654, -1040917190, -808099043"
values_78,1,31,0,"{-777653168, 1120488194, 404786479, 547772434, -102274467, 1556685024, 101705249, -1029253186, 1419960182, -1661965414, 1985733921, 1779835165, -1561014657, 1990715043, -1933966311, -328016921, 357893231, -98296822, -1374246712, -1076678281, 1282794242, -1380227645, -322527011, 1908630359, -872675532, -441006380, -1422218267, -1119865382, 1213922582, 471248932, 68165633"
values_87,1,19,0,"{102268536, -707168065, 1551870111, 287513164, -249697245, 1458944964, -923155163, -1530092810, 1372648278, 950629692, 633026565, -524895903, -871525325, -2088857509, 711724521, -1559378006, 1665585010, 236242541, -1754739775"
values_6,3,14,0,"{1107459824, 1330736346, -2023393284, -76841304, 612511314, 150096983, 1794258401, 595174585, -1662245678, 996942672, 373817447, 1350446025, -463840682, 1619500826"
values_68,4,31,0,"{-712323523, -109977341, -427574358, -355795846, 1431740086, 2095242797, 1494950977, -526701719, -1244385596, 1041199070, -1391567934, 1272042466, -1613679696, 303264904, 868308963, -1218273173, -335967906, 1583370602, -2087272244, 441767412, -1259355205, 872343078, -551353594, -155764655, -1347808445, -929239526, -1597872713, -1698659277, 421314410, 5382918, 2135048859"
values_69,4,14,0,"{1133003670, -604678794, -1530025017, 1392838358, 883453560, -1425537636, -2095523170, 962441501, 1014460664, 98642712, 1660815175, 1663594248, -731602140, 390996805"
values_1,3,11,0,"{-176049756, -185229676, 1638041174, -1262699354, 1890560626, 353203096, 2145442106, -321839923, -1845689121, -722037914, -1686983629"
values_45,3,21,0,"{1979158945, -930480796, 556478220, 25378643, 202108100, -630501717, 1816485251, 1051783469, 57972595, 36805143, -206087226, -686001574, 1407419765, -1798337069, 125873067, -1159577705, -323425898, 1511821422, -23922080, 246209681, -1098924509"
values_33,3,23,0,"{1707194329, -600981972, 1225162189, 543845341, -863611932, 655768543, -367832164, -368245342, -1089214741, 1872171387, -406785047, -1777107251, -1383083612, -63324187, 619545139, 197641458, 1598008981, 1212313605, 595944084, -1438619083, -730591575, -2042470405, 15328018"
values_15,1,21,0,"{1765081360, 1656510215, 423291401, -1093095030, 1595609697, -1273050570, -2086785663, -1638531766, -1598110813, -1310675052, 641627048, -600136093, -394403468, 1722644295, -1546266018, 547620082, 590440923, -1387260346, 969469558, -374303371, 1646609079"
values_93,1,23,0,"{572058346, -1968179051, 105589895, -279731092, -544333109, 1893790879, -1455001570, 1630283756, 1237451656, -58474074, 592249645, -743357061, -2032716407, -489922379, 1995455811, 696246536, 946537582, 271931617, 776696927, 1863113657, 2058743574, 471116557, -188570078"
values_24,3,16,0,"{1335096139, 1476440605, -38963899, -1486989984, 47090918, -1483189618, -1842580273, 1666134182, 175835442, -2066801985, 1720820542, 230936354, -2007314158, 1886843773, -1114406698, -514677002"
values_25,3,21,0,"{338771610, -1631884201, 534256079, -187533146, -1670715451, 358286886, -529182027, -1094266625, -1316614710, 1618627126, -1562207055, -290473550, -1331866844, -189751830, 2134038230, 1470999281, 1144729479, -175913809, -924637700, 620794511, -600675825"
values_26,3,14,0,"{862381751, 210895860, 1549075150, 1114553455, -883245619, 1722375051, -1775754577, 1012579006, -158347525, -2025694927, -280932339, 1479271722, -1782981729, -1645318940"
values_48,3,31,0,"{-1010569647, -1553753912, 378012156, 94237463, -760413034, -961671730, -1494134430, 1470034560, -838447696, -1018630447, 1348803311, -1801254454, 619659177, 1236626348, -1715835894, 1534210400, 1716928383, -1007099575, 1819856102, 1586223106, 217683835, 1744981037, 1694122313, -282380867, -221483046, -780400311, 1978060109, -551480085, 1949623622, 633542713, 1290846712"
values_71,1,11,0,"{817086686, -1652581547, 1098211853, 2098025048, 512469733, 135081927, -259004864, 2100009794, -126743365, -82117786, 457737668"
values_76,1,14,0,"{759485473, 1818251135, 206909903, -1982707995, -1733343601, -1938605084, -1373160581, -1711114600, -1569823793, -388081390, 613339730, 1404941148, 883392321, 1887684811"
values_7,3,19,0,"{1011927868, 2004060541, 1552216383, -2027469057, 1002593275, -1546545540, -1822688263, -772701465, -955228904, 1348652132, 1123981787, -2038911163, -1958444408, -565554736, -961578873, -123660505, -1486280834, 173659935, 1357917240"
values_50,4,15,0,"{-1243604777, -48775031, -1400817635, -883097079, 808037114, -1692301691, 66777900, 1262411881, 798977930, 1938983695, -2101477903, 1561252224, -1530565115, 127299812, 725672874"
values_22,3,9,0,"{1401039541, -476335490, -1485737366, -1288452343, 1406975533, -2034961434, 1748807360, -1600030933, -2003103099"
values_4,3,16,0,"{537522229, -532267878, -161368597, 729759304, -509365559, 522868408, -763726761, -1052298130, 942923846, -258517763, -490309061, -583557864, 1795077198, 427410559, -1598418950, 432577880"
values_32,3,9,0,"{1615384763, -1600536785, 689539569, -552361961, -1253203484, -1521186825, 971161519, 640181717, 285605859"
values_77,1,19,0,"{907272455, 158271119, -1379724391, -757992625, 559662984, -2014014449, -1336553003, 429367020, -1597741661, -2108988379, -1434127603, 1863055163, -955550575, -62152079, 1281031318, -1853008136, 159014879, -1135262800, -1267771847"
values_91,1,11,0,"{-1730714244, 1876493360, 1114001869, -1833124442, 1053499133, 1458511536, -1163193285, 977149587, 176030812, 1981524394, -1029713737"
values_42,3,9,0,"{1366857586, -830235503, -1688124047, -2024117710, -737686680, 1026978576, -715216745, -978519712, -1922957911"
values_13,1,23,0,"{-1420040675, 907833899, 2084484508, 746772867, -985097369, 1742634970, -1379375689, 249821048, -274486553, 1411159788, -131278724, -234347414, 1225866120, 1350814099, 1152726044, -285890555, 405775914, 1773040716, -238961961, 2077428881, 1048874062, 676412635, -1908994444"
values_41,3,11,0,"{-2080256378, 1399248654, 1344211984, -699029584, 1790163773, -1529329609, 287621202, -106743533, 880212836, 164543597, -407102694"
values_55,4,21,0,"{587913286, 697514166, 808584985, 1470515367, 1159263157, 422100351, 1932788187, 1953710532, -2114969950, 1272681551, 1061752585, 1102375782, 661804127, 699713954, 1562188855, -497127282, 1111055274, -1650024232, 1783490790, 95533653, -1503886639"
values_31,3,11,0,"{1945335286, -1102258692, -54937962, -399264988, 67448987, -99272162, -117494358, -70361475, 1880106319, -373549987, -1902595924"
values_66,4,14,0,"{-891116184, 1092682393, -175571674, -79760212, 1856426093, 2125974568, 101941879, -69243125, 1946083443, -363860252, 1370867998, 1294391525, 1504852102, 1250409399"
values_65,4,21,0,"{-1138077525, -789215683, -907181813, 417204447, 1131908397, -1365806980, 241747908, 1013973985, 445629023, -561064106, 1568340442, -1545000780, -414172264, -913222554, 1031586759, 49868923, 241280364, -1077380479, 929919989, 1665512251, 2110489014"
values_62,4,9,0,"{-348167480, 953998440, -728427413, 658622127, -1254004622, -877210740, 205412332, 901155164, 1778413363"
values_21,3,11,0,"{-810485715, 497912701, -388381283, 517535223, 396451802, -191665407, 87616599, -382476657, -1534788583, 978111737, 1367643875"
