inputName,size
11,13
19,25
12,17
38,31
81,14
5,21
40,10
70,12
23,24
72,4
79,27
78,5
87,16
6,6
68,17
69,22
1,12
45,24
33,17
15,14
93,8
24,13
25,22
26,26
48,31
71,6
76,9
7,20
50,29
22,14
4,10
32,10
77,24
91,25
42,12
13,4
41,25
55,22
31,13
66,24
65,6
62,5
21,27
95,12
84,20
58,19
64,18
83,32
94,8
0,32
99,27
96,31
67,10
61,8
43,3
2,19
54,7
30,28
59,22
85,28
74,20
90,31
18,5
52,12
44,3
17,28
36,23
49,3
86,6
37,8
56,22
63,21
35,3
97,8
75,19
57,3
88,23
10,26
53,8
8,14
39,31
47,24
60,13
89,6
51,5
14,9
28,28
16,21
34,14
82,25
46,31
27,30
20,29
9,7
92,29
3,11
98,32
29,18
80,4
73,25
