inputName,n
11,22
19,27
12,10
38,9
81,15
5,18
40,27
70,9
23,8
72,28
79,14
78,2
87,4
6,7
68,16
69,11
1,21
45,18
33,28
15,18
93,5
24,11
25,15
26,6
48,23
71,26
76,28
7,8
50,29
22,22
4,15
32,15
77,25
91,29
42,2
13,30
41,3
55,15
31,32
66,23
65,16
62,27
21,25
95,23
84,9
58,23
64,8
83,30
94,17
0,6
99,4
96,16
67,27
61,21
43,9
2,18
54,31
30,19
59,24
85,12
74,5
90,22
18,10
52,6
44,9
17,24
36,21
49,28
86,13
37,27
56,30
63,15
35,26
97,14
75,30
57,16
88,32
10,31
53,30
8,18
39,8
47,14
60,16
89,27
51,24
14,5
28,21
16,18
34,2
82,17
46,18
27,28
20,13
9,3
92,19
3,31
98,14
29,6
80,5
73,25
