inputName,n
values_11,27
values_19,2
values_12,5
values_38,30
values_81,3
values_5,8
values_40,7
values_70,20
values_23,17
values_72,7
values_79,25
values_78,13
values_87,16
values_6,14
values_68,30
values_69,26
values_1,28
values_45,22
values_33,19
values_15,20
values_93,12
values_24,31
values_25,12
values_26,23
values_48,18
values_71,17
values_76,22
values_7,19
values_50,24
values_22,26
values_4,12
values_32,7
values_77,23
values_91,16
values_42,2
values_13,17
values_41,4
values_55,14
values_31,10
values_66,19
values_65,25
values_62,20
values_21,26
values_95,25
values_84,31
values_58,23
values_64,3
values_83,8
values_94,31
values_0,15
values_99,14
values_96,30
values_67,15
values_61,7
values_43,26
values_2,21
values_54,15
values_30,29
values_59,21
values_85,24
values_74,28
values_90,14
values_18,13
values_52,8
values_44,4
values_17,2
values_36,24
values_49,10
values_86,5
values_37,5
values_56,27
values_63,21
values_35,29
values_97,20
values_75,19
values_57,9
values_88,3
values_10,22
values_53,7
values_8,26
values_39,10
values_47,27
values_60,17
values_89,18
values_51,18
values_14,29
values_28,29
values_16,29
values_34,18
values_82,25
values_46,30
values_27,24
values_20,19
values_9,22
values_92,30
values_3,29
values_98,28
values_29,7
values_80,25
values_73,22
