inputName,size,a[size]
values_11,29,"{-2347629663553431684, 5008522068535879054, 6784843636275412106, -6541635290576157083, -4441376648746409720, -1899905946998527850, 7356627098625820950, 1023012384344273404, -6891786539018782949, 5514332035681282539, -7254625314610564834, 2553921002796167463, 2953425035304848611, -1611792943616401428, 2225315869122884716, -7142103169714523999, 6117164424507387736, 7898293092677457410, -6144968978449262870, 3640703658989260742, -6439160557157163382, -375532804636920829, -9082575194680834824, 5560729079169086182, -8052837236014364051, -6351389853625494397, 6641851135310377210, -8517815200491687472, -8419704537601552450"
values_19,19,"{-4072732187872436522, 5003766993318811344, -1013750572804670082, -5498907724433199003, 684680705458493604, 5286524790358140023, -134540304571329872, -4045241564520005054, -3984196603165378599, 2631896073164986872, 6492232325965550723, 2201989021569651928, -1321484598391985085, -7119311784306128778, -3930522982981686472, 498766827838378642, -3266099832107707730, 3521831507910549969, -1274573470664171802"
values_12,24,"{8635807033676268006, -1484959750075999480, -550273829936610773, 2098411030877449085, -3512020371550686323, -1785010579748382333, 6911553010804529507, 5973488229607877215, 7564780198661494967, -2207060127602400138, -6789068799573213125, -4988493243518623309, -4186891444292399174, 5158430265803870158, -7645996669850874758, -5580564148554686273, 6140688457906872952, -5587798329041259693, 261548921683223984, 4940121096634446678, -5937035068394603799, -11233752294062919, 8599277545071448027, 6247933927969595791"
values_38,30,"{-2857195761976355705, -2150490414407261963, 4476729088960537020, -1495017743083550049, 3432024365463259196, -2871095173969330488, -8784615988986467800, -6982067970882308029, 1713909247001110211, 3978039384266662399, 2437944161233627337, 3347116829288555517, -8076068048308450831, 2990917964499019694, 434881545141590778, -603275236882203463, -7926756576116947876, 1836242074723214264, -1815319680000176430, 4161455166454607794, -4145421361019019738, 293232636604583223, 7806263798205223198, -5712703990247774902, -6836659174244457318, -1055747878798972364, -7692927111643919301, -1468120149430414373, 8833899932202603456, 7602308235433025271"
values_81,7,"{305044024164582040, -2092694048040253755, -4102528031356062443, -1071176189081690606, 1883812660475272800, -9099836222713480285, -2269817330294583326"
values_5,32,"{1981549239015286280, -2745018205649244287, 7702051992953592721, -177292907790816480, -3321440323418330394, 4887255529085534160, 7967902743133393824, 5797215234662033500, -4315041940488975065, -3849467437273641659, 4770346355768428027, 9211498416469747438, 969463695670155492, -7130129788728674919, 1745130722803597302, 391923536072141487, -3416458373841164627, -3114492278714151735, 5835487539726327699, 3204192593424906326, -4760676199544019313, -1192075647418194390, -8089630471599786635, 5381946847335389452, 5961641290451010572, 5276637849740475902, -4676110979085184493, 8988618922350142140, 189780393564421315, 4193307546120148469, 7936673892598566702, 4037304778121644476"
values_40,27,"{-4108955337475277200, 8237300736408181122, -1741990838868316102, -2333132352841593517, -1748721341842926539, 7205128538949285590, 6663201170039350127, -3348950631831403563, -3220425784415118750, -6374366401822574342, 9218442410610094557, 6293498311256466872, 8700159481160664339, 6823430473067580829, -790753309762149749, -2360725824451685011, -5747455896598254803, -6126651242450815227, 9002522851607401961, 4399613668218267743, 4000304442004272925, -5190697435661293330, -7839166064382266962, -4679867250495142353, -6846860453441120733, -7394566707720734611, 2123975730017927986"
values_70,32,"{7169536831725877718, -6492251429861230694, -1579423821666207274, -1958652457947720510, 1283172230735828672, -7614785965468383361, -6576386143116476016, -6324438120753475411, 6935489795981451032, 6534474543790355966, -1179896549617772508, -2189048054597948159, -5357958569070401787, -7844292420187965902, 3013716927647170767, 7933556852434848065, -6830554565935713964, 7134825220212055003, -8548454158841172431, 1052023297752257894, -7215076581114004428, -5056404075795509808, 1921244577317790854, 5261043835346575573, -2525629081041081469, -1682319185010713347, -5342689639180537597, -1888266455530899527, 6690063062359665252, -7722438172724979844, 7939291652373987818, -94726425889746354"
values_23,25,"{1675288004693403100, -4300698574989490267, -3485114129125340644, 1954517659507381439, 8098137462062524169, 3344817042377497075, 4297841649809208084, 1804899575332800329, 3573334024735215513, -7811900038149652067, -2033501800231513037, 132533102014285882, 2992515445521434147, -7276196580207358762, 6412656908756822111, 5016656220212509311, -2560865466695675309, -8877787717438998167, -1046290765160611721, 8828372559193090359, -1389403673315379687, 2207919646631845797, -1302370961366080264, 7229480602335385439, -6296759773546464365"
values_72,18,"{-7860987123349800680, -7776511025511877246, 2668076266754883450, 7415815949284274104, 8911676347368709932, 5501878239647919219, 159379637272576702, -7094304532047720429, 6301529512347147854, 7830069268578608046, 4408134326588433012, -6100477185545666174, -2010861467236886809, 9164726786145409104, -7317082916931387741, 3185605592583743227, 4414225018790768903, 2099121105293633245"
