inputName,n
11,15
19,7
12,13
38,16
81,26
5,26
40,23
70,2
23,26
72,9
79,27
78,16
87,2
6,11
68,6
69,24
1,14
45,30
33,3
15,15
93,16
24,15
25,18
26,25
48,26
71,9
76,29
7,26
50,32
22,10
4,28
32,6
77,29
91,5
42,9
13,21
41,3
55,23
31,13
66,22
65,2
62,32
21,26
95,16
84,2
58,22
64,19
83,16
94,7
0,27
99,3
96,4
67,16
61,15
43,19
2,19
54,2
30,10
59,23
85,28
74,15
90,31
18,4
52,22
44,3
17,10
36,12
49,15
86,32
37,16
56,18
63,30
35,15
97,16
75,10
57,15
88,20
10,26
53,24
8,5
39,7
47,12
60,9
89,15
51,22
14,30
28,21
16,13
34,24
82,15
46,27
27,17
20,28
9,8
92,28
3,15
98,13
29,19
80,27
73,21
