inputName,n,key,arr[n]
values_11,21,19,"{-4868687814600146895, 4085993026550012349, 2038213506787816919, 3777246927363589943, 6091444002642261058, 7399445951571684035, 4111665077619035464, -6022412686348574526, 3685228447235867380, 8786043742478622885, -2254178400254255298, -4774575956247466194, 439555825204087495, -3524374629483191257, -7824485496929434089, -5470202015989852431, 3018871794895364942, 7619925000900656070, 7606968718721409974, -221617802070458715, -5489309769452378027"
values_19,21,10,"{6956367556599733979, -6130931005806457036, 6514647928836543976, 3061952774583197157, -3785360563477753847, -1835331318080882804, -4735682360667922060, 8998580975890844679, 6501903150890464014, -6420346979911296217, 7661548185334682917, -6733286357033617016, 3965343527821132361, -3395305552459427760, 7484950044586548639, 9050229939950456764, 3850710565876867998, 37000923712311539, -9095033271275906912, -4717068679615367264, 1905316153559551629"
values_12,21,30,"{7984286083435822137, -3823263749065985941, 2760811772618316599, -7736333798447370888, 8055213507863043298, -3923745805084892982, 495374215191068056, 324016624177726810, 3412936661698323720, -4089890973290109898, 8679913854871239313, 2001604999208576765, -4416389874072337244, -1063371021317640620, 5278015803034951054, 150894486334716577, 513093622038171524, -2957017345635859269, 800009920611015344, 7169891979562020627, -5818919428312692023"
values_38,19,21,"{4941182125380397390, -7573814705553809947, -6952354572701961112, 1884216368664332530, 6175407886185181621, -9171305231038606837, 471741102073738260, -8977204870002622343, 2765804037350854888, 3895329201259136305, 1628819164286700932, -2869479207979828356, 7675638718389942694, 7571153853960303933, -8130854838716294586, 6689149951688097087, -8903006412760954606, 5597324429399021531, 1108470608611412691"
values_81,25,19,"{-1306917302411609055, 5774521966408731025, -5926264673327062276, -2047677098698665087, 350605796205174287, 1867264601393369601, -6660796643983297491, -6936387209928153361, 4755850118854699132, 3236096808431179262, 8851043388806906349, -6723012868065429866, -4449467375837487068, 3648428254497444240, 3844077922112589071, 5133270277116768332, 4883821024309905841, -4957336648924826773, 8996148518533807574, -91711038593901996, 8840691796256576480, -2859008100162252952, -6402525361965946081, -1798232940089393817, -8485485072307567714"
values_5,10,3,"{-1057886277482099773, -5754494926583274147, -8618933853950111990, -7654830210970697054, -2391961331306761999, -7516913502165691229, 6145249473359565894, -1645774118847683009, -5934299456304136419, 578631165833046865"
values_40,11,8,"{4212412663816406051, -3531387705250565804, 3677216615362487602, -26095094086546448, -2437357374925817420, -4731896697322772834, -5361259859237190703, 4891731337424409850, 5101032718465777022, -4052558137825877978, 1530752821788767674"
values_70,27,8,"{3482006966944796768, -9094706920915116198, 2020441567797762810, 9113268257777939235, -5508850928242934350, 6795102941050503897, -2968940838456374111, -1082439025061190979, -2169467016163318077, 3789800815094004860, 6071825819523428877, -5883387263023960502, -1582560446090557807, 2645010430199327946, -5272723988560193646, -8126352874538777204, -7834108044310980675, 8137890096827274299, 1978855823886294614, 316739811504026479, -3758436952649090171, 6142753946382166252, -2481202523128698308, -2177802947863998848, 3746429074328265400, 5036607336595993856, -5450433892370582905"
values_23,27,9,"{-8506064822439011309, -4557183523944861218, -7400479224633524949, 1081721531283788554, 1896657181795116398, -6214928881387187373, -674077720431038086, -1565787870148106104, 2619825586775758194, -320500178875642271, 8749252851521251616, -1648798944737739004, -7963984441768402156, 112169191378793156, 1208306934632175843, -1082427219255562816, 3725057418820498341, -206584151193785635, -6852539250821086381, -3148838191905999555, 7661934808737118860, 8169579236843552273, 7040738114608987463, -516729905480170790, 3099731407701554103, 1434698281585104391, -8131531998904518429"
values_72,27,30,"{639276864686702165, 2802075108707965387, 3933061699566046037, -8219473386125099593, 896432365896456697, -3270643345095381475, -7353022999790672330, 4859111798709241236, -5735980320479506025, -8171534192162332825, -6856764370724934370, 3504541389117732596, -857397783455675370, 1893896457164650325, -4706487741676367091, -6112760520165216721, 2025133836450890259, 3485613522101043449, -4995609370188132666, 6960381958141268979, -2824487136825326576, 4669445455294765149, -3290940461770531872, -2249597278013852505, -5169291564910143559, 8191822882614053553, -5604692950495899330"
values_79,27,10,"{-2923690403360559890, 8003503166258797939, 1388186935104964438, -1357437664864693649, 8078977874027430219, 3868495124695178853, -5533526778682222614, 8184927084348318189, -5151714787316561092, 928453313626015799, 5080177303715647137, -3862621341152664555, -1442773095970529905, 9026858083485211748, -8777018015391350214, -2938478127276998892, -5256575889311889892, 1982577731550993978, -5825732860409075362, 8017667738007704243, 6406455552272094674, 4091906258851593147, -4754885566784111259, 7859706410175831606, 7058166405509216021, 7949927953445823888, 8409604678103911157"
values_78,27,21,"{7764432750079715460, 2534698114598823825, 5883057081375123888, -6156482640032038578, -7411496103818980550, -3030781486273337232, 4670308565755816230, -600795992844932349, -5132702505666054475, 1280254743323474572, 2380193127342562820, -9159255312917468561, -141919815439220950, -4017768357655837856, 3180867471997036626, -3940894498816207452, -9193635161973423673, 7116865444146499136, -2265931245684012992, 8344105298062815724, 2503883616511672443, -2918798058097172005, -6151218332306389419, 6040605122383922935, 4967484894995802078, -6810192681079922722, -1298367034420279085"
values_87,25,8,"{6429519427690984830, -725821841701548078, -5973443335624065017, 4960945693435093328, -1034033424607502045, 1373982948814057351, 2144595821436933736, 2986423750396500921, 5736167960470525996, -1136845370888508357, 3630650109605027849, 1266740517019009993, -5721232789080905446, -2159790766358613909, -5097287127385908762, -8607032885863856967, -1623279767139253284, -1660322130430353712, 6638949374660931788, -2104101664455625016, -7555611695192572765, -8481965562374749477, -3975654245463099470, 3449399697737743208, -4278014991987488647"
values_6,10,17,"{7264900722814813446, 9132387534292332360, 5412233610581200784, 6016690437407171673, -3106668203282649669, 6683271636133624590, -256153548738567002, -8251126821995491589, 7375719911994413140, 6443498605695230360"
values_68,4,21,"{-138377713947600664, -8330935622769343435, 5369377896719138935, 1304969424162649271"
values_69,4,10,"{3180402951941229390, -6188951764495954841, 3786726840109282228, 5475525024893771208"
values_1,10,19,"{-1816632523736238446, 4495394306947291063, 3301122284082752818, 7809020581038080690, 8849188834914686433, -3056982352976847186, 4942812418948484004, -4786419865194885504, 6542825427138727291, 8945402704760171227"
values_45,11,3,"{4432350992414725643, 2923299094199257089, -3131690731446555021, 2564727023581845114, -7068288829003349460, 5280889663938854748, -3507932046125966065, -2612844614773930547, -7952702824401189347, 4080037326361251362, -5855072726874908665"
values_33,19,9,"{-6820007904127295830, -6803626451329008767, 296707828427553458, 4371723022022560778, 3487507065050535407, -7451651515688760620, -1320765454616933881, -3613439473822259593, -6983439046163778028, -4234360599830870380, -5726443406927829216, -6576387682789466655, -6603972598271823734, -4622205726421277642, -7812896354881709836, -2865594822717751168, 3589543938701079544, 723885944398834659, -4280417169371597659"
values_15,21,3,"{-8151763839192024906, -3089624806494389111, 2106133123068607306, 7804314197338550894, -5052177978318610978, -455059576641464311, -7956359113710868959, -4361057141695760346, 1262701317996298653, 3979061742082290045, 5397563836278070175, -4123134298354521251, 3040578944880725506, -171554999348392397, 9054640699377910632, -2153650938027451842, 182747772187223341, -5056066653267660645, 5077650248175524422, 308766239494877920, -2404154714056380388"
values_93,32,9,"{-2584018749997934842, 9060363196151373515, 3909060200654970712, -1465561100576486340, 8550724449892132605, 2163615386421377976, 9065933396688822427, 2574652267597986108, -1437299701331541577, -3828807143488284639, 1744734406797248107, -4823892024302653053, 1446859970558931929, 2727213542865096806, -761035733574232409, 6665929001883691549, 7777931976775505744, 4361513841582700498, 299592130746646871, 806565091051562102, 812711374036143641, -3414370435306117272, 6466062306321161827, 4623205824755779921, -2853495397427582166, -526457793240281309, 6503960169494681031, -2565739737753057354, 6415962602372795100, -1434531054301565855, -6116393475222300687, -1722272636964877255"
