inputName,key
11,19
19,10
12,30
38,21
81,19
5,3
40,8
70,8
23,9
72,30
79,10
78,21
87,8
6,17
68,21
69,10
1,19
45,3
33,9
15,3
93,9
24,13
25,3
26,17
48,21
71,19
76,17
7,8
50,8
22,30
4,13
32,30
77,8
91,19
42,30
13,9
41,19
55,3
31,19
66,17
65,3
62,30
21,19
95,3
84,13
58,21
64,13
83,9
94,13
0,8
99,10
96,17
67,8
61,19
43,9
2,30
54,13
30,8
59,10
85,3
74,13
90,8
18,21
52,30
44,13
17,8
36,17
49,10
86,17
37,8
56,17
63,9
35,3
97,8
75,3
57,8
88,21
10,8
53,9
8,21
39,10
47,8
60,8
89,10
51,19
14,13
28,21
16,17
34,13
82,30
46,17
27,8
20,8
9,10
92,30
3,9
98,21
29,10
80,8
73,9
