inputName,n
values_11,2
values_19,2
values_12,12
values_38,23
values_81,21
values_5,23
values_40,4
values_70,32
values_23,27
values_72,10
values_79,17
values_78,12
values_87,19
values_6,26
values_68,31
values_69,13
values_1,2
values_45,23
values_33,26
values_15,28
values_93,4
values_24,5
values_25,7
values_26,17
values_48,24
values_71,25
values_76,25
values_7,11
values_50,14
values_22,6
values_4,17
values_32,14
values_77,2
values_91,6
values_42,16
values_13,4
values_41,25
values_55,23
values_31,12
values_66,31
values_65,28
values_62,20
values_21,19
values_95,23
values_84,24
values_58,16
values_64,3
values_83,15
values_94,5
values_0,27
values_99,21
values_96,28
values_67,11
values_61,31
values_43,12
values_2,2
values_54,9
values_30,31
values_59,6
values_85,16
values_74,32
values_90,19
values_18,31
values_52,25
values_44,31
values_17,11
values_36,25
values_49,12
values_86,8
values_37,12
values_56,20
values_63,4
values_35,14
values_97,24
values_75,31
values_57,4
values_88,17
values_10,8
values_53,23
values_8,15
values_39,14
values_47,10
values_60,9
values_89,28
values_51,22
values_14,17
values_28,15
values_16,12
values_34,3
values_82,22
values_46,15
values_27,26
values_20,24
values_9,11
values_92,24
values_3,5
values_98,7
values_29,26
values_80,21
values_73,19
