inputName,k,size,arr[size]
values_11,6,7,"{-861945591, -1512526344, -1484125305, -1132147566, 2076858836, 64168081, 1505587014"
values_19,6,17,"{-971690388, -803992454, -2023179360, 1188111693, -903489735, 1131996909, 1897165848, 1409460791, 1167390281, -1122418045, 839390537, 1699769240, -1894550906, 343644219, 306594859, -568776638, 660686795"
values_12,6,22,"{-548991582, -724622220, -160856923, 1684809753, 28252106, 112824341, 1708860850, 622284196, -875847660, -1223386615, -99815627, -1642683035, 2003201262, 750161362, 700344624, 1734046643, -1208551111, 818869223, -2080204981, 932828975, -1751025905, -1524390554"
values_38,179,30,"{-10151769, 545880277, -1292598138, 1010319230, -1358798736, -300832807, 40168327, 1218482347, 1723379584, 1871803620, 891462972, -810477928, 515900082, -930749696, 664342663, -249029244, -1072838280, -393145636, 1058614845, -1116349117, -151767449, 633374793, 237496687, 854026825, -1080163709, -1745363765, 619933831, -16581071, 789748799, -172541348"
values_81,243,7,"{952745261, 1358695800, -1363016909, -1915849651, -1000571035, -980188179, 2107876702"
values_5,118,2,"{-1808883960, -2130862082"
values_40,137,2,"{-213316755, -1883285701"
values_70,184,2,"{1763425047, 12965475"
values_23,85,18,"{-1633842987, -986825084, -547215429, -1832677721, 119180789, 337877108, -645346192, 690703652, -2139566982, -761947769, 1417273342, 1264740215, 29018420, 1391745474, -32638928, 938312757, -224350981, -1201505830"
values_72,184,22,"{408701893, 57450922, -355536352, -2534827, -1098225761, -1147057724, -1616846211, -1733610284, 1202135706, 177964889, -1173827849, -1722219422, 623961466, -831071372, -1421900770, 1481396940, -2031706306, 951202042, 106301464, -1663639869, 1830577008, -18100289"
values_79,184,17,"{-677279556, 887912784, 297589228, 8650819, 738595712, -1196712159, 1001553295, -1822855861, -285159546, 1126282205, 1206837496, -964287286, -760861289, -1200207560, -1424455578, 173935058, 791912513"
values_78,184,30,"{-1338239135, 710651275, -1659914340, 84055089, -1878765710, -1361231495, 1028909755, 77978103, -2106968285, 522747198, -724084117, -387641446, 2113224270, 1823899122, -1524886145, 1385639600, 2036606566, 1175791257, -1374117523, -1164440709, -495234746, 1011506435, -1910453757, -931090442, 194993927, 865660585, -1652556702, 480949299, -844250438, 705759740"
values_87,243,11,"{-204641395, -141337409, -1704935397, -2084035000, 1621781886, 1720910684, -606024251, -561801509, 977556009, 830409977, 484712825"
values_6,118,13,"{-828470460, -859383731, -711283596, 2046907789, -1576178238, 699727010, 986684341, 518283946, -1738561153, 1013459576, 1542785193, 1749790777, -1326846565"
values_68,129,30,"{-851387820, -179846226, 666672559, -125381287, 1612562907, 456616768, -654152425, 526430185, 1388711755, 1093025038, -1618709785, 156053385, -55796253, 1159958247, 1493746744, -1327996713, 1720791435, 1408097694, -1272914861, -1662925545, -1533365421, -429199886, 851200045, 1677175936, 443469672, -1730128768, -1548700359, 1373536582, 681658514, -783637996"
values_69,129,17,"{853907703, -1445069820, -1814242329, -1540803596, 336489943, 1038831175, 1804520982, -163278904, -1255359298, -1304401629, 1966001561, -1540274288, 2110823530, 1760933356, -2042579665, -194783741, -1927833157"
values_1,118,7,"{-1224104454, -609841961, 1461435115, 1679310276, -1820315501, 938763764, -107060004"
values_45,137,2,"{479891759, -1792346243"
values_33,179,18,"{1598899764, 2052386558, -1388291180, -1247247468, 1692895170, -2106098621, 2054334822, 1341731679, 786434263, 1661816163, -1245403588, -66989182, 2143773050, -1876929467, 490970636, 1585037695, 952278752, 2129484704"
values_15,6,2,"{575483792, 1850371274"
values_93,253,18,"{-1885719969, -2095904653, 278633289, -1906358263, -177256023, 231926562, -1010053956, -1187255026, 663052485, -781881610, -186390713, 1625074927, -1818111409, 1591178170, -183049179, -992642222, 1539570710, 1778125887"
values_24,85,20,"{1932352286, -265582838, -587723002, -44791520, 446493647, 569383811, -281842124, -726721438, -1832645459, 444852681, 1373455184, -571272389, -861246048, -258240789, -1852216680, 7504553, -344283273, -823780916, -1033920613, 251058041"
values_25,85,2,"{-933206674, 149075559"
values_26,85,13,"{1059190541, 574299844, -1597999048, 1026426600, -1302718429, -177793868, 972068845, 1844785460, -115674558, -594876025, -153959384, -1317430169, -1189658748"
