inputName,idum
values_11,31606
values_19,19445
values_12,-21147
values_38,-19925
values_81,9320
values_5,26068
values_40,-25768
values_70,-162
values_23,-2540
values_72,-14761
values_79,-10807
values_78,-17468
values_87,-23227
values_6,-21108
values_68,-28434
values_69,-32380
values_1,-28434
values_45,-9028
values_33,-3927
values_15,13933
values_93,-12971
values_24,12986
values_25,19080
values_26,17888
values_48,13655
values_71,-6415
values_76,-14112
values_7,17501
values_50,27142
values_22,-5382
values_4,15158
values_32,-4654
values_77,-14355
values_91,20919
values_42,25717
values_13,1418
values_41,-30176
values_55,-7927
values_31,-13024
values_66,17669
values_65,-9194
values_62,24002
values_21,-9499
values_95,13865
values_84,-9778
values_58,17476
values_64,19202
values_83,-5313
values_94,-8889
values_0,23968
values_99,-3975
values_96,-7800
values_67,10098
values_61,-23344
values_43,-22159
values_2,-19937
values_54,-5339
values_30,15137
values_59,22485
values_85,20119
values_74,-4665
values_90,28099
values_18,27120
values_52,6478
values_44,-13925
values_17,-10337
values_36,-10866
values_49,24810
values_86,6488
values_37,-6649
values_56,-15923
values_63,-9429
values_35,-19515
values_97,-18082
values_75,-17604
values_57,-7051
values_88,-19867
values_10,-21348
values_53,17856
values_8,17944
values_39,21381
values_47,-31032
values_60,-18582
values_89,28755
values_51,-21022
values_14,-31741
values_28,-14157
values_16,-20721
values_34,-13337
values_82,-6178
values_46,29060
values_27,-13944
values_20,20085
values_9,-31381
values_92,21530
values_3,-8453
values_98,27756
values_29,-8490
values_80,13993
values_73,-8114
