inputName,nn,isign
11,2,0
19,2,0
12,2,0
38,4,0
81,3,0
5,7,0
40,10,0
70,3,0
23,2,0
72,3,0
79,3,0
78,3,0
87,3,0
6,7,0
68,3,0
69,3,0
1,7,0
45,10,0
33,4,0
15,2,0
93,10,0
24,2,0
25,2,0
26,2,0
48,10,0
71,3,0
76,3,0
7,7,0
50,2,0
22,2,0
4,7,0
32,4,0
77,3,0
91,10,0
42,10,0
13,2,0
41,10,0
55,2,0
31,4,0
66,3,0
65,3,0
62,3,0
21,2,0
95,10,0
84,3,0
58,2,0
64,3,0
83,3,0
94,10,0
0,7,0
99,10,0
96,10,0
67,3,0
61,3,0
43,10,0
2,7,0
54,2,0
30,4,0
59,2,0
85,3,0
74,3,0
90,10,0
18,2,0
52,2,0
44,10,0
17,2,0
36,4,0
49,10,0
86,3,0
37,4,0
56,2,0
63,3,0
35,4,0
97,10,0
75,3,0
57,2,0
88,3,0
10,2,0
53,2,0
8,7,0
39,4,0
47,10,0
60,3,0
89,3,0
51,2,0
14,2,0
28,2,0
16,2,0
34,4,0
82,3,0
46,10,0
27,2,0
20,2,0
9,7,0
92,10,0
3,7,0
98,10,0
29,2,0
80,3,0
73,3,0
