inputName,size
11,9
19,18
12,6
38,27
81,20
5,29
40,29
70,10
23,2
72,20
79,28
78,20
87,20
6,11
68,22
69,11
1,15
45,27
33,30
15,9
93,5
24,28
25,29
26,29
48,26
71,14
76,12
7,12
50,17
22,18
4,22
32,12
77,3
91,13
42,3
13,29
41,7
55,29
31,4
66,9
65,12
62,27
21,20
95,23
84,16
58,29
64,32
83,20
94,26
0,24
99,20
96,31
67,12
61,7
43,20
2,27
54,23
30,22
59,22
85,27
74,2
90,4
18,13
52,15
44,27
17,7
36,13
49,9
86,32
37,17
56,6
63,16
35,24
97,7
75,27
57,9
88,32
10,30
53,31
8,4
39,2
47,27
60,8
89,32
51,19
14,24
28,14
16,9
34,19
82,16
46,19
27,25
20,31
9,30
92,9
3,20
98,4
29,15
80,31
73,18
