inputName,size
11,20
19,4
12,9
38,23
81,18
5,22
40,30
70,14
23,18
72,16
79,18
78,29
87,25
6,18
68,30
69,14
1,10
45,22
33,28
15,28
93,28
24,3
25,26
26,30
48,24
71,16
76,5
7,31
50,11
22,30
4,24
32,24
77,12
91,9
42,18
13,24
41,24
55,23
31,21
66,30
65,13
62,12
21,12
95,9
84,30
58,25
64,12
83,29
94,11
0,12
99,23
96,6
67,18
61,31
43,27
2,32
54,3
30,10
59,17
85,28
74,25
90,28
18,31
52,10
44,22
17,7
36,22
49,27
86,26
37,28
56,30
63,18
35,23
97,20
75,13
57,29
88,13
10,30
53,30
8,5
39,10
47,20
60,9
89,10
51,8
14,5
28,32
16,14
34,30
82,27
46,25
27,14
20,28
9,14
92,21
3,2
98,7
29,4
80,24
73,7
