inputName,k
11,52
19,52
12,52
38,79
81,181
5,223
40,42
70,154
23,3
72,154
79,154
78,154
87,181
6,223
68,97
69,97
1,223
45,42
33,79
15,52
93,154
24,3
25,3
26,3
48,42
71,154
76,154
7,223
50,217
22,3
4,223
32,79
77,154
91,154
42,42
13,52
41,42
55,217
31,79
66,97
65,97
62,97
21,3
95,154
84,181
58,217
64,97
83,181
94,154
0,223
99,154
96,154
67,97
61,97
43,42
2,223
54,217
30,79
59,217
85,181
74,154
90,154
18,52
52,217
44,42
17,52
36,79
49,42
86,181
37,79
56,217
63,97
35,79
97,154
75,154
57,217
88,181
10,52
53,217
8,223
39,79
47,42
60,97
89,181
51,217
14,52
28,3
16,52
34,79
82,181
46,42
27,3
20,3
9,223
92,154
3,223
98,154
29,3
80,181
73,154
