inputName,size,a[size]
values_11,16,"{12444, -1305, 10516, -2422, 1450, -459, 22560, 1603, 15845, 4508, 28595, -28433, 1279, 11326, 10060, -13946"
values_19,25,"{15074, -16875, -11466, 24749, -18532, -19720, -545, -5936, -12828, 25774, 19344, -4937, -5135, -1622, -22316, -22279, -8255, 5817, -13262, -25179, -16344, -30440, 15645, 18779, 11659"
values_12,3,"{27006, 9232, 1478"
values_38,20,"{19199, 20033, -2526, -23568, 8047, -27653, 15375, -31250, -6262, 28490, 9487, -20698, -19513, -12264, -27965, 8280, -7057, 25579, -21428, 26868"
values_81,24,"{6814, 21797, 11772, -5461, 30423, -11192, -11851, 28565, 26948, -16016, -27970, -884, 5259, 13404, -10210, -20904, -27208, -8805, -22371, -17318, 11761, 3889, 22212, 16227"
values_5,20,"{-8495, 6161, 8832, -1500, 16574, 27014, -32075, -14458, 19691, 14239, 23346, 687, -28051, -26601, 11809, -32518, -28693, 5635, 17797, -12793"
values_40,25,"{-5921, 16250, -23290, 12090, -2982, -27601, 31827, -27256, -10379, 2863, -12475, 32560, 8515, 19582, 25999, 2405, 12172, 19471, 24512, 501, -22513, -19157, 30085, -12204, 18081"
values_70,23,"{-14337, 26929, -25156, 24741, -23915, 31496, 8180, 24889, 4212, 10185, 32464, -32295, -6510, 3176, -29742, -19283, 30461, -25296, 28093, 7186, 10868, 19127, -12380"
values_23,10,"{20284, -20937, -5920, 7985, -19485, -31492, -3623, -25507, 25732, 29719"
values_72,19,"{-28326, 24021, 7132, -3538, -30777, 21397, -15177, -27529, 25009, 20273, 12001, 27479, -32327, 1807, 10755, 17529, -9965, -919, 5807"
values_79,29,"{-11717, 8489, -16140, 30877, 23155, 4003, -12812, 22347, -15287, -30234, -18776, -25573, -23472, -24039, -2637, -12980, 24480, 21948, 20803, -16036, -23951, -4602, 7536, -21028, -21668, 16367, 5472, 2388, 26931"
values_78,8,"{20740, -20111, 15012, -14202, 18336, 755, -14400, -18116"
values_87,13,"{-28497, -21839, 22734, -30380, 9080, 10232, -13686, -27962, -9748, 11922, 12380, -2097, 18695"
values_6,2,"{12951, -27259"
values_68,5,"{27482, 17839, 7397, -24266, 32713"
values_69,5,"{-14416, 4501, 32494, 8407, 32367"
values_1,21,"{14374, -21090, -26186, -26539, -8152, 15214, 6580, 15794, -2660, -30978, -30742, 30550, -3713, -28516, -19059, 6481, 10554, -17322, 28807, -32305, 28390"
values_45,23,"{8842, -3279, 24676, -21823, 22650, -18245, -29021, 11829, 7133, 20086, -7638, 16770, 13494, -21902, -29732, 4555, 21800, 13244, 32056, -32677, 8205, -17547, 11997"
values_33,26,"{-21988, -19738, -14512, -18043, -26968, 23803, 5562, -18065, -1539, 11202, 5164, -2182, -19910, 19470, 8000, 2870, -1880, -22575, -10593, -19648, 23315, 21760, 31602, -21231, -27016, 19755"
values_15,10,"{5711, -10800, 10101, -24841, 2458, -24292, 20402, -15860, 4598, -22053"
values_93,23,"{29439, 12725, 6551, -25750, -15258, 530, -26845, 18705, 15412, -6665, -14671, 2848, 16531, -29028, 19984, 6037, 21023, -1423, -19556, -20507, 21645, 24338, 24363"
values_24,29,"{-26734, 5504, -17156, -22215, 22613, 5590, 20688, -31349, -5719, 32012, 31732, 17458, 15513, 9247, -4555, -28904, -11224, 6164, -10473, 16351, 12168, 8614, -32160, -18564, -20272, -12927, -30068, 6948, 17933"
values_25,18,"{32464, 21277, -25494, -9285, -26919, 19917, -17292, -28475, 17353, 21295, -8823, -21298, 1832, 32091, 23481, 4750, -30839, -23955"
values_26,31,"{25666, 16716, 19959, 23399, -14261, -29921, -28016, 14220, 31085, -18418, 19954, 2127, -30289, -23140, -18754, 11851, 24568, 31995, 21058, 23020, 31602, -16849, 16248, -27998, 22522, 2209, -25374, -30269, 29078, -9228, 9967"
values_48,16,"{21796, 24583, 3826, 1107, -24042, 23913, -1079, 3138, 29247, 8714, -11565, 29963, -18143, 13912, -11615, -2778"
values_71,27,"{-28143, 10396, -8467, -12867, -23260, -6768, -29940, 3272, 8038, 14904, 11576, 14269, -2669, -29761, -9266, -5121, -24091, -4055, 28440, -26325, 27926, -30879, 23215, -20998, 27737, 20148, -9108"
values_76,14,"{-2221, -19052, -26237, 22862, 22190, 19717, -13946, -26134, 14566, -17413, -12251, 8421, -23288, 12516"
values_7,15,"{-23824, -22852, -21455, 16361, -22694, -30540, 24780, -32317, -31594, 1180, 15938, 28875, -14126, 9388, 2471"
values_50,27,"{-9517, -13357, -8095, 16899, 23105, -1480, -32627, 1139, -13425, -24141, 577, 19244, 4647, 26573, -24859, 4530, 10671, 22608, -21080, 5782, 15664, -10292, 14393, 31731, 4339, -21448, 25697"
values_22,2,"{-24239, 22111"
values_4,11,"{-26309, 14589, -29137, 13020, 25016, -32591, -10372, -3269, -23309, -26424, -8678"
values_32,29,"{9435, -23888, 17650, 14886, -20188, 20942, 14327, -6066, 28381, 14673, 12986, -4726, 14555, 13828, 11073, 5960, -3115, 27432, -26215, -19066, 26828, -26778, -28309, 12545, 16169, 13990, 28202, -20281, -10448"
values_77,17,"{5350, -5427, 20409, 325, -10852, -4714, -17474, 11531, -15669, -19810, -10110, 21643, -24467, -22264, 21043, -32301, 17978"
values_91,21,"{30623, 3391, -900, 20318, -9450, -2924, -2037, -24145, 18335, -25594, -12343, -10777, -24480, -31451, -3677, 31060, 27237, -5589, 11074, 9257, -21982"
values_42,31,"{31444, 28119, -15552, 15904, 3529, 11375, -944, 26299, 24713, 16975, -9841, -4448, 24910, 26808, -10516, -19791, -29965, -5397, 26780, 9405, -16285, 28866, 19145, 12119, -13293, 22987, -13445, -2527, -19031, -1704, -1579"
values_13,20,"{-28461, -2740, -1889, 11809, 1663, -7176, -28100, 23336, -3151, 1671, 17103, -24466, -32399, -16446, -3257, -30837, -25828, -30502, -26477, -19918"
values_41,6,"{-10238, -13763, -31181, -21847, -4151, -7194"
values_55,24,"{29815, 31053, 30762, 25722, 4373, -4141, -15730, -20900, -8196, 10137, -19425, 15719, 32319, 8514, -20812, -19581, -19615, 19062, 2365, 17086, 26082, -8219, -23185, 676"
values_31,24,"{-9975, -30010, 300, 27952, -3496, 26681, -3889, -13540, 31284, 19395, -31692, 17036, -30075, 28261, -4510, 9755, 10289, -9776, -25139, -1954, -9756, -14780, 31049, 5917"
values_66,28,"{-5358, -32504, -15712, -29794, 8111, -24756, 15264, 17756, 8808, -17362, 17385, -8484, 10868, 10373, -6990, 9862, 17014, -24289, 20977, -15601, -7123, 348, 28722, -17989, 22400, -26814, -28373, -23343"
values_65,27,"{-19040, -28096, 31331, 9046, 17742, -27165, -22008, -20785, 3027, -31365, -4613, -24798, 13439, 23812, -31930, -8116, -10046, -8795, -1819, -18679, 11087, -20392, -3906, 11261, 23904, 27902, -16187"
values_62,27,"{7987, -10726, 14125, -15910, 3027, -4339, -18178, -6745, -29661, 30343, 12875, -3671, 27755, -16094, -26631, -19385, 15808, 28458, -11139, 19856, 21778, -6661, -17755, -3522, -16171, -12801, -9446"
values_21,32,"{-23363, 20730, 32442, 16798, -12244, 16306, 18306, -3295, 14347, 29765, -3722, -24839, -21993, 30448, 1522, 19822, 915, -8450, -13070, -12239, 15266, -10278, 12431, -10713, 7207, -26094, 11601, 21294, 23690, -558, 28177, -12933"
values_95,7,"{-17282, -26984, -8362, 6740, 13539, -30273, -8122"
values_84,8,"{-18337, -9506, -8059, 14882, -10502, 27157, 24381, 6845"
values_58,21,"{28023, -11462, 22262, -6115, -10143, -29884, -1910, -3271, 28835, 30014, -26029, -25701, -26811, -17382, 30811, 4898, -6504, -2852, -15795, 14698, 23493"
values_64,4,"{13760, 21231, -29509, -31827"
values_83,7,"{25214, -13440, 4219, -13296, 23173, 18467, 17646"
values_94,22,"{-24053, -3371, -20928, 24830, -8946, -22524, -18495, -6248, -13923, 3505, -27269, 3225, -6456, 31798, 5247, -25322, 16616, -12156, 1321, -9495, 8278, -20316"
values_0,31,"{-23284, -30197, 26737, -2012, 9511, -27057, 10831, -14393, 15300, -27832, 18888, 30350, 14857, 8635, -21299, 20979, -16644, -19777, -13063, 12990, -27345, -4210, -8628, 5220, 27574, 22276, -6008, 22186, -9374, -615, -7349"
values_99,18,"{-1933, -20393, 5984, 7291, -8967, -22711, -17472, -21668, -15159, 23205, -8276, 30020, 26319, 5749, 2007, 2276, -8435, -4954"
values_96,20,"{4636, -30206, -5954, 50, 18751, 25209, 19835, -31693, 6418, -28874, 13256, 3974, 9089, -792, 842, -22046, 333, -24250, -12741, -32036"
values_67,25,"{23218, 14064, -15581, -26097, 22461, 24341, 32356, -904, -13611, 10019, -31355, 11408, -17164, -26295, -17505, 32038, 30832, -28039, -21749, 7529, -1834, 27035, 4084, -22602, -3187"
values_61,31,"{22524, 13658, 13385, 16291, -12759, -21186, -22259, -15458, -15549, -27722, -25893, 9553, 6640, 32540, 3550, -1924, 13204, -9151, 17364, 30395, -27163, 15464, 13519, 718, -27679, -9105, -22703, 25932, 539, 32077, 26790"
values_43,14,"{13338, -22268, 15078, 22424, -7250, 3379, 31797, 16666, -15586, 8325, 12353, -1425, -985, 1725"
values_2,19,"{23649, 3277, -17278, 19279, -30156, -15189, 17079, 8225, -28742, 11669, -1783, -5065, -4058, 5931, -30546, -2423, -3800, -26156, 24358"
values_54,10,"{5921, -20349, -4515, 8618, 29982, 11650, -11598, -29009, -27779, 160"
values_30,9,"{27407, -26008, 10176, 31670, 30612, -17135, -1084, 14937, -3843"
values_59,15,"{-19729, 10029, -11225, 26597, -1772, 4428, -26617, 10581, 26854, 18297, 15394, -27228, -27011, -13995, -7518"
values_85,6,"{-5190, -21232, -25480, -25514, 25881, 5009"
values_74,5,"{11518, -26190, 1716, 30495, -17346"
values_90,19,"{-5805, 9876, -470, -5639, -19776, -6753, -7476, -9888, -1671, -245, 16634, 21704, 24552, -1420, -21815, -1872, 5110, -12829, -18640"
values_18,18,"{31643, 569, 20326, -2995, 18412, -1972, -2021, -1451, 12767, -10190, 23300, 9442, 31607, -19343, -29793, 14281, 8720, -26966"
values_52,31,"{-1878, 12759, 16016, 23894, -4488, -25295, 15065, -7861, 27005, -32491, 27043, 30586, 25402, -22338, 12122, 23191, 18531, -27187, 19038, 29801, 29228, 6395, -24261, 1867, 20826, -20463, -6015, -32374, -12372, -19834, 22954"
values_44,21,"{-8519, -26068, 5747, 2348, 8866, 16035, -21550, -29798, 30093, 22239, -5898, -4636, -27364, -16934, -7937, 32743, -13492, 5797, -4484, 17539, 412"
values_17,29,"{29836, 19980, 8352, 30112, 30119, -30257, -23235, -826, 475, 11510, -32108, 30885, 15706, 16095, 4563, 16998, 25480, -29572, -665, -3180, -19223, -5841, 15837, -17203, 26718, 29084, -21865, -21493, -2970"
values_36,7,"{6243, -11847, -2218, 16547, -27519, 9773, -21835"
values_49,17,"{2231, 30909, 15915, -25957, 27130, 13913, 27590, -13047, 28732, -12475, 24807, -5069, -22827, -19677, -12130, 3840, -6904"
values_86,22,"{-20453, -12486, -29818, 27184, -5146, 22027, 24148, -25760, 1723, 28923, -30794, -21870, 7928, -4425, 27288, 25472, 81, -3668, 6405, -18018, 503, 28164"
values_37,21,"{10052, -7667, -4181, -3100, -2022, 10905, 25210, 15687, 25651, -17884, -9883, 24459, 2802, -911, -28214, -7736, 2, 199, 3019, 3726, 6593"
values_56,22,"{7442, -22422, 2730, -6624, 25734, -7564, -11313, -15403, -23644, -27552, -20075, -9407, -9157, 11034, -32396, -6602, 418, 5192, 3591, -8868, -4604, -28436"
values_63,10,"{19090, 24356, 10326, 31137, 18608, 12983, -28717, -14588, 13940, 27686"
values_35,3,"{-15239, -11955, 14781"
values_97,29,"{18574, 12297, -9675, 6682, -30358, -10326, -13041, 14494, 22897, 11738, 32549, 14498, 13247, 27357, 23667, 23170, -21926, -13108, 20817, 31, -20309, -8666, -3853, 28567, 11192, -29885, 5084, -24155, -29260"
values_75,28,"{-16273, 21338, -6257, 23761, -23826, -23472, -948, -17340, -1869, -16592, 9794, 23275, 16427, 9710, -20775, -28288, 5551, -1087, -19307, 1659, -1164, 23982, -24514, -24634, 30268, 30769, 13454, 16332"
values_57,19,"{28661, -1366, -30490, -5451, -4580, -14417, -26038, -4367, -16291, 24883, 31337, -14894, -12874, -13609, -25847, -3570, -13113, 21620, -144"
values_88,23,"{28871, 7341, 15397, -15533, 14685, 2460, 18586, -6092, -592, 2257, 21407, -2709, 27057, -26543, 23807, -13764, 24034, -27380, 15706, -21497, -21926, 26112, 25439"
values_10,18,"{-4726, 13348, 27999, -15002, -28134, 9132, -13248, 8519, 26685, -19748, 18873, -26817, -10559, 30727, 24495, -865, -20205, 4574"
values_53,6,"{25443, 19594, 27107, 29530, -19487, -24224"
values_8,23,"{-10044, -13922, -30854, 6628, -12172, 9121, -8604, -14705, 6962, -27860, 11109, -537, -26219, 4341, 320, 30194, 30283, 11531, 8804, -29520, 5809, 15732, 1352"
values_39,14,"{30998, -12798, -32288, -6774, 28015, 24921, 12499, 8771, -28139, 17517, 5219, -14626, 9803, -3318"
values_47,22,"{-29131, 24654, -23319, 20095, 23224, -15534, -4558, 26716, -7159, 20061, 6365, -15969, 25766, 2244, 7847, 25809, 13360, -1441, -8233, 22961, -6859, -7009"
values_60,4,"{23435, 312, -12710, -15715"
values_89,6,"{-28694, 9684, -3298, -23780, -30109, 32516"
values_51,24,"{1839, 6524, 25029, 16913, 263, -11979, 4030, 21971, -5144, -23215, 11658, -6391, -15002, -8969, -2988, 25167, -21511, -24063, 32490, -23896, -4908, 32136, 1276, -30481"
values_14,18,"{867, 6935, -20089, 2889, -20088, 240, -23709, -1359, 2749, 16483, -23707, -10154, 14647, -23887, -24787, -12854, 1011, 27927"
values_28,20,"{30072, 931, 11125, 32302, -32402, 5213, 30198, 22392, -12502, -27394, -12986, 28080, 32490, -1162, 27920, -23215, 28092, 31096, -27884, 9565"
values_16,16,"{7441, -25727, 26027, -20766, -22955, -8187, -26121, -292, -19072, -29681, -8278, -31642, -11981, -31984, 18546, 17200"
values_34,10,"{25469, -23439, 22195, 26626, -14717, 30550, -209, -17624, 24035, 6884"
values_82,16,"{4914, 18982, 25916, 22932, 20235, 13668, 8039, -20716, 20909, -434, -15066, -32301, 26393, -30140, 29398, 12883"
