inputName,n
values_11,21
values_19,23
values_12,30
values_38,23
values_81,11
values_5,11
values_40,16
values_70,16
values_23,12
values_72,5
values_79,32
values_78,21
values_87,10
values_6,12
values_68,15
values_69,16
values_1,15
values_45,27
values_33,20
values_15,21
values_93,9
values_24,19
values_25,10
values_26,18
values_48,14
values_71,25
values_76,2
values_7,9
values_50,21
values_22,19
values_4,15
values_32,27
values_77,17
values_91,10
values_42,23
values_13,11
values_41,9
values_55,6
values_31,11
values_66,7
values_65,26
values_62,6
values_21,32
values_95,7
values_84,25
values_58,18
values_64,21
values_83,12
values_94,15
values_0,25
values_99,31
values_96,31
values_67,14
values_61,2
values_43,18
values_2,18
values_54,9
values_30,9
values_59,23
values_85,28
values_74,25
values_90,16
values_18,15
values_52,26
values_44,29
values_17,26
values_36,31
values_49,23
values_86,5
values_37,22
values_56,15
values_63,22
values_35,6
values_97,9
values_75,15
values_57,27
values_88,10
values_10,26
values_53,32
values_8,8
values_39,14
values_47,20
values_60,25
values_89,11
values_51,27
values_14,12
values_28,8
values_16,6
values_34,18
values_82,26
values_46,13
values_27,22
values_20,4
values_9,32
values_92,15
values_3,3
values_98,20
values_29,27
values_80,8
values_73,7
