inputName,n
values_11,67
values_19,25
values_12,51
values_38,29
values_81,28
values_5,61
values_40,4
values_70,46
values_23,62
values_72,49
values_79,82
values_78,66
values_87,78
values_6,121
values_68,104
values_69,70
values_1,36
values_45,58
values_33,118
values_15,66
values_93,20
values_24,62
values_25,55
values_26,94
values_48,6
values_71,100
values_76,60
values_7,63
values_50,31
values_22,44
values_4,7
values_32,105
values_77,26
values_91,56
values_42,59
values_13,91
values_41,29
values_55,14
values_31,27
values_66,110
values_65,119
values_62,118
values_21,108
values_95,8
values_84,126
values_58,50
values_64,31
values_83,102
values_94,40
values_0,3
values_99,114
values_96,4
values_67,54
values_61,18
values_43,58
values_2,97
values_54,114
values_30,30
values_59,69
values_85,9
values_74,127
values_90,34
values_18,76
values_52,46
values_44,83
values_17,106
values_36,61
values_49,120
values_86,73
values_37,105
values_56,33
values_63,43
values_35,124
values_97,115
values_75,89
values_57,124
values_88,45
values_10,87
values_53,41
values_8,23
values_39,99
values_47,93
values_60,47
values_89,82
values_51,94
values_14,68
values_28,31
values_16,24
values_34,86
values_82,97
values_46,78
values_27,65
values_20,113
values_9,56
values_92,6
values_3,103
values_98,85
values_29,122
values_80,117
values_73,119
