inputName,val
11,709917090
19,1146783534
12,1419535597
38,1890134617
81,1098454324
5,1290590108
40,1563850227
70,763310987
23,236359650
72,880518057
79,539447347
78,343833146
87,1793247968
6,1160076029
68,290214425
69,1194824429
1,54741900
45,773976144
33,367011377
15,859608891
93,886654796
24,1270065525
25,212937308
26,1652296417
48,1117303672
71,1565448363
76,72230924
7,1228854947
50,1765443470
22,82953164
4,2123000780
32,1766953959
77,79194172
91,93822350
42,1328364016
13,2053604875
41,997978545
55,1175933973
31,1386621406
66,1850363845
65,1020833709
62,1518191604
21,1582813699
95,426002997
84,1761747705
58,382357182
64,1968786970
83,1020636654
94,811371690
0,1170075511
99,379066893
96,2028800969
67,1554816632
61,705944464
43,496890712
2,1876122320
54,568020353
30,934802422
59,304905797
85,1027711565
74,1223423699
90,1167311197
18,478662077
52,415752096
44,1625590542
17,539932027
36,1540016481
49,1385494373
86,2040614253
37,655663111
56,480776028
63,1757719247
35,1990544660
97,2074681179
75,888404729
57,1224281428
88,2108523877
10,1317984240
53,2141705225
8,969388916
39,249700933
47,358875089
60,715054814
89,353104766
51,282852264
14,967346937
28,1737156393
16,42909878
34,915910566
82,979347478
46,958807865
27,2118612162
20,1298080846
9,66189211
92,1718420366
3,777342066
98,787627948
29,550745805
80,2010807956
73,427267812
