inputName,size,arr[size]
values_11,23,"{-371, -1554, -9504, 29683, -31586, -29775, 8273, -21087, -4909, -29862, -7852, -18559, 28378, -29900, -19280, -13235, -22786, 24626, -2576, -22731, -21900, 28055, 66"
values_19,22,"{-8097, 23821, 11383, -22305, 31740, 12324, 1790, 4698, 5911, -10679, 21442, -21923, -27425, 3641, 7352, 28942, -775, -20076, -881, 6675, -3884, -5294"
values_12,16,"{-24588, -25098, 23647, -5213, -32242, 11986, 25370, -15115, -24044, -25133, 16210, 26415, -6692, -14074, 9329, -18594"
values_38,28,"{12977, 29010, 13949, -17437, -17446, 13614, 3927, -30520, 13695, -5735, -284, 4746, 25260, 28424, 2049, -14196, 11108, 21017, 14540, 5212, 11322, 30232, 6699, -4664, 22922, -14180, -3873, 16682"
values_81,28,"{-16844, -27064, 4770, 14553, 25201, -28589, 10233, 14458, 19214, -27202, 23983, 2327, 28572, -10178, 5038, -26308, -3549, 14285, -14557, 17564, -4717, -27126, 100, 12406, 23875, 19332, -23095, -13163"
values_5,2,"{31029, -26067"
values_40,19,"{25898, 24966, -11803, -14070, -15814, 3627, -26736, -12261, -19998, -3439, -13083, -1150, -1799, 15279, 5176, -17788, -11424, 29305, 9955"
values_70,10,"{-26742, 9600, 23116, 32147, -24940, 15002, -30516, -32070, -17977, -20915"
values_23,14,"{-31541, -30758, 7464, -11837, 27802, -17074, -15832, -3961, 17435, 7896, -6727, -30738, 24123, -2281"
values_72,7,"{-16899, 25296, -25785, 32093, 2846, -19068, -4123"
values_79,7,"{-11361, -5832, 20135, 7547, 21944, 12023, -9321"
values_78,22,"{20277, -27365, 8385, -8329, 17723, -18912, 23108, -16044, 354, 7146, 3263, -2382, -31608, -27096, -16046, 21843, 6192, -28222, 16208, -6273, 7177, 20084"
values_87,14,"{-17863, -18012, 19423, -5368, 3255, -15681, 7815, 20305, -21691, 7066, -4316, 12814, -30378, 13671"
values_6,13,"{7750, -29216, -14433, 4543, -25076, -24121, 31679, -5465, 934, 21672, -13131, -6957, 22494"
values_68,9,"{-22701, 7716, -10851, 7488, 5431, -31675, -12071, 2693, -2262"
values_69,7,"{756, 14960, -6864, 946, 21110, -1078, 6664"
