inputName,n
values_11,941768106
values_19,2065580200
values_12,892294111
values_38,1835558954
values_81,878638329
values_5,1470064616
values_40,878629350
values_70,2035026752
values_23,686866227
values_72,321042833
values_79,1918648859
values_78,1146988735
values_87,988404279
values_6,2127755543
values_68,1208564718
values_69,374485751
values_1,764642227
values_45,2143446977
values_33,581019620
values_15,664681828
values_93,1788462082
values_24,1090803987
values_25,1988380732
values_26,1340136675
values_48,1992765937
values_71,1469985263
values_76,1725907615
values_7,255337460
values_50,376094477
values_22,1915625723
values_4,277103908
values_32,586126212
values_77,399355057
values_91,2121947345
values_42,296823886
values_13,1714566637
values_41,372703325
values_55,750567090
values_31,1288156201
values_66,435567872
values_65,1955841155
values_62,419765756
values_21,1843386411
values_95,1836395746
values_84,2120848833
values_58,257721276
values_64,1665604110
values_83,1544880373
values_94,936498744
values_0,1504155575
values_99,976439183
values_96,372897290
values_67,421158932
values_61,1455090004
values_43,277688572
values_2,232967804
values_54,1816155824
values_30,760176202
values_59,1519004871
values_85,121974734
values_74,734054699
values_90,22404673
values_18,829525364
values_52,1169127465
values_44,1809737143
values_17,861862081
values_36,1774483201
values_49,1462520329
values_86,1921878390
values_37,1194876801
values_56,901260637
values_63,1995553071
values_35,1825494994
values_97,1472162819
values_75,1783848260
values_57,1281105709
values_88,470360153
values_10,1505758181
values_53,1422962695
values_8,339549945
values_39,764347859
values_47,1033444874
values_60,58758681
values_89,1680709687
values_51,37149086
values_14,1889824350
values_28,341274262
values_16,897701489
values_34,240769221
values_82,900437753
values_46,995252867
values_27,712641284
values_20,735845168
values_9,348881669
values_92,281601942
values_3,1726239636
values_98,121830897
values_29,1552429938
values_80,1309042881
values_73,1131062966
