inputName,k,size,arr[size]
values_11,163,27,"{-7851327248963305116, -1573577179140792576, 4613686785546293616, 2698955973197496350, 342990614262344439, -2411032151491479579, -3551167078558230542, 576601646013002848, -9145424148169985161, 819474994618618932, -8135238115664466604, -4023349009940426213, -8698439678057879691, -6452596187004864834, -7224294564285112158, -1216979140630213509, 5089052702431069196, 6166793636348880801, 4539983876203270397, 7603618382552929992, -5828142231872941724, 4218709336571580527, 5275003318470855772, 5922173469601402009, 7876398884093105085, -4073654879873958475, -1238010320142388233"
values_19,163,22,"{7128950686852906559, 1155029527354037869, 3372117883464129951, 4183349858601904436, 748048709988812765, 4986111986275587048, -5528851479488503122, -4352158052656075744, 6552144073530099636, -1582935214007284184, 2446223809241358181, -331168662138401054, -5246995394921274476, 6234614842353297389, -4835753951431656824, -1763273251535863098, -4420044331973333457, -4053274381956288941, 3479282030935832285, -2924122981471862960, 1218365011200973282, 8507016082339385747"
values_12,163,25,"{-8059132403784135551, -195073244497712675, -1048754217077864166, 3676502766352608201, -8473940727206794510, 745154381297055883, -8624265885947422080, -5456203150411014909, -1094231589746640492, 5438676175368413634, -381608312040542719, 8968255158136299808, 3641607875029994894, -2625818503480172414, -6413919526201437367, 8599295505704703455, -3302498825750530225, -6658173535058546803, 6801536411783573627, -1605066932473573300, -5700939597198165826, 8157029687324301411, -3529936282274003720, 6802584963136058573, -7073717581561510361"
values_38,103,22,"{4924224566529449399, -4528209214198865225, -2321605110085251181, 1324494476484488476, -7752956980538782232, -2262094317346481843, -1273549087467096983, 586592446070810736, 3391465002875455008, 8618292447193162553, 8794507778116770278, 207247865459990882, -4114406938783745211, -933267177999315775, 2842995026158765904, 4759723653549960526, 1050104177576971712, 4639250094248368960, -7484799495717962810, 7596729339058432038, -8192985178790292752, -3576361500008018895"
values_81,249,27,"{-5506507392433804190, -4441012966871388961, 7677717365906980885, 9207892630971926658, -6982336733052571617, -4495776739122530798, 4608885266879633302, 4180358498594989146, -2802095537403262619, -5066003568774992484, 2017231417478792899, -7388951940533657946, 2694389435947491260, -6870530200801199526, -7718081111696921169, 8402855477834698650, 5947108273176803683, -3690727552247562578, 5164414662480702747, 1201949908073948384, 1052583200438925504, 3507450794288137073, 7474787234870321359, 7091444427119509116, 7705388105611566283, 8577469581719497961, 5460928113451323050"
values_5,251,8,"{872105843947978150, 9043153712860349387, -7478673760432117116, 4041287770524971118, 1135006132000767922, -7350278396438573939, 3238645863951792942, 6063344174258919588"
values_40,64,20,"{-7041708850239531780, -3743083761615581833, -7968873394404895753, 2305332269935024944, -6727480587392556070, 8649335660360880696, 2784320430767856426, -1579530122632549098, -8028075295134196074, -5260295103847570235, -8027458723673394042, 8624790653578333861, -3749281677395098290, 7237527053158239146, 1300819915039026810, 2860337102613439073, -1222402177612439119, -2038528757964424942, 4785711260431736846, 6537061890990835349"
values_70,253,20,"{-1486858608779149631, -1725356852523244576, 6528944287472480779, -2011505246599851377, 7177317236574590280, -465961483716031911, 8175385345075103930, 6264617919186168023, 7021091143397683326, -3581501545636593037, -7423065089053507737, -8617812425277669183, -4019405869011158762, -665498474976492111, -5658419996945908353, 188820720780123233, 7086029495844198516, 252420436197770191, 8108653463536370103, -8421205366275792642"
values_23,240,24,"{-389938551999795185, 8535124921389265714, 1725338726018780030, -8153195323992142815, -7726336277304055660, 4993751521575746764, -5030846388099242865, 3411174823649301748, -1814618432954664924, 5878650371718536645, 5012271441994567494, -703448831526686814, 5962356657785181522, 3393243510762752290, 8316361445632777015, 9173794965075945147, -2997300714843145053, -8535153168637868125, 8810837077207934894, 4019930146614462741, -8967215395819508132, -6394678858411159711, -157827522626688625, 1899974746059136779"
values_72,253,25,"{-4010515845484360396, -4233454581643507485, -4273048128999820984, -5566179816368490009, 1200576874264380784, -1707942752042166181, 861089533314114720, -7768396061193801271, 2627746573003822550, -6861987893841178783, 2948191733077600381, -8229499090667904069, 8706462903031022828, -6262817391678202761, -2813171048291769673, 4461914386740523999, 8632285374909295684, -3205645623454132548, 2420784550779414501, 8653363509866406886, 4332573557639249601, -1685305691159825487, -1227973285793702775, -1632848160896456753, 6542881037193446461"
