inputName,size,a[size]
values_11,18,"{-26339, -25351, 30030, 8342, -28459, -18470, 15156, -26014, -6168, 30496, -13552, 26833, 14066, 16029, -9014, -11312, 27651, -11881"
values_19,10,"{-10042, 22609, 26009, -25984, -26487, -24179, -10810, -8118, -24932, 32479"
values_12,30,"{-26232, -11035, 25576, 17409, -10957, -15168, -29787, 10072, 6023, 22208, -11278, 12573, -17701, -957, -8169, 21189, -31255, 24621, 23018, 15087, 31142, 31820, 23766, -11863, -26376, 28651, -1141, 1304, -950, 32343"
values_38,5,"{-4251, -5925, 3123, -10574, 5805"
values_81,22,"{32078, -14378, 12951, 16046, -25855, 13358, -17601, -4105, 31161, -27828, 30504, -27587, 9266, -27723, 21900, -9775, -17856, 26882, -9314, 17295, -1041, 1153"
values_5,13,"{-24751, 27868, -17836, 24951, 27008, -27009, -26755, 31990, 24498, 24408, -11761, 17454, -18142"
values_40,20,"{14370, -9152, 28442, 14222, -7990, -21369, -16056, -8261, 6690, 20352, 13816, 13642, -1250, -16433, 23236, 22477, 1528, 7909, 21587, -879"
values_70,11,"{-13887, 30194, 25417, -22417, 1596, -11669, 2815, 22198, -9697, 15564, -21716"
values_23,27,"{6311, -9827, 6584, 15663, 7422, -703, -3005, 19888, 2845, 11350, -4366, 18480, -29914, -24203, -26416, 22078, 4733, -24027, -19281, 12531, 29263, 11238, -3002, 32339, -556, -9819, -14983"
values_72,9,"{-6805, -11640, 22350, 11328, 20679, -29429, 26238, -28884, -1193"
values_79,2,"{-4885, -24711"
values_78,25,"{17620, 13986, -25598, -5509, 9193, 24469, 22074, 29909, 2790, 1127, -18527, -29467, -19363, 18053, 26195, -8384, -24409, -25318, 8762, 19849, -20631, 19010, -23693, -4559, 9315"
values_87,16,"{9174, 6712, -11184, 14972, -27330, -9274, -10526, -4711, 10502, 18184, -32152, 17622, 31967, 31355, -23205, 2414"
values_6,22,"{19130, 27055, -28377, -31564, -5952, 17340, 31951, 11320, 1905, 28951, 20375, -18589, -22080, -18527, 5013, 23141, -32456, 28405, 18568, 13558, 20757, -4893"
values_68,15,"{-13576, 30454, 28463, -14909, 22601, 23346, 24887, -14377, -7628, 25976, 23054, -19246, -14108, 6361, -29837"
values_69,30,"{27044, 29155, 1455, -24633, -316, -1432, -26662, 3546, 3044, -31874, 8326, -6425, 9775, -15393, 23298, -29628, 9996, -26785, -8609, 17593, 8979, 29432, -26703, -186, 16612, -955, -27242, -21189, -999, 24189"
values_1,27,"{-32329, -2115, 8708, 16690, -32280, 8143, -28551, -28946, -16798, 2647, 13634, -24909, 17013, -4628, -14793, -301, 11086, 30973, -1341, -12187, -8720, -24067, -11845, -29026, 23542, 9619, 31448"
values_45,7,"{-23927, 28353, 4031, 6022, 9972, -14488, -2232"
values_33,16,"{-3123, -9194, -16586, 7101, -6505, -16176, 10443, 16677, 18602, 6051, -1798, 21213, 14496, -20396, 9015, -12424"
values_15,14,"{-1155, 25940, 28798, -16229, -26008, 24287, -29868, -9467, -32706, 25420, -3839, -30888, 14129, -4714"
values_93,12,"{-1739, 9863, 30371, 17917, 18714, -16350, -507, 4589, 615, -6025, -19302, -7590"
values_24,22,"{12731, 8406, 26619, -27074, 12087, 18578, -15441, 31503, 16353, 11998, -22474, -12880, 8705, 7871, -28582, 6124, 4183, -14407, 16882, -32666, -15372, -13721"
values_25,30,"{2803, 26512, 25093, 8817, -21724, 26905, 12076, 20409, 11041, 13885, 30271, 4721, -18514, -6326, 22326, -12828, 12911, 10215, -18335, 5511, -12451, 25333, 17749, -9394, 4225, -24261, 32349, -17109, -3490, 3048"
values_26,2,"{-24715, -32292"
values_48,4,"{26538, 31796, 6129, 18337"
values_71,12,"{30012, -22692, -7949, -13287, -4422, -12501, -31477, 16437, -24170, -19869, 16659, -13392"
values_76,21,"{-932, -19038, -10328, 10764, -22005, -826, 19045, 30462, -19786, -801, -1180, -12206, -1844, -3208, 2101, 10055, -22101, -28100, -24595, 14961, 15620"
values_7,19,"{21134, 30306, 4682, -25668, 15272, 32042, -2928, -11589, 28772, -5006, 19192, -1337, 17504, -26886, -1353, 28517, -23871, 19174, -19303"
values_50,12,"{22761, -3310, 5379, -15087, -29910, -27778, -1270, -22101, -2912, 27693, 18940, -12388"
values_22,8,"{22620, -21544, -10024, 2069, 32476, -29428, -27, -27426"
values_4,3,"{30238, -30695, 22038"
values_32,5,"{3128, 30308, 718, 5985, -17240"
values_77,30,"{13201, -12996, -29470, 24703, -21071, -20982, -11455, -28485, -13822, 17579, 24802, 23299, 24786, 7251, -29477, 26759, -32240, -12196, 9293, 6479, -7215, -22205, 5799, -22638, -16003, -31751, -14720, -32002, 14968, 7589"
values_91,9,"{-3478, 16730, 11696, 4338, 28161, -22031, -13344, 16143, 16307"
values_42,20,"{7729, 21187, -4878, 29569, 21431, 18414, 28997, 14432, 24566, -18690, -14239, -28307, 26058, 27173, -11072, -20412, -17781, 20475, -5339, -25113"
values_13,11,"{-558, -30211, -29782, 6742, 32236, -28482, 24571, -4182, 9262, -11888, -31777"
values_41,7,"{1349, 32202, 19637, 1934, -4846, 1341, 3003"
values_55,9,"{-15012, -27481, -15284, -10127, 29666, -845, -10384, -1707, 29468"
values_31,30,"{12360, -28480, 7082, -11327, -24998, 32748, 3928, -16335, 8697, -12724, -7151, 11221, 7914, -8185, 20316, 7993, -9563, -28829, 19503, 20832, -26043, 13345, -21734, 20574, 23466, -14556, -1133, -29099, -14778, 10451"
values_66,27,"{20695, -27060, 18490, -13393, 20338, -6412, 24430, -20194, 25309, -5151, 29203, -24812, -21842, 16991, 6303, 15814, -11821, -11224, 4350, 1437, -3517, -21864, -6978, -16629, -30789, -23022, -18667"
values_65,31,"{10842, 5661, -12481, 13671, 22224, -21379, 21216, 19450, -31883, 3978, -26185, -17143, -24689, 21415, 30152, -2352, 21635, 7030, -20797, -8996, -9770, 22448, -11575, 23964, -4501, -996, -12617, 2180, -23960, 27526, 30438"
values_62,32,"{16679, -22455, 5619, -9563, 9214, -8886, 31789, -3728, 24838, -14578, -8037, -13783, 22584, -1748, -18662, 19441, -2583, -8997, 9288, 21054, -14645, 21925, 27128, -14959, -4480, -22688, -8801, 5637, -18906, -29801, -2007, -14182"
values_21,29,"{18189, 8468, -15214, 3782, -32689, -13023, 3284, 3638, 10042, -15286, 2337, -28031, -3862, -2185, 16861, -21860, 14547, -4871, 23639, 17589, 19334, -31844, 17411, -13756, -24120, 25188, 21257, -23975, -30008"
values_95,32,"{-15417, -4647, -12726, -13476, 18617, -20419, 15357, 20896, 18249, 20559, -18294, -27860, 26817, 15155, 23419, -2781, -12010, 14278, 20325, 27838, -10504, 25471, 29575, 9056, -8666, 23637, -2056, -30490, -30042, 1653, 9401, -16104"
values_84,3,"{-5388, 9209, 24465"
values_58,22,"{23783, -1856, -7881, 11610, -4816, -15872, 9507, 2041, -3325, -31259, -316, 28052, 10818, -28814, 29557, -25624, 15932, 17177, -23799, 5393, -15675, -6585"
values_64,14,"{-19842, -6025, -11340, -25272, -5943, -9076, 27511, -3585, -23701, -25181, 17151, -7510, 16208, -30744"
values_83,10,"{-11363, -10745, 25847, 25548, -21823, -25380, 23574, 15070, -26351, -23542"
values_94,30,"{18851, 29378, -1284, -17789, -1344, 23329, 8603, -21177, 3479, 16292, 12823, -11590, 2516, 7180, 11773, -30085, 10080, 17285, -1198, -21463, -22353, 16994, -22997, -1700, -23290, 945, -26883, -18164, -10389, -3428"
values_0,5,"{-20270, 6738, -7890, -1324, 31464"
values_99,19,"{-25656, 15390, -32544, 9818, -3400, 5458, 19016, -26238, -4806, -28142, 18854, 9028, 10195, 13224, 6602, -12209, -26167, 11143, 11267"
values_96,32,"{-5873, -10876, -18657, -12874, 4834, -28278, -31260, -12800, 17272, -5653, 15287, 10748, 11549, 28582, 16710, 18747, 11572, -14153, -18108, 23831, -9566, 30389, -4164, -7134, -17891, 314, -2199, 29478, 21745, 27473, 1298, 20762"
values_67,24,"{17341, -16433, -21161, -11072, -20051, 11572, -203, -2482, 4615, 21314, 19954, -20858, -28841, -9353, -3095, -11100, -9283, -15730, 28936, -26330, -2887, -10284, 12083, 7020"
values_61,2,"{4113, 31202"
values_43,4,"{-28936, 6504, -13853, -30400"
values_2,26,"{-5535, 6545, -28994, 10693, 2569, -23858, 23290, 19848, -6459, 10628, -3795, 20819, -14387, 25857, 6341, -10252, -25451, 1590, 14041, 28964, 14875, 24497, -21478, -10701, -15297, -7564"
values_54,32,"{-22351, -13944, 1063, -1001, -14860, -31041, -6882, 20407, -4060, -5460, -26430, -6562, 28687, 28755, -24936, -26917, 688, 5745, -3979, -27736, 26372, 6386, -3211, 20356, -26126, -9428, -12702, 7762, -15152, -13242, -19843, 28985"
values_30,6,"{3732, -20021, 429, -10213, -28139, -12176"
values_59,16,"{17197, -6689, -13475, -17966, -10112, -21110, 23710, -32682, 27086, 838, -32631, 14711, 13203, -18036, 11819, 25833"
values_85,27,"{-14282, -27748, 21391, -7707, -13319, -23421, 5434, -297, -12129, -8363, -17148, 3423, 16639, 3899, 20595, 28749, 9143, -12131, 4015, 13237, -24280, -10376, -31509, -26153, 14536, 14135, -23724"
values_74,32,"{-9598, 691, 18884, 22963, -28660, -16141, 11336, 8505, 24661, -12845, -6104, -16710, 5108, -24200, 19398, 17092, 920, 15905, -21781, -16782, -12347, 31177, -5467, 12745, 32217, 32531, -10101, -24021, -17413, 1170, -18135, -13149"
values_90,21,"{-28412, -6785, 23757, -9288, 18166, -28412, 22033, -20782, -31396, 28984, -15931, 9409, 5484, -14431, 15946, 22733, -3476, -6098, 29180, -15841, 483"
values_18,18,"{-28488, -2367, -14316, -10958, 11105, -27619, 5761, -9333, -12632, 6974, 9918, 21223, -31044, 13890, -4248, -10061, 32255, 26133"
values_52,8,"{-18069, 31594, -9376, 9310, -16155, 27808, -25522, 12153"
values_44,19,"{-21764, -16598, 28122, -22022, 12357, -2167, 16874, -13492, 29885, -12943, -31678, -10516, 29175, -4849, -3764, -28644, -1237, 8052, 20386"
values_17,26,"{31902, -2863, 14812, 14935, 11512, -26546, 27444, -24043, -11515, 3830, 2185, 20625, -1156, -3381, -28993, 17163, 9887, -31327, 14503, -28018, 16432, 7598, 31695, 19729, 31662, 25093"
values_36,29,"{16125, -30602, -27969, -12795, -7108, -9668, 27354, -11169, -23912, -18408, 28611, 4467, 5622, -20101, -17303, 9986, 9363, -31949, 1542, -18905, 16040, 18399, 7212, 6977, -10917, -22184, -17256, 20930, -32233"
values_49,30,"{-20290, -4236, -31543, 30800, 22977, -739, 13901, -24722, 18610, -4171, 25133, 23880, 22609, -24682, 28822, -30741, 25797, 23597, 18606, -4012, -28060, 22483, -20340, -11337, -30760, -611, 4711, 18124, 8616, 15661"
values_86,5,"{-15681, -29374, -21129, 5965, 843"
values_37,32,"{17049, 1962, -32638, -6302, -1285, -7464, 5629, 26106, 14911, 29135, -4579, -27950, -19171, -11223, -13990, 15476, -15383, 4100, -9308, -9063, 9622, 27719, -3500, -2352, 30376, 31946, -13717, -14631, -19570, -18776, -21083, 31229"
values_56,12,"{-21510, 28954, 10966, 15105, 14677, 10108, -16013, -31498, -10123, -22494, 13026, 29307"
values_63,13,"{-7861, 23426, 31041, -16223, -5657, 12457, 29435, -17363, -7585, 31532, -690, 14803, 13129"
values_35,25,"{13370, 29359, 15013, -20014, -20628, -29977, 24342, -22740, 24940, -16631, -5711, 24171, -30018, -4303, 21703, -18271, 2967, -23282, 389, 19706, -24893, 14792, 20397, 6347, -18118"
values_97,16,"{-15490, -30645, 22955, 7580, -25147, -18182, -19439, 3836, 12424, -28124, 24068, -26124, -9845, 21902, 24852, -9436"
values_75,23,"{9045, -20217, -2343, -9773, 22339, -29235, -18183, -9398, -19551, 19982, -31324, -1855, 22290, -22696, 6695, -10554, -16805, 8042, 11707, 17955, 26306, 4434, 8992"
values_57,32,"{19473, 14586, 23778, -19519, 3194, 9505, -5614, 5915, 32503, -19691, -15070, -22302, 6381, -20355, 17497, 28247, 6910, -26641, 27104, -31156, -14852, 25838, -22726, 4523, -1118, 22447, -8609, -4021, 12740, -18294, -4355, -1846"
values_88,8,"{21024, -10210, -27784, -13959, -18358, 1328, -11453, -24871"
