inputName,size,a[size]
values_11,24,"{-22685, 14842, -18239, 1650, 21654, -30243, -616, 14081, -5735, 14720, 8162, -9705, 29611, 1081, -27019, -22942, 14911, -2129, -3760, -15216, -8242, 5779, -29161, -20065"
values_19,23,"{27795, -20660, -24232, 18091, -10285, -30756, -18775, 24824, 10673, 23532, -622, -19330, 21475, -7122, 26278, -11095, 10893, -26388, 14754, 19100, 8577, 21708, 30169"
values_12,6,"{-2382, -10430, -28129, -5162, -1326, -29796"
values_38,9,"{24691, 7068, -30211, 8533, -21340, 13858, -15956, -24416, 24431"
values_81,15,"{154, -25736, -30371, -16800, -28733, 10897, -18535, 7879, 28900, 24148, 26970, -25743, -13144, -12596, -113"
values_5,6,"{-32333, 9913, -4867, 23854, -24944, 13844"
values_40,2,"{743, -828"
values_70,10,"{24059, -32143, 2204, -1197, -20964, -18058, 8263, -1794, 8130, 31925"
values_23,15,"{20167, -31466, -15481, -20271, -3452, -6442, -3118, 678, -6912, -11041, 31809, 17152, -4837, -18247, -28790"
values_72,23,"{-32117, 28568, 18471, 16105, 31078, 14725, -9596, 18030, 13640, 18189, 5645, -19731, -14392, 32207, -31835, 11612, 17265, 22764, 23578, -22096, -17294, 14191, -24257"
values_79,10,"{2239, -26477, 22191, -6016, -21835, -15542, 4399, -16598, 20117, 10465"
values_78,7,"{5265, -18394, 26013, -20494, 4806, 29399, 23399"
values_87,23,"{20960, -759, 3551, 7236, 82, -11621, 9132, -5426, -25223, -31939, -22965, 20138, 20528, -3042, 11310, -5250, 18543, -27466, -28829, 3630, 21703, 27105, 16615"
values_6,18,"{-1352, 30916, 8119, -7543, -6705, -20413, -22179, -2277, 3389, -23426, -18822, -13779, -5514, 8616, -29851, 6705, 32578, 27099"
values_68,21,"{24070, -25856, 30441, -28073, -4370, -11424, -13655, 2929, 16107, 30845, 23165, -72, 6199, 22641, 25016, -24195, -18470, 1381, 19562, -21548, 9890"
values_69,14,"{-24035, -3936, 19545, 20802, 14371, 32576, -24756, -15898, -11739, -29538, 17167, -28150, -25457, 7123"
values_1,5,"{-24492, 15465, 20118, 26851, -10068"
values_45,8,"{-1527, -294, 26692, -4697, 26856, 29540, -26260, 23298"
values_33,5,"{6264, -26410, 27850, -18150, 5444"
values_15,22,"{-29073, 29738, 20556, -18751, 5037, 7518, -948, 10061, 6242, 15584, 13512, -27378, -25750, 17428, -15176, 19463, -3819, 23078, -26257, -2348, 26736, -25731"
values_93,29,"{25780, -13737, 32502, 9919, 28957, 14101, 25240, 29527, 10905, -24098, 21457, -17967, -7723, -18498, -29613, -5890, 21758, 27408, -28131, 17470, -20322, -19273, 20937, 20494, 29328, 602, 8156, -4872, 13335"
values_24,3,"{-8839, 23756, 19303"
values_25,29,"{9834, 14201, 11465, -596, 2760, 20483, -17665, -5405, -7645, 17226, -31421, 10857, -19432, -12019, -21873, 21008, -22527, 9112, 18934, 18956, 26151, -3984, -1074, -30319, -32378, 29652, -20834, 8172, 23579"
values_26,16,"{10543, 20060, -13651, 16434, -13401, -17063, 30814, 24575, 29199, 8096, 14372, -8670, 14074, -14123, -4223, -3638"
values_48,15,"{1906, 8725, -4203, 16354, 4492, 31789, 12108, -13054, -13670, -28614, -20776, 20277, -15223, -24839, -6392"
values_71,17,"{25568, -15108, 32503, -16635, 17570, 27520, -29054, 27828, 6675, -7901, 22742, 14659, -17178, -687, -75, -11050, 15567"
values_76,2,"{-9271, -22281"
values_7,32,"{13087, -10391, 5318, 2128, 9579, 16597, -12184, 20636, -26072, -17317, -26496, 555, 2438, -30741, 24681, -5149, 31637, -27991, -17539, 32291, -6535, 18157, 26502, 5122, -17477, -5889, 18664, -10755, 22462, -16216, 4231, -4429"
values_50,5,"{-26886, -28864, -15907, -27460, -22986"
values_22,20,"{-17928, 15834, 5702, 12706, -27517, 28401, -27662, 32311, -23424, -24006, -287, 11911, -11994, 7265, -29406, -29222, -25640, -30973, -562, 26734"
values_4,12,"{-20328, 1770, 27438, 21930, -89, -21853, 3491, 10570, -9259, -4120, 3784, 8276"
values_32,19,"{-25067, 9384, -29520, -24971, -19299, 4556, 3520, -18526, -9864, -6386, 14649, 12081, -6437, 3887, 3056, 6952, 18676, 21703, -8104"
values_77,22,"{12859, 14447, 15858, 2192, -28164, 27927, -4378, -4363, -28042, -4436, -9124, -6065, -28919, -11819, -21024, 29240, -18481, 25290, 5840, 18849, -10185, -2606"
values_91,6,"{15705, -17948, 14228, -25408, -13481, -8736"
values_42,12,"{11678, -41, 24410, -23689, -11121, 30602, 32001, -16302, 16147, -6086, -21136, -28819"
values_13,6,"{-30060, -16173, 2975, 3849, 16770, -3291"
values_41,18,"{6910, 25680, 4124, 9604, 29786, 17807, -6602, -12468, -29284, 25035, -28949, 17995, 7140, -22763, 14975, -20897, 26189, -32479"
