inputName,val
values_11,4106982490708058578
values_19,4371388278072952252
values_12,7012046792571000268
values_38,6572856025068695187
values_81,2384274348279273078
values_5,3238590046080290603
values_40,6049854145416813026
values_70,2379880480272844938
values_23,9087198159581794684
values_72,9210048424678064227
values_79,2604211894613841474
values_78,624844950300272123
values_87,7660157336560496562
values_6,2143995152037797092
values_68,8154825143843321608
values_69,207396539759413630
values_1,3218018822762833813
values_45,8148041058692770861
values_33,9006654948017786468
values_15,3112692539719674394
values_93,8844057327072679057
values_24,942640157371764179
values_25,856284447417542014
values_26,8406769129754521012
values_48,4943447098265230881
values_71,1912894346871055345
values_76,4739096338418615181
values_7,4280808285832019927
values_50,924447255887080705
values_22,8721577156263422245
values_4,5284353488638750
values_32,6218500838727727089
values_77,4033835619491543599
values_91,2410268852835839165
values_42,4822315690808549359
values_13,1646646834668673490
values_41,8360987275975836287
values_55,7223917624947777383
values_31,6593332301361432365
values_66,6321459969742328303
values_65,1679108558185121310
values_62,7110228181261867183
values_21,5241556467719611539
values_95,995460217587222553
values_84,3182506110777941080
values_58,6808605625416096102
values_64,4299476274224742040
values_83,2743851855331113373
values_94,7205281795485329840
values_0,4750455746412916987
values_99,980448638463631015
values_96,6549992867305160874
values_67,3569807951336200033
values_61,5112377639783404439
values_43,2717386900604095461
values_2,8798088065358854974
values_54,6744492939601463790
values_30,591393713829494137
values_59,3748477930624767751
values_85,4000373906611138
values_74,2458237481377907074
values_90,3983043765441885476
values_18,1152905307085800849
values_52,4873390603113191499
values_44,1376725887522136282
values_17,6431514693085789719
values_36,2888818059233304093
values_49,8548055042150663418
values_86,5834072494557377516
values_37,5761907131535911402
values_56,3985699160222328053
values_63,2565982181590839443
values_35,96261545425774055
values_97,1989240183851454605
values_75,7504322924874238882
values_57,6431777309347060627
values_88,689854718147148357
values_10,5016311258827941189
values_53,6367215710766406330
values_8,432207441523050189
values_39,3451622145453151274
values_47,7075276385451600459
values_60,8834023431583758737
values_89,8507129610718853740
values_51,12061603957976645
values_14,5948641913153139366
values_28,7741737777550673298
values_16,5302720903652591793
values_34,5915381473386396924
values_82,6852432376569107878
values_46,559491237618204267
values_27,5316028720562713967
values_20,8893273673580250527
values_9,6086016958750331474
values_92,2581639132232871060
values_3,1433855834632205160
values_98,1739851101878558122
values_29,5226978728615356154
values_80,4796670499575105168
values_73,917411242203359099
