inputName,n
values_11,20
values_19,23
values_12,29
values_38,11
values_81,13
values_5,3
values_40,7
values_70,22
values_23,14
values_72,21
values_79,28
values_78,17
values_87,30
values_6,8
values_68,13
values_69,27
values_1,5
values_45,11
values_33,16
values_15,8
values_93,20
values_24,4
values_25,22
values_26,3
values_48,28
values_71,13
values_76,27
values_7,2
values_50,20
values_22,6
values_4,3
values_32,12
values_77,21
values_91,14
values_42,29
values_13,16
values_41,6
values_55,12
values_31,26
values_66,30
values_65,30
values_62,2
values_21,16
values_95,3
values_84,31
values_58,26
values_64,24
values_83,9
values_94,2
values_0,11
values_99,24
values_96,28
values_67,3
values_61,8
values_43,27
values_2,17
values_54,23
values_30,2
values_59,23
values_85,12
values_74,3
values_90,25
values_18,6
values_52,11
values_44,25
values_17,21
values_36,28
values_49,32
values_86,3
values_37,7
values_56,6
values_63,7
values_35,14
values_97,10
values_75,5
values_57,20
values_88,24
values_10,30
values_53,4
values_8,7
values_39,3
values_47,6
values_60,9
values_89,16
values_51,28
values_14,6
values_28,13
values_16,26
values_34,13
values_82,29
values_46,7
values_27,21
values_20,5
values_9,17
values_92,18
values_3,11
values_98,22
values_29,9
values_80,15
values_73,7
