inputName,size,arr[size]
values_11,25,"{445723448, 1830561113, 748186256, -1160647990, 323837362, 1849630465, -888410283, 657343408, -740375612, 1405139440, 882052731, -1559269738, -239198931, 1459323244, 77875538, -119198525, -282931149, 350679931, -853687702, 795003805, -325370362, -674813448, -2045127710, -1448449132, 650888301"
values_19,11,"{1502854086, 2120897825, -1437590986, -53378403, -793008519, 2118069552, 21772608, 2025645440, 276211475, 1839612380, -2077848092"
values_12,25,"{1448360919, -1682176807, 1925896173, -1912271860, -158712347, -865250349, 1449032851, 920151630, -2040118151, -1122877499, 337303472, 715035237, -165817606, 1852693919, 1354568774, 446283657, 1243629081, 1915282504, -1173533607, 21548006, 1229060677, -1244546884, 341972648, 1269877784, 436777381"
values_38,18,"{266246534, 1411359840, -1011542408, 1061844551, 91606432, -1266206844, 265200463, 276201996, 1440277830, 1398236703, 308999878, -969134893, -915700430, -829033402, -1864111584, -1492656559, -447537987, 2079188396"
values_81,7,"{1628832681, -1108837439, -479049441, 387200232, 581469526, -570889542, -429862200"
values_5,14,"{-1017153699, -1431215470, -913941543, 80039080, -209826173, -1561180019, 628469560, -1456028950, 1939208734, -10421806, -1409640972, 755643796, -179202252, 1817506215"
values_40,11,"{1542488901, 381366500, -1430412014, -1003074211, 149965439, 194098611, 813550732, -242945950, 1217858248, -1585522173, 235703859"
values_70,13,"{758055521, -426523395, 1536541411, -1935738778, 1168894400, 1145382612, 761645799, -1253670641, -1313598257, -167974501, -1736594992, -1331122845, -1993450894"
values_23,11,"{-1109032286, 1299132697, -1829674325, 457701473, 228950507, 1287538923, -2030304426, -212928856, 1354366965, 1841296903, -1584339734"
values_72,30,"{-1209768191, -305625361, -178075786, 675140052, -1664574654, -381191437, -105162813, 308379745, -692181364, -1354914513, 1267958229, -813993092, 2143219627, -2069276283, 1694752486, -143976494, -871708231, -1844853835, -1136164962, -960941231, 1487107530, -278803176, 1925620089, -110024560, -705748223, -1708974523, 1513068423, -410194060, 250738895, -1549379720"
values_79,23,"{-51464797, -2102305690, -1428838415, 1932355891, 2045094305, 1837626737, -2102413130, -355078944, -238631893, -93146614, 1797459562, -315258142, -631654802, -1853455127, 1245272281, 549713445, 593348617, 1568626249, -1737219609, -1344532106, -1945307404, 294993076, 1661962919"
values_78,9,"{277409153, 913491411, 608996225, 564569066, 1061883368, 726994179, 2076060163, -1224763639, 661173960"
values_87,16,"{506094627, 576139982, -1172166057, 1712570780, -1305702072, -13699190, -1355432495, 1627789664, 381309781, 725932283, -1548360520, -1620909767, -2079554077, 623346129, -1058108340, -527961652"
values_6,21,"{-486001064, -1151276222, 1422405172, 1335996268, 1370188140, -242190785, -1080868749, 642035547, 1278608636, 603016150, -1429685457, -1543078748, 588663675, -1631076848, -406013827, -2142120646, 424154670, -258035350, -194661134, 1429922708, -1287231500"
values_68,11,"{-365081347, -528294873, -1115407657, 398132696, 258023006, 2120696730, -1972586846, 259189171, 323187190, -105788496, -1417292384"
values_69,25,"{-1988628401, -1200232991, 2034742939, 450650006, -203414876, -1268169894, 1744284552, -574652570, -555056830, 687714617, -1387681338, -17811676, -721855276, 794143307, 2002687696, 782371204, 37381911, 1777480220, -1018625407, 2135420322, 729264460, -336210870, 841710032, 1654580944, 1303843239"
