inputName,val
values_11,2008329069
values_19,965913340
values_12,1023740991
values_38,347412990
values_81,829063659
values_5,829037153
values_40,188373905
values_70,683978981
values_23,1402948212
values_72,1875521820
values_79,108970747
values_78,342191677
values_87,1301576542
values_6,506628183
values_68,2100552281
values_69,1212766647
values_1,341906604
values_45,251836819
values_33,486790074
values_15,846343143
values_93,463929572
values_24,761680441
values_25,1742933186
values_26,1237574900
values_48,1290335036
values_71,183176191
values_76,1168386672
values_7,1032564346
values_50,2052446614
values_22,1661508583
values_4,563356717
values_32,1776220557
values_77,1373650752
values_91,819615889
values_42,540920136
values_13,75569746
values_41,93132596
values_55,918071579
values_31,325116536
values_66,358386553
values_65,1606828731
values_62,1421790107
values_21,887462845
values_95,1613954475
values_84,2009733666
values_58,611129606
values_64,34924584
values_83,114244757
values_94,1991096938
values_0,13432544
values_99,1186400263
values_96,1168844316
values_67,237027257
values_61,2026222840
values_43,1325515221
values_2,43095500
values_54,1236572692
values_30,1440433580
values_59,766773596
values_85,1728336485
values_74,1726468100
values_90,1058425879
values_18,1889654102
values_52,938961189
values_44,923887018
values_17,603418492
values_36,1357230501
values_49,435796236
values_86,770860623
values_37,886378200
values_56,1182972158
values_63,1749437765
values_35,731454697
values_97,1178085700
values_75,1719417856
values_57,822264715
values_88,210578043
values_10,188387997
values_53,1831211880
values_8,692801554
values_39,1803928319
values_47,1258601086
values_60,1096091311
values_89,116679907
values_51,1693953364
values_14,1912802950
values_28,1665205877
values_16,2033373186
values_34,1256884391
values_82,1049873899
values_46,404678523
values_27,56337760
values_20,243825247
values_9,1950557191
values_92,221658856
values_3,243431068
values_98,511733124
values_29,2140993297
values_80,1358525721
values_73,411262540
