inputName,nn,isign
11,8,-1
19,8,-1
12,8,-1
38,2,-1
81,10,-1
5,3,-1
40,10,-1
70,5,-1
23,9,-1
72,5,-1
79,5,-1
78,5,-1
87,10,-1
6,3,-1
68,7,-1
69,7,-1
1,3,-1
45,10,-1
33,2,-1
15,8,-1
93,6,-1
24,9,-1
25,9,-1
26,9,-1
48,10,-1
71,5,-1
76,5,-1
7,3,-1
50,7,-1
22,9,-1
4,3,-1
32,2,-1
77,5,-1
91,6,-1
42,10,-1
13,8,-1
41,10,-1
55,7,-1
31,2,-1
66,7,-1
65,7,-1
62,7,-1
21,9,-1
95,6,-1
84,10,-1
58,7,-1
64,7,-1
83,10,-1
94,6,-1
0,3,-1
99,6,-1
96,6,-1
67,7,-1
61,7,-1
43,10,-1
2,3,-1
54,7,-1
30,2,-1
59,7,-1
85,10,-1
74,5,-1
90,6,-1
18,8,-1
52,7,-1
44,10,-1
17,8,-1
36,2,-1
49,10,-1
86,10,-1
37,2,-1
56,7,-1
63,7,-1
35,2,-1
97,6,-1
75,5,-1
57,7,-1
88,10,-1
10,8,-1
53,7,-1
8,3,-1
39,2,-1
47,10,-1
60,7,-1
89,10,-1
51,7,-1
14,8,-1
28,9,-1
16,8,-1
34,2,-1
82,10,-1
46,10,-1
27,9,-1
20,9,-1
9,3,-1
92,6,-1
3,3,-1
98,6,-1
29,9,-1
80,10,-1
73,5,-1
