inputName,n
values_11,24
values_19,29
values_12,7
values_38,8
values_81,4
values_5,13
values_40,17
values_70,25
values_23,21
values_72,22
values_79,3
values_78,30
values_87,7
values_6,5
values_68,6
values_69,9
values_1,5
values_45,11
values_33,11
values_15,27
values_93,23
values_24,11
values_25,9
values_26,6
values_48,5
values_71,16
values_76,20
values_7,12
values_50,3
values_22,21
values_4,16
values_32,29
values_77,8
values_91,21
values_42,29
values_13,12
values_41,4
values_55,31
values_31,28
values_66,17
values_65,18
values_62,13
values_21,16
values_95,16
values_84,11
values_58,4
values_64,21
values_83,27
values_94,6
values_0,26
values_99,4
values_96,9
values_67,6
values_61,29
values_43,31
values_2,6
values_54,6
values_30,6
values_59,18
values_85,12
values_74,32
values_90,3
values_18,17
values_52,23
values_44,31
values_17,21
values_36,22
values_49,7
values_86,8
values_37,29
values_56,2
values_63,4
values_35,19
values_97,5
values_75,2
values_57,9
values_88,9
values_10,28
values_53,15
values_8,15
values_39,16
values_47,6
values_60,30
values_89,19
values_51,13
values_14,30
values_28,21
values_16,20
values_34,20
values_82,30
values_46,9
values_27,2
values_20,6
values_9,14
values_92,24
values_3,7
values_98,8
values_29,27
values_80,11
values_73,21
