inputName,nn,isign
11,1,0
19,1,0
12,1,0
38,5,0
81,5,0
5,8,0
40,5,0
70,8,0
23,3,0
72,8,0
79,8,0
78,8,0
87,5,0
6,8,0
68,5,0
69,5,0
1,8,0
45,5,0
33,5,0
15,1,0
93,6,0
24,3,0
25,3,0
26,3,0
48,5,0
71,8,0
76,8,0
7,8,0
50,6,0
22,3,0
4,8,0
32,5,0
77,8,0
91,6,0
42,5,0
13,1,0
41,5,0
55,6,0
31,5,0
66,5,0
65,5,0
62,5,0
21,3,0
95,6,0
84,5,0
58,6,0
64,5,0
83,5,0
94,6,0
0,8,0
99,6,0
96,6,0
67,5,0
61,5,0
43,5,0
2,8,0
54,6,0
30,5,0
59,6,0
85,5,0
74,8,0
90,6,0
18,1,0
52,6,0
44,5,0
17,1,0
36,5,0
49,5,0
86,5,0
37,5,0
56,6,0
63,5,0
35,5,0
97,6,0
75,8,0
57,6,0
88,5,0
10,1,0
53,6,0
8,8,0
39,5,0
47,5,0
60,5,0
89,5,0
51,6,0
14,1,0
28,3,0
16,1,0
34,5,0
82,5,0
46,5,0
27,3,0
20,3,0
9,8,0
92,6,0
3,8,0
98,6,0
29,3,0
80,5,0
73,8,0
