inputName,n
11,26
19,6
12,19
38,18
81,23
5,32
40,5
70,21
23,16
72,27
79,18
78,2
87,11
6,28
68,24
69,9
1,3
45,32
33,19
15,8
93,6
24,29
25,32
26,4
48,21
71,29
76,30
7,12
50,28
22,17
4,14
32,25
77,24
91,5
42,17
13,26
41,10
55,26
31,14
66,27
65,22
62,19
21,15
95,11
84,4
58,31
64,32
83,16
94,29
0,23
99,26
96,7
67,17
61,23
43,29
2,31
54,5
30,25
59,10
85,10
74,8
90,19
18,26
52,31
44,11
17,22
36,8
49,30
86,25
37,28
56,19
63,16
35,16
97,15
75,9
57,10
88,4
10,18
53,25
8,16
39,20
47,7
60,7
89,20
51,30
14,9
28,16
16,4
34,11
82,13
46,27
27,13
20,11
9,28
92,20
3,6
98,18
29,27
80,18
73,31
