inputName,size,arr[size]
values_11,13,"{-895429459918174959, -8997248054112357716, 4877767547264726409, 8646912442066688291, -3770048172670908194, -199238829047181686, -5543565938411739152, -4785219901354462667, 1191375488541679086, 2032154828408570280, -2396867654344220417, -8851712805666189764, 4959970823441615040"
values_19,20,"{2755909379525636542, 3683492456747645508, -1559760796104916752, -8963261383396760195, 8198308489220382393, -6955663150151895392, -6784952397608077699, 7776935707312838853, -902251624742660565, -2937396626670415907, 6938575305750663089, 6622363847903721150, -2515681526799295209, -1223915298477319941, -7661133155458041730, -7122972659593818943, 2850396515746126344, 5908633254846531554, -7179491163517680474, 6562744289355187975"
values_12,30,"{-5550609420375059367, 8886658951760968898, 8667812476958573196, -4271286643188828540, -6623728866136536408, -6221905619455167015, -2166024117905640282, 1934441356091492566, -7693843229666034465, 3021117956478823618, 1532102547961047407, 6363930037649888521, 4752082895728379193, -6984998188421003350, 1584746396540222881, -1617736493109712630, -8301011068959037263, -24483656271755944, 2430789107554408520, 7879342803665556244, -3678633974519091422, 2012958562704320214, 3274002693351119896, -3454820716976217512, -7746277413030440065, 9181435228858379260, -1972202599138511005, 1595399236946283336, -820386321167279150, -8672082116378100079"
values_38,23,"{-6904019306281942605, -5668540900336472321, 8714955768208286622, 582902085175912127, 6285472714026824944, 8136281323254087773, -5469943798108433057, 5801702051044228463, -4796509424267101882, 333202921439825959, 1890106401795373701, 6029835561503036060, -2723479049829463384, 3757214413151343224, -534127662068299674, -8979932660890096685, 4974180039795594484, 388363471892756356, -8833000190530571546, -134673043842413847, 7985145883184896375, 2825215511057460786, 1614843674075160482"
values_81,32,"{-1412154860579848222, 4765117561480890172, -6417775474255709444, 1709467514841676985, 3442175116308732642, 7256198627573720691, 3400092215606565720, -6028080527268896081, 6910342073498678321, -1198617376723861336, 5348333609546551575, 7894382443167256709, -1212180324881961790, -4411653055306476226, 3440795899044430769, -7064380498474633019, 576910280901077444, 802030150363274451, -6763254403372750401, -2001423066711500181, -2980756560609737623, -5203611760952016908, 2460044947229246426, -7557279635524129579, -7220781158896765867, 2271415287669163588, 7545570705949244657, -558750493287263901, -1582254575709115060, 3309887095806635441, -7084534854165851753, 1455037838558586462"
values_5,12,"{-7109403694382901939, -7891440110288618478, -7190341264451127459, 2519438124715529354, 5648663781649108953, 4106837876482714857, -8492089833372545254, -2036923860705906296, 7422359109544642730, 7730333816922149570, 9110885355443953362, 4184828052788927596"
values_40,4,"{2358984639324869377, 8603534187749039575, 2710194154650649935, 4099638747141765008"
values_70,30,"{-4070416399559136800, 8868582868374561055, 7637953929417000159, -7466793486832149123, -9166565757244427121, -1984861384755894898, -182438471299575953, 8081602087710750148, 9095612075547928759, 2647502134811870378, 6442056160878646571, 6464508242138570614, 8513889061562134100, -8374356781576429080, -8286135697412939519, -2314893870297758562, -2788783421212684228, -3816378473846654146, 5207866226325108662, 4981918160767165860, -5453767448486389203, 2863961415559877908, 7880025457838859173, 5348842071272491237, 770510407278023156, 4606424857243142322, -4122219595325241148, -9143526651808518376, 803623480621355770, -1953540724131310400"
values_23,15,"{-1620067975779630877, 4382946016353322255, 8010923203136427895, -7780771835088189184, 3605452438046720292, -3825090091970059357, -469994659663700489, 607317451209199565, 5923461945749972953, 83052139943676982, 4130279565903520028, -1224212005634938613, -5863204581768513204, 196419583044424249, 1158562258590762093"
values_72,8,"{-5012568497388398641, -128489129762578650, 2159697258806383931, 9135430892476956467, 2279669179375485041, -6661495123743369129, 2884224930143428054, 6923465093395302197"
values_79,28,"{-2289404872819916308, -3071654659309902527, 3038462839405081372, 9069473488921524618, -4926676436870750664, -1750718065420536470, -5083465969686670231, -1700719233113435186, 3757160088046704600, 9134969294745820149, 3220773363076995488, -7986294579119011390, 4381701484555224448, -5225814051797647273, 586727247398245634, -9041624483878230681, 8583218935668140948, 258611117371536366, -5324174870592084361, 8547085177024127957, -9201879669234444458, -2146197048648310686, 4803264804215350245, -1097385029840261761, -8882825173553232188, -5856331795263606798, -5438872210359229810, 8283447775858216945"
values_78,30,"{3687905582925961937, 5665174256045095903, -7428804106551247625, -8812629768861710225, 2608070459144967282, -4335519748760935166, -986702685983651781, 5772938730525938241, -1398611088639803292, 3311303931384753821, -3004364581210369629, 6342657205096362484, 3250831072923320495, -6101574017541143916, 8961098517941499225, 1615315636581352415, 176240114163669188, -2545177996514791360, -9177498793964316954, 5572371929259815178, -6055522477504807670, -8046521040264297087, -7550506752226715184, 6771854492049557511, 2847312883188932380, -1255313914748684261, 1192754135790286189, -4583272149256365413, -8681346235263353463, -8857561960231789499"
values_87,2,"{-1063027830097315126, 1806300419484697114"
values_6,17,"{7253439467377520717, -3452074581679696144, 481765310278960, 7572077910888421704, 7053175733836524350, -3612788567248881732, 8328490036608800004, 2487155912338727539, -5463845597452779362, -4757357865814505486, 5412144252106564332, -4140811817114117159, 3629522731498768602, -1189524337482234948, 1379387423355696995, -909493880666274434, -20444103242067419"
values_68,27,"{6804458242938240867, -9094794033070021017, 7212750196693530546, -772119879100178236, -5926314025047839082, -7884379832709779288, 3034331006451651871, 5949919602815143080, -3246262147951046575, -3485180044448711245, -2161763842937448077, -6934706103466592555, 6436402776367919846, 7864580210064988398, 6989339832029784798, 8730003193951045714, 5706155337658535492, -8415849995307086292, -2591883358654579976, -4136783654370672179, -3469936119534724232, 3712599254880256239, 445380197719398494, -8422457582561695483, 5330789601478973430, -696481951456564800, -2026859562327143591"
