inputName,size,arr[size]
values_11,9,"{-7263689704258359220, -1963763678031718690, -437268467389362812, 2794627627520984368, -8120945626478001437, -1801194158814693653, 2579760805554333880, -4177412102231286977, -2666158314152339697"
values_19,18,"{6223872037416556700, 3589475185017926052, 5675738370419330432, 560599310020263541, -8618279983251274217, -4421214571073506354, 4628060979326641556, -3321614832448511881, 7703732410231204374, -1254938030040753168, 6513543872274403353, 8236368264088532213, 2281919348885311310, 5126210661321730430, 5523152359720916035, 6488132426405953477, 7140001178004312370, 6308484137229106060"
values_12,6,"{-6343469849335459094, -497312320378407251, 8998326114642119307, -4051219346246481138, -1586823084785736252, -8743802377020687737"
values_38,27,"{-257543545996539456, -1923351966893402892, 4948801476466100625, 7771300487719294967, -8698291890145018797, -1492370069766820826, -582341727842251018, -9039553640571054765, -122572296098896769, 5028262036975735853, 4169112638313916570, 4309821767330924015, 3088163873119235160, -2214697251125635232, -5980802389902848271, 8565361376099232869, 3464530075980280468, -572453768015490495, -3720476893148182139, 5720712146010988195, 5877965101634625557, 8395826418285123724, 1239250749301867866, 3494469652849454671, 358839454622606317, 6728199388599314977, -1533942917055289954"
values_81,20,"{2208285691437542567, -9145586152271109231, -4928081820813155389, -4969221859832213859, -8338908494800131782, -4462023129670168043, 6046176009212819671, -2514793148105216852, -4716355946401688951, -3399238370180536124, 443084672194267981, 2847882083067034233, -5318645529523165672, -2656256418181740854, -7612494335206208853, 7656986369294229216, -2498760436363900370, -7377705314516023995, -9140437539859728902, -6524446489855076135"
values_5,29,"{-2048040833695038926, 6745998912619348899, -7746954270759444773, -4003885606712031399, -671750664056083221, 3359889552338647584, -6174683106273944773, -4072766628473600399, 3616057566180565336, 3685929795954260431, 3283980939933823391, -3192851589719206901, -8766654553343494244, -5649602321365900395, -4622512726073526270, 7273731919758243303, 1676262510454426867, 5519909931473492887, -4473669328885342912, -6729232823429043150, 3296734966179593518, 3471562997772754017, 1236627018531958152, -3536009229003264285, 3786964836806985867, -4972144956015747193, -6227360751080146741, -7864200712091940343, -5909225576924243635"
values_40,29,"{-5064180138985090750, -8100514792565580107, -3918268877965581769, -8920265225585592108, -1907001311157957024, -5028503634100517484, -4892549729408503145, 237195941876707836, -9123730088215917935, -3543275530445761234, -4150533439549839809, -714447335320368597, -7085325322209645437, -556461701246425300, -742064217330029381, -3258988626633782243, -2850272513340457371, 315205310286267826, -5410281014885049069, -7881289542587423843, 9040003487640314861, 692839604498399993, 6061315510001411644, 3669436178114947820, 3020803390917791560, 4473584954753762021, 6987384010439895450, -1362920820416268754, 1977138521155058341"
values_70,10,"{847186611348932884, 4053198903369399617, -5645636516456996094, -1258253014625348449, -3702558250801828925, 654369837893988713, -1934970207958784474, -4351546940165271965, -6816989466115140960, -7226097067004843746"
values_23,2,"{6248101595786116676, 8716498543087990504"
values_72,20,"{1391863771588551059, 6492819283232470342, 5455562893718443093, 3750540108208600823, -5981437496698405267, 3874894229800204586, -1400497437929720502, -4195199733383583824, -3506750114687697504, 8627728958640105546, -4141377007313743925, 7186847095245316883, 672079692576858997, -3276772110396298302, 407996676800929591, 733965973999514330, -8822775794889943244, -8958408467525537380, 2411427872906961025, 6278207231822039511"
values_79,28,"{1226864983053099884, -5087859834991073802, 1269697632746767331, 6138227249176467879, -7774837485015966906, 8712881960906826124, -2043095791930719962, -2657496617114376136, 936299275410225894, -6680207775342895169, 6566072265776425702, -7264677195321316858, 381318795610317994, -8319425981534419874, -4662569798324097829, 4873090295952350150, -4284866751970663560, -8653653785594839972, 3416630104682556920, -9154128493891017514, -3979357551839401466, -2004155738162009395, -8074438419229333658, -1775563455692894757, 1435010763584366525, 3952659960283193606, 5056504953305831407, -6299767674327185436"
values_78,20,"{9079948393782410696, -6477236982837543000, -8183120580504986784, 19788766611369045, -2675929448502888995, 6089500457872316079, 684201869589598358, 8422293494609718583, -4008892371755482821, -3463750335200792094, 4899824704425091555, 6446074655985854547, 3444927741635136773, 6735845355084451018, 2248881036369685078, -5852749904398613814, 2537864987823056951, 4381560968994382296, 7237397861231659446, -917953833527198461"
