inputName,n
values_11,24
values_19,25
values_12,26
values_38,2
values_81,26
values_5,8
values_40,12
values_70,30
values_23,22
values_72,29
values_79,14
values_78,19
values_87,14
values_6,25
values_68,22
values_69,2
values_1,6
values_45,26
values_33,12
values_15,24
values_93,25
values_24,3
values_25,19
values_26,26
values_48,16
values_71,14
values_76,22
values_7,9
values_50,30
values_22,3
values_4,14
values_32,31
values_77,20
values_91,17
values_42,26
values_13,3
values_41,20
values_55,30
values_31,12
values_66,15
values_65,4
values_62,3
values_21,14
values_95,8
values_84,18
values_58,28
values_64,13
values_83,15
values_94,20
values_0,16
values_99,27
values_96,9
values_67,23
values_61,27
values_43,29
values_2,28
values_54,2
values_30,27
values_59,14
values_85,10
values_74,27
values_90,28
values_18,12
values_52,11
values_44,25
values_17,18
values_36,30
values_49,5
values_86,28
values_37,17
values_56,10
values_63,27
values_35,20
values_97,4
values_75,12
values_57,17
values_88,8
values_10,18
values_53,7
values_8,8
values_39,14
values_47,7
values_60,23
values_89,21
values_51,29
values_14,14
values_28,18
values_16,5
values_34,27
values_82,28
values_46,15
values_27,22
values_20,10
values_9,10
values_92,14
values_3,18
values_98,7
values_29,31
values_80,3
values_73,26
