inputName,idum
values_11,14845
values_19,389
values_12,-23440
values_38,-14285
values_81,-32643
values_5,6771
values_40,25337
values_70,23710
values_23,3340
values_72,-1287
values_79,-6302
values_78,31592
values_87,27789
values_6,-16423
values_68,-28315
values_69,-2486
values_1,26879
values_45,5515
values_33,-29510
values_15,-21056
values_93,18759
values_24,-7820
values_25,-21186
values_26,-5687
values_48,-14598
values_71,-20834
values_76,-2221
values_7,766
values_50,32321
values_22,10678
values_4,23259
values_32,26781
values_77,3098
values_91,-17147
values_42,4076
values_13,-13526
values_41,-23875
values_55,-27219
values_31,20635
values_66,16666
values_65,-30908
values_62,-31610
values_21,6663
values_95,-27374
values_84,16693
values_58,-15283
values_64,20958
values_83,-22531
values_94,11912
values_0,9620
values_99,14213
values_96,6835
values_67,-622
values_61,6395
values_43,386
values_2,28800
values_54,-12396
values_30,-4828
values_59,-29745
values_85,-8117
values_74,25926
values_90,6296
values_18,-26809
values_52,-13887
values_44,12564
values_17,-13862
values_36,747
values_49,11256
values_86,-27922
values_37,-27413
values_56,25544
values_63,-3739
values_35,-4953
values_97,-3978
values_75,-19296
values_57,-11129
values_88,-24493
values_10,8358
values_53,-30417
values_8,-3560
values_39,-24878
values_47,-28538
values_60,10543
values_89,-4345
values_51,24711
values_14,15958
values_28,-32150
values_16,14411
values_34,-25213
values_82,-16015
values_46,23565
values_27,-23215
values_20,19564
values_9,28509
values_92,4245
values_3,-1775
values_98,-3902
values_29,-15377
values_80,9784
values_73,-20716
