inputName,idum
11,12171
19,-9621
12,10044
38,14180
81,11560
5,5709
40,16216
70,-21612
23,9479
72,9968
79,-16483
78,-8734
87,-7804
6,14966
68,-10796
69,3819
1,20640
45,-1267
33,-4070
15,31278
93,6214
24,-4102
25,31334
26,-29582
48,-16462
71,-18909
76,-20266
7,-7324
50,-16653
22,16052
4,-7480
32,4367
77,15054
91,-28933
42,20894
13,27911
41,29958
55,-31236
31,-15848
66,20577
65,2923
62,-27454
21,-16887
95,-4304
84,29247
58,-5633
64,17392
83,-28310
94,-28182
0,-915
99,8990
96,10306
67,-23694
61,21701
43,-8997
2,10031
54,4520
30,14562
59,-20062
85,-10862
74,25589
90,32012
18,-22521
52,32135
44,17896
17,30170
36,22577
49,4218
86,584
37,3925
56,-25448
63,-21699
35,2517
97,-23761
75,-31302
57,-2655
88,30254
10,20664
53,30807
8,-6184
39,-14743
47,-13457
60,27078
89,30061
51,8999
14,26207
28,-7485
16,6153
34,17095
82,-18623
46,-30365
27,24284
20,-20396
9,-14066
92,-1619
3,-24137
98,-10599
29,17406
80,1822
73,-14466
